Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.4545125,303
"Nu: 0.2, Gamma: 0.2",389,113,3037,1979,42.91409931,0,40,,,
"Nu: 0.2, Gamma: 0.5",404,98,3792,1224,29.50344328,0,40,,,
"Nu: 0.2, Gamma: 0.7",406,96,4005,1011,25.67959406,0,40,,,
"Nu: 0.2, Gamma: 0.9",405,97,4057,959,24.71910112,0,40,,,
"Nu: 0.2, Gamma: 0.99",405,97,4063,953,24.61036607,0,40,,,
"Nu: 0.5, Gamma: 0.0001",495,7,4970,46,9.804276912,0,40,,,
"Nu: 0.5, Gamma: 0.0002",305,197,2269,2747,55.30989489,0,40,,,
"Nu: 0.5, Gamma: 0.0003",405,97,3727,1289,30.69952881,0,40,,,
"Nu: 0.5, Gamma: 0.0004",448,54,4218,798,22.58064516,0,40,,,
"Nu: 0.5, Gamma: 0.005",28,474,84,4932,89.88764045,0,40,,,
"Nu: 0.5, Gamma: 0.05",210,292,905,4111,78.30735774,0,40,,,
"Nu: 0.5, Gamma: 0.0625",222,280,911,4105,78.41609279,0,40,,,
"Nu: 0.5, Gamma: 0.1",255,247,1105,3911,75.49836897,0,40,,,
"Nu: 0.5, Gamma: 0.2",264,238,661,4355,83.70786517,0,40,,,
"Nu: 0.5, Gamma: 0.5",258,244,177,4839,92.37042407,0,40,,,
"Nu: 0.5, Gamma: 0.7",255,247,95,4921,93.80210221,0,40,,,
"Nu: 0.5, Gamma: 0.9",264,238,77,4939,94.29140993,0,40,,,
"Nu: 0.5, Gamma: 0.99",252,250,56,4960,94.4545125,0,40,,,
"Nu: 0.7, Gamma: 0.0001",11,491,0,5016,91.1018485,0,40,,,
"Nu: 0.7, Gamma: 0.0002",131,371,359,4657,86.77056905,0,40,,,
"Nu: 0.7, Gamma: 0.0003",381,121,3689,1327,30.95324393,0,40,,,
"Nu: 0.7, Gamma: 0.0004",450,52,4275,741,21.58390721,0,40,,,
"Nu: 0.7, Gamma: 0.005",333,169,2512,2504,51.41355564,0,40,,,
"Nu: 0.7, Gamma: 0.05",150,352,241,4775,89.25335266,0,40,,,
"Nu: 0.7, Gamma: 0.0625",129,373,131,4885,90.86625589,0,40,,,
"Nu: 0.7, Gamma: 0.1",141,361,92,4924,91.79050381,0,40,,,
"Nu: 0.7, Gamma: 0.2",136,366,18,4998,93.04095687,0,40,,,
"Nu: 0.7, Gamma: 0.5",152,350,1,5015,93.63899964,0,40,,,
"Nu: 0.7, Gamma: 0.7",143,359,0,5016,93.49401957,0,40,,,
"Nu: 0.7, Gamma: 0.9",152,350,0,5016,93.65712215,0,40,,,
"Nu: 0.7, Gamma: 0.99",160,342,0,5016,93.80210221,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
