Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.82608696,184
"Nu: 0.2, Gamma: 0.0001",3,0,25,18,45.65217391,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,0,41,2,10.86956522,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,0,23,20,50,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,0,23,20,50,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,0,23,20,50,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,0,19,24,58.69565217,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,0,18,25,60.86956522,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,0,19,24,58.69565217,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,0,13,30,71.73913043,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,1,1,42,95.65217391,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,1,3,40,91.30434783,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,1,2,41,93.47826087,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,1,1,42,95.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.2",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.5, Gamma: 0.99",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,2,0,43,95.65217391,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,1,0,43,97.82608696,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,2,0,43,95.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,3,0,43,93.47826087,0,40,,,
"Nu: 0.99, Gamma: 0.0001",2,1,0,43,97.82608696,0,40,,,
