Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.54014599,14
"Nu: 0.0003, Gamma: 0.7",7,7,10,27,66.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.9",10,4,11,26,70.58823529,0,40,,,
"Nu: 0.0003, Gamma: 0.99",10,4,9,28,74.50980392,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.005",6,8,33,4,19.60784314,0,40,,,
"Nu: 0.0004, Gamma: 0.05",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.0004, Gamma: 0.1",13,1,35,2,29.41176471,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,2,18,19,60.78431373,0,40,,,
"Nu: 0.0004, Gamma: 0.5",10,4,13,24,66.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.7",10,4,12,25,68.62745098,0,40,,,
"Nu: 0.0004, Gamma: 0.9",5,9,9,28,64.70588235,0,40,,,
"Nu: 0.0004, Gamma: 0.99",11,3,9,28,76.47058824,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.005, Gamma: 0.0002",6,8,33,4,19.60784314,0,40,,,
"Nu: 0.005, Gamma: 0.0003",6,8,33,4,19.60784314,0,40,,,
"Nu: 0.005, Gamma: 0.0004",6,8,33,4,19.60784314,0,40,,,
"Nu: 0.005, Gamma: 0.005",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.005, Gamma: 0.05",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.005, Gamma: 0.0625",13,1,36,1,27.45098039,0,40,,,
"Nu: 0.005, Gamma: 0.1",13,1,35,2,29.41176471,0,40,,,
"Nu: 0.005, Gamma: 0.2",13,1,19,18,60.78431373,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,2,12,25,72.54901961,0,40,,,
"Nu: 0.005, Gamma: 0.7",11,3,11,26,72.54901961,0,40,,,
"Nu: 0.005, Gamma: 0.9",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.05, Gamma: 0.0001",7,7,33,4,21.56862745,0,40,,,
"Nu: 0.05, Gamma: 0.0002",7,7,33,4,21.56862745,0,40,,,
"Nu: 0.05, Gamma: 0.0003",7,7,35,2,17.64705882,0,40,,,
"Nu: 0.05, Gamma: 0.0004",13,1,32,5,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.005",13,1,32,5,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.05",13,1,32,5,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.0625",13,1,31,6,37.25490196,0,40,,,
"Nu: 0.05, Gamma: 0.1",13,1,31,6,37.25490196,0,40,,,
"Nu: 0.05, Gamma: 0.2",13,1,18,19,62.74509804,0,40,,,
"Nu: 0.05, Gamma: 0.5",12,2,12,25,72.54901961,0,40,,,
"Nu: 0.05, Gamma: 0.7",11,3,11,26,72.54901961,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,3,10,27,74.50980392,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",6,8,27,10,31.37254902,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",7,7,31,6,25.49019608,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",7,7,31,6,25.49019608,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",7,7,31,6,25.49019608,0,40,,,
"Nu: 0.0625, Gamma: 0.005",13,1,31,6,37.25490196,0,40,,,
