Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0004, Gamma: 0.005",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.0004, Gamma: 0.05",3,2,31,8,25.0,0,40,
"Nu: 0.0004, Gamma: 0.0625",5,0,31,8,29.545454545454547,0,40,
"Nu: 0.0004, Gamma: 0.1",3,2,25,14,38.63636363636363,0,40,
"Nu: 0.0004, Gamma: 0.2",3,2,31,8,25.0,0,40,
"Nu: 0.0004, Gamma: 0.5",1,4,22,17,40.909090909090914,0,40,
"Nu: 0.0004, Gamma: 0.7",3,2,17,22,56.81818181818182,0,40,
"Nu: 0.0004, Gamma: 0.9",4,1,17,22,59.09090909090909,0,40,
"Nu: 0.0004, Gamma: 0.99",3,2,16,23,59.09090909090909,0,40,
"Nu: 0.005, Gamma: 0.0001",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.005, Gamma: 0.0002",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.005, Gamma: 0.0003",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.005, Gamma: 0.0004",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.005, Gamma: 0.005",4,1,32,7,25.0,0,40,
"Nu: 0.005, Gamma: 0.05",5,0,32,7,27.27272727272727,0,40,
"Nu: 0.005, Gamma: 0.0625",5,0,32,7,27.27272727272727,0,40,
"Nu: 0.005, Gamma: 0.1",3,2,31,8,25.0,0,40,
"Nu: 0.005, Gamma: 0.2",3,2,27,12,34.090909090909086,0,40,
"Nu: 0.005, Gamma: 0.5",5,0,23,16,47.72727272727273,0,40,
"Nu: 0.005, Gamma: 0.7",5,0,22,17,50.0,0,40,
"Nu: 0.005, Gamma: 0.9",4,1,21,18,50.0,0,40,
"Nu: 0.005, Gamma: 0.99",5,0,19,20,56.81818181818182,0,40,
"Nu: 0.05, Gamma: 0.0001",3,2,22,17,45.45454545454545,0,40,
"Nu: 0.05, Gamma: 0.0002",3,2,22,17,45.45454545454545,0,40,
"Nu: 0.05, Gamma: 0.0003",5,0,37,2,15.909090909090908,0,40,
"Nu: 0.05, Gamma: 0.0004",3,2,37,2,11.363636363636363,0,40,
"Nu: 0.05, Gamma: 0.005",3,2,37,2,11.363636363636363,0,40,
"Nu: 0.05, Gamma: 0.05",5,0,32,7,27.27272727272727,0,40,
"Nu: 0.05, Gamma: 0.0625",5,0,32,7,27.27272727272727,0,40,
"Nu: 0.05, Gamma: 0.1",5,0,31,8,29.545454545454547,0,40,
"Nu: 0.05, Gamma: 0.2",3,2,28,11,31.818181818181817,0,40,
"Nu: 0.05, Gamma: 0.5",4,1,23,16,45.45454545454545,0,40,
"Nu: 0.05, Gamma: 0.7",2,3,22,17,43.18181818181818,0,40,
"Nu: 0.05, Gamma: 0.9",3,2,20,19,50.0,0,40,
"Nu: 0.05, Gamma: 0.99",5,0,18,21,59.09090909090909,0,40,
"Nu: 0.0625, Gamma: 0.0001",0,5,4,35,79.54545454545455,0,40,
"Nu: 0.0625, Gamma: 0.0002",3,2,38,1,9.090909090909092,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,2,38,1,9.090909090909092,0,40,
"Nu: 0.0625, Gamma: 0.0004",3,2,38,1,9.090909090909092,0,40,
"Nu: 0.0625, Gamma: 0.005",3,2,30,9,27.27272727272727,0,40,
"Nu: 0.0625, Gamma: 0.05",3,2,25,14,38.63636363636363,0,40,
"Nu: 0.0625, Gamma: 0.0625",3,2,25,14,38.63636363636363,0,40,
"Nu: 0.0625, Gamma: 0.1",3,2,25,14,38.63636363636363,0,40,
"Nu: 0.0625, Gamma: 0.2",5,0,28,11,36.36363636363637,0,40,
"Nu: 0.0625, Gamma: 0.5",2,3,23,16,40.909090909090914,0,40,
"Nu: 0.0625, Gamma: 0.7",5,0,22,17,50.0,0,40,
"Nu: 0.0625, Gamma: 0.9",3,2,20,19,50.0,0,40,
"Nu: 0.0625, Gamma: 0.99",3,2,17,22,56.81818181818182,0,40,
"Nu: 0.1, Gamma: 0.0001",5,0,38,1,13.636363636363635,0,40,
"Nu: 0.1, Gamma: 0.0002",3,2,31,8,25.0,0,40,
"Nu: 0.1, Gamma: 0.0003",3,2,31,8,25.0,0,40,
"Nu: 0.1, Gamma: 0.0004",3,2,31,8,25.0,0,40,
"Nu: 0.1, Gamma: 0.005",3,2,26,13,36.36363636363637,0,40,
"Nu: 0.1, Gamma: 0.05",3,2,26,13,36.36363636363637,0,40,
"Nu: 0.1, Gamma: 0.0625",3,2,26,13,36.36363636363637,0,40,
"Nu: 0.1, Gamma: 0.1",3,2,25,14,38.63636363636363,0,40,
"Nu: 0.1, Gamma: 0.2",3,2,22,17,45.45454545454545,0,40,
"Nu: 0.1, Gamma: 0.5",2,3,23,16,40.909090909090914,0,40,
"Nu: 0.1, Gamma: 0.7",2,3,22,17,43.18181818181818,0,40,
"Nu: 0.1, Gamma: 0.9",3,2,20,19,50.0,0,40,
"Nu: 0.1, Gamma: 0.99",3,2,18,21,54.54545454545454,0,40,
"Nu: 0.2, Gamma: 0.0001",1,4,17,22,52.27272727272727,0,40,
"Nu: 0.2, Gamma: 0.0002",3,2,24,15,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.0003",3,2,24,15,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.0004",3,2,24,15,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.005",3,2,24,15,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.05",3,2,24,15,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.0625",3,2,24,15,40.909090909090914,0,40,
"Nu: 0.2, Gamma: 0.1",3,2,23,16,43.18181818181818,0,40,
"Nu: 0.2, Gamma: 0.2",2,3,22,17,43.18181818181818,0,40,
"Nu: 0.2, Gamma: 0.5",2,3,15,24,59.09090909090909,0,40,
"Nu: 0.2, Gamma: 0.7",3,2,15,24,61.36363636363637,0,40,
"Nu: 0.2, Gamma: 0.9",3,2,15,24,61.36363636363637,0,40,
"Nu: 0.2, Gamma: 0.99",3,2,14,25,63.63636363636363,0,40,
"Nu: 0.5, Gamma: 0.0001",1,4,16,23,54.54545454545454,0,40,
"Nu: 0.5, Gamma: 0.0002",1,4,20,19,45.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.0003",1,4,20,19,45.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.0004",1,4,20,19,45.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.005",1,4,20,19,45.45454545454545,0,40,
"Nu: 0.5, Gamma: 0.05",1,4,18,21,50.0,0,40,
"Nu: 0.5, Gamma: 0.0625",1,4,17,22,52.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.1",1,4,17,22,52.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.2",1,4,11,28,65.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.5",1,4,11,28,65.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.7",2,3,9,30,72.72727272727273,0,40,
"Nu: 0.5, Gamma: 0.9",2,3,9,30,72.72727272727273,0,40,
"Nu: 0.5, Gamma: 0.99",2,3,8,31,75.0,0,40,
"Nu: 0.7, Gamma: 0.0001",1,4,10,29,68.18181818181817,0,40,
"Nu: 0.7, Gamma: 0.0002",1,4,10,29,68.18181818181817,0,40,
"Nu: 0.7, Gamma: 0.0003",1,4,10,29,68.18181818181817,0,40,
"Nu: 0.7, Gamma: 0.0004",1,4,10,29,68.18181818181817,0,40,
"Nu: 0.7, Gamma: 0.005",1,4,10,29,68.18181818181817,0,40,
"Nu: 0.7, Gamma: 0.05",1,4,8,31,72.72727272727273,0,40,
"Nu: 0.7, Gamma: 0.0625",1,4,8,31,72.72727272727273,0,40,
"Nu: 0.7, Gamma: 0.1",1,4,8,31,72.72727272727273,0,40,
"Nu: 0.7, Gamma: 0.2",1,4,7,32,75.0,0,40,
"Nu: 0.7, Gamma: 0.5",1,4,7,32,75.0,0,40,
"Nu: 0.7, Gamma: 0.7",1,4,7,32,75.0,0,40,
"Nu: 0.7, Gamma: 0.9",1,4,5,34,79.54545454545455,0,40,
"Nu: 0.7, Gamma: 0.99",1,4,5,34,79.54545454545455,0,40,
"Nu: 0.9, Gamma: 0.0001",0,5,4,35,79.54545454545455,0,40,
"Nu: 0.9, Gamma: 0.0002",0,5,2,37,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.0003",0,5,3,36,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0004",0,5,3,36,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.005",0,5,3,36,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.05",0,5,3,36,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.0625",0,5,3,36,81.81818181818183,0,40,
"Nu: 0.9, Gamma: 0.1",0,5,1,38,86.36363636363636,0,40,
"Nu: 0.9, Gamma: 0.2",1,4,3,36,84.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.5",1,4,1,38,88.63636363636364,0,40,
"Nu: 0.9, Gamma: 0.7",1,4,1,38,88.63636363636364,0,40,
"Nu: 0.9, Gamma: 0.9",1,4,1,38,88.63636363636364,0,40,
"Nu: 0.9, Gamma: 0.99",1,4,1,38,88.63636363636364,0,40,
"Nu: 0.99, Gamma: 0.0001",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.99, Gamma: 0.0002",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.99, Gamma: 0.0003",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.99, Gamma: 0.0004",0,5,0,39,88.63636363636364,0,40,
"Nu: 0.99, Gamma: 0.005",0,5,0,39,88.63636363636364,0,40,
