Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.52542373
"Nu: 0.05, Gamma: 0.9",4,2,39,11,26.78571429,0,40,,
"Nu: 0.05, Gamma: 0.99",3,3,35,15,32.14285714,0,40,,
"Nu: 0.0625, Gamma: 0.0001",6,0,43,7,23.21428571,0,40,,
"Nu: 0.0625, Gamma: 0.0002",5,1,41,9,25,0,40,,
"Nu: 0.0625, Gamma: 0.0003",5,1,41,9,25,0,40,,
"Nu: 0.0625, Gamma: 0.0004",5,1,41,9,25,0,40,,
"Nu: 0.0625, Gamma: 0.005",5,1,43,7,21.42857143,0,40,,
"Nu: 0.0625, Gamma: 0.05",5,1,43,7,21.42857143,0,40,,
"Nu: 0.0625, Gamma: 0.0625",5,1,43,7,21.42857143,0,40,,
"Nu: 0.0625, Gamma: 0.1",5,1,43,7,21.42857143,0,40,,
"Nu: 0.0625, Gamma: 0.2",5,1,41,9,25,0,40,,
"Nu: 0.0625, Gamma: 0.5",4,2,40,10,25,0,40,,
"Nu: 0.0625, Gamma: 0.7",4,2,43,7,19.64285714,0,40,,
"Nu: 0.0625, Gamma: 0.9",4,2,39,11,26.78571429,0,40,,
"Nu: 0.0625, Gamma: 0.99",3,3,37,13,28.57142857,0,40,,
"Nu: 0.1, Gamma: 0.0001",4,2,37,13,30.35714286,0,40,,
"Nu: 0.1, Gamma: 0.0002",4,2,37,13,30.35714286,0,40,,
"Nu: 0.1, Gamma: 0.0003",4,2,37,13,30.35714286,0,40,,
"Nu: 0.1, Gamma: 0.0004",5,1,39,11,28.57142857,0,40,,
"Nu: 0.1, Gamma: 0.005",5,1,40,10,26.78571429,0,40,,
"Nu: 0.1, Gamma: 0.05",5,1,40,10,26.78571429,0,40,,
"Nu: 0.1, Gamma: 0.0625",5,1,40,10,26.78571429,0,40,,
"Nu: 0.1, Gamma: 0.1",5,1,40,10,26.78571429,0,40,,
"Nu: 0.1, Gamma: 0.2",5,1,38,12,30.35714286,0,40,,
"Nu: 0.1, Gamma: 0.5",4,2,38,12,28.57142857,0,40,,
"Nu: 0.1, Gamma: 0.7",3,3,33,17,35.71428571,0,40,,
"Nu: 0.1, Gamma: 0.9",3,3,28,22,44.64285714,0,40,,
"Nu: 0.1, Gamma: 0.99",3,3,29,21,42.85714286,0,40,,
"Nu: 0.2, Gamma: 0.0001",4,2,37,13,30.35714286,0,40,,
"Nu: 0.2, Gamma: 0.0002",4,2,37,13,30.35714286,0,40,,
"Nu: 0.2, Gamma: 0.0003",5,1,39,11,28.57142857,0,40,,
"Nu: 0.2, Gamma: 0.0004",5,1,39,11,28.57142857,0,40,,
"Nu: 0.2, Gamma: 0.005",5,1,39,11,28.57142857,0,40,,
"Nu: 0.2, Gamma: 0.05",5,1,39,11,28.57142857,0,40,,
"Nu: 0.2, Gamma: 0.0625",5,1,39,11,28.57142857,0,40,,
"Nu: 0.2, Gamma: 0.1",5,1,39,11,28.57142857,0,40,,
"Nu: 0.2, Gamma: 0.2",5,1,38,12,30.35714286,0,40,,
"Nu: 0.2, Gamma: 0.5",3,3,36,14,30.35714286,0,40,,
"Nu: 0.2, Gamma: 0.7",3,3,31,19,39.28571429,0,40,,
"Nu: 0.2, Gamma: 0.9",3,3,26,24,48.21428571,0,40,,
"Nu: 0.2, Gamma: 0.99",3,3,28,22,44.64285714,0,40,,
