Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.85714286,328
"Nu: 0.7, Gamma: 0.0004",0,6,3,42,82.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,6,4,41,80.39215686,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,6,4,41,80.39215686,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,6,4,41,80.39215686,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,6,3,42,82.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,6,3,42,82.35294118,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,5,2,43,86.2745098,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,5,3,42,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,5,4,41,82.35294118,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,6,4,41,80.39215686,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,6,2,43,84.31372549,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,6,1,44,86.2745098,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,6,0,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,6,0,45,88.23529412,0,40,,,
,,,,,,,,,,
Target Class: canneal_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,1,46,5,16.07142857,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,2,10,41,78.57142857,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,5,6,45,80.35714286,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,5,5,46,82.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,5,19,32,57.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,5,19,32,57.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,1,46,5,16.07142857,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,2,10,41,78.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,5,35,16,28.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,5,22,29,51.78571429,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,5,8,43,76.78571429,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,4,8,43,78.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,1,46,5,16.07142857,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,2,10,41,78.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,5,35,16,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.7",2,3,33,18,35.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.9",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.0003, Gamma: 0.99",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.005",4,1,48,3,12.5,0,40,,,
"Nu: 0.0004, Gamma: 0.05",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.1",4,1,46,5,16.07142857,0,40,,,
"Nu: 0.0004, Gamma: 0.2",3,2,10,41,78.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.5",2,3,37,14,28.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.7",4,1,42,9,23.21428571,0,40,,,
"Nu: 0.0004, Gamma: 0.9",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.0004, Gamma: 0.99",0,5,20,31,55.35714286,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,51,91.07142857,0,40,,,
"Nu: 0.005, Gamma: 0.0004",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.005",4,1,48,3,12.5,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,49,2,12.5,0,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.5",4,1,30,21,44.64285714,0,40,,,
"Nu: 0.005, Gamma: 0.7",4,1,25,26,53.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.9",4,1,29,22,46.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.99",4,1,25,26,53.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.0001",4,1,43,8,21.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0002",4,1,50,1,8.928571429,0,40,,,
"Nu: 0.05, Gamma: 0.0003",4,1,50,1,8.928571429,0,40,,,
"Nu: 0.05, Gamma: 0.0004",4,1,50,1,8.928571429,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,49,2,12.5,0,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,37,14,33.92857143,0,40,,,
"Nu: 0.05, Gamma: 0.5",4,1,29,22,46.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.7",4,1,26,25,51.78571429,0,40,,,
"Nu: 0.05, Gamma: 0.9",4,1,25,26,53.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.99",4,1,25,26,53.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",4,1,45,6,17.85714286,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",4,1,48,3,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",4,1,48,3,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",4,1,48,3,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,50,1,10.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,49,2,12.5,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.5",4,1,27,24,50,0,40,,,
"Nu: 0.0625, Gamma: 0.7",4,1,27,24,50,0,40,,,
"Nu: 0.0625, Gamma: 0.9",4,1,25,26,53.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.99",4,1,24,27,55.35714286,0,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,49,2,12.5,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,36,15,35.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.5",4,1,27,24,50,0,40,,,
"Nu: 0.1, Gamma: 0.7",4,1,26,25,51.78571429,0,40,,,
"Nu: 0.1, Gamma: 0.9",4,1,24,27,55.35714286,0,40,,,
"Nu: 0.1, Gamma: 0.99",4,1,24,27,55.35714286,0,40,,,
"Nu: 0.2, Gamma: 0.0001",4,1,49,2,10.71428571,0,40,,,
"Nu: 0.2, Gamma: 0.0002",4,1,48,3,12.5,0,40,,,
"Nu: 0.2, Gamma: 0.0003",4,1,48,3,12.5,0,40,,,
"Nu: 0.2, Gamma: 0.0004",4,1,48,3,12.5,0,40,,,
"Nu: 0.2, Gamma: 0.005",4,1,48,3,12.5,0,40,,,
"Nu: 0.2, Gamma: 0.05",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0625",4,1,47,4,14.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.1",4,1,46,5,16.07142857,0,40,,,
"Nu: 0.2, Gamma: 0.2",5,0,34,17,39.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.5",4,1,26,25,51.78571429,0,40,,,
"Nu: 0.2, Gamma: 0.7",4,1,23,28,57.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.9",4,1,22,29,58.92857143,0,40,,,
"Nu: 0.2, Gamma: 0.99",4,1,24,27,55.35714286,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,1,41,10,25,0,40,,,
"Nu: 0.5, Gamma: 0.0002",4,1,41,10,25,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,1,41,10,25,0,40,,,
"Nu: 0.5, Gamma: 0.0004",4,1,41,10,25,0,40,,,
"Nu: 0.5, Gamma: 0.005",4,1,42,9,23.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.05",4,1,42,9,23.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.0625",4,1,42,9,23.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.1",4,1,42,9,23.21428571,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,2,42,9,21.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,2,21,30,58.92857143,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,2,20,31,60.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.9",3,2,12,39,75,0,40,,,
"Nu: 0.5, Gamma: 0.99",3,2,9,42,80.35714286,0,40,,,
"Nu: 0.7, Gamma: 0.0001",2,3,39,12,25,0,40,,,
"Nu: 0.7, Gamma: 0.0002",2,3,39,12,25,0,40,,,
"Nu: 0.7, Gamma: 0.0003",2,3,39,12,25,0,40,,,
"Nu: 0.7, Gamma: 0.0004",2,3,39,12,25,0,40,,,
"Nu: 0.7, Gamma: 0.005",2,3,39,12,25,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,3,35,16,32.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,3,33,18,35.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,2,29,22,44.64285714,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,2,21,30,58.92857143,0,40,,,
"Nu: 0.7, Gamma: 0.5",3,2,8,43,82.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.7",2,3,6,45,83.92857143,0,40,,,
"Nu: 0.7, Gamma: 0.9",2,3,6,45,83.92857143,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,4,47,87.5,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,16,35,62.5,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,4,21,30,55.35714286,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,4,21,30,55.35714286,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,4,21,30,55.35714286,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,21,30,55.35714286,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,18,33,60.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,18,33,60.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,3,18,33,62.5,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,3,13,38,71.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.5",1,4,1,50,91.07142857,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,1,50,91.07142857,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,0,51,92.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,0,51,92.85714286,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,3,48,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,3,48,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,3,48,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,3,48,85.71428571,0,40,,,
