Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.42857143,174
"Nu: 0.1, Gamma: 0.0625",3,0,20,12,42.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.1",3,0,19,13,45.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.2",1,2,27,5,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.5",1,2,26,6,20,0,40,,,
"Nu: 0.1, Gamma: 0.7",1,2,24,8,25.71428571,0,40,,,
"Nu: 0.1, Gamma: 0.9",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.1, Gamma: 0.99",0,3,24,8,22.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0002",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0003",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0004",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,0,16,16,54.28571429,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,1,14,18,57.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.5",1,2,13,19,57.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.7",1,2,13,19,57.14285714,0,40,,,
"Nu: 0.2, Gamma: 0.9",0,3,18,14,40,0,40,,,
"Nu: 0.2, Gamma: 0.99",0,3,19,13,37.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.0001",3,0,18,14,48.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.0002",3,0,18,14,48.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.0003",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.0004",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.005",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.05",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.0625",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.1",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,0,11,21,68.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.5",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.7",0,3,4,28,80,0,40,,,
"Nu: 0.5, Gamma: 0.9",0,3,5,27,77.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.99",0,3,5,27,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0001",3,0,7,25,80,0,40,,,
"Nu: 0.7, Gamma: 0.0002",3,0,9,23,74.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.0003",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0004",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.005",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.05",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.0625",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.1",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.2",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,3,3,29,82.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,3,4,28,80,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,3,4,28,80,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,3,4,28,80,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,2,4,28,82.85714286,0,40,,,
