Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.95918367,27
"Nu: 0.9, Gamma: 0.0002",1,3,8,37,77.55102041,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,3,8,37,77.55102041,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,8,37,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,8,37,75.51020408,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,6,39,81.63265306,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,5,40,83.67346939,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,2,43,89.79591837,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,3,42,87.75510204,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,8,37,75.51020408,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,44,89.79591837,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,45,91.83673469,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,45,91.83673469,0,40,,,
,,,,,,,,,,
Target Class: bodytrack_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.05",2,3,12,27,65.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,3,11,28,68.18181818,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,3,8,31,75,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,4,1,38,88.63636364,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,3,12,27,65.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,3,11,28,68.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,2,30,9,27.27272727,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,2,25,14,38.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,1,2,37,93.18181818,0,40,,,
