Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.005, Gamma: 0.0004",846,13,114,23,87.24899598393574,0,40,
"Nu: 0.005, Gamma: 0.005",911,25,49,11,92.570281124498,0,40,
"Nu: 0.005, Gamma: 0.05",947,34,13,2,95.28112449799197,0,40,
"Nu: 0.005, Gamma: 0.0625",951,34,9,2,95.68273092369478,0,40,
"Nu: 0.005, Gamma: 0.1",953,34,7,2,95.88353413654619,0,40,
"Nu: 0.005, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.005, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.005, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.005, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.005, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.05, Gamma: 1e-05",772,4,188,32,80.72289156626506,0,40,
"Nu: 0.05, Gamma: 2e-05",775,7,185,29,80.72289156626506,0,40,
"Nu: 0.05, Gamma: 3e-05",776,7,184,29,80.82329317269075,0,40,
"Nu: 0.05, Gamma: 4e-05",777,7,183,29,80.92369477911646,0,40,
"Nu: 0.05, Gamma: 5e-05",781,7,179,29,81.32530120481928,0,40,
"Nu: 0.05, Gamma: 6e-05",788,7,172,29,82.0281124497992,0,40,
"Nu: 0.05, Gamma: 7e-05",791,7,169,29,82.32931726907631,0,40,
"Nu: 0.05, Gamma: 8e-05",793,8,167,28,82.429718875502,0,40,
"Nu: 0.05, Gamma: 9e-05",796,8,164,28,82.73092369477911,0,40,
"Nu: 0.05, Gamma: 0.0001",797,8,163,28,82.83132530120481,0,40,
"Nu: 0.05, Gamma: 0.0002",803,8,157,28,83.43373493975903,0,40,
"Nu: 0.05, Gamma: 0.0003",824,10,136,26,85.34136546184739,0,40,
"Nu: 0.05, Gamma: 0.0004",842,11,118,25,87.04819277108435,0,40,
"Nu: 0.05, Gamma: 0.005",912,24,48,12,92.7710843373494,0,40,
"Nu: 0.05, Gamma: 0.05",945,33,15,3,95.18072289156626,0,40,
"Nu: 0.05, Gamma: 0.0625",951,34,9,2,95.68273092369478,0,40,
"Nu: 0.05, Gamma: 0.1",953,34,7,2,95.88353413654619,0,40,
"Nu: 0.05, Gamma: 0.2",959,36,1,0,96.285140562249,0,40,
"Nu: 0.05, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.05, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.05, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.05, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0625, Gamma: 1e-05",772,4,188,32,80.72289156626506,0,40,
"Nu: 0.0625, Gamma: 2e-05",775,7,185,29,80.72289156626506,0,40,
"Nu: 0.0625, Gamma: 3e-05",776,7,184,29,80.82329317269075,0,40,
"Nu: 0.0625, Gamma: 4e-05",777,7,183,29,80.92369477911646,0,40,
"Nu: 0.0625, Gamma: 5e-05",781,7,179,29,81.32530120481928,0,40,
"Nu: 0.0625, Gamma: 6e-05",788,7,172,29,82.0281124497992,0,40,
"Nu: 0.0625, Gamma: 7e-05",791,7,169,29,82.32931726907631,0,40,
"Nu: 0.0625, Gamma: 8e-05",793,8,167,28,82.429718875502,0,40,
"Nu: 0.0625, Gamma: 9e-05",796,8,164,28,82.73092369477911,0,40,
"Nu: 0.0625, Gamma: 0.0001",796,8,164,28,82.73092369477911,0,40,
"Nu: 0.0625, Gamma: 0.0002",803,8,157,28,83.43373493975903,0,40,
"Nu: 0.0625, Gamma: 0.0003",829,9,131,27,85.94377510040161,0,40,
"Nu: 0.0625, Gamma: 0.0004",842,12,118,24,86.94779116465864,0,40,
"Nu: 0.0625, Gamma: 0.005",912,24,48,12,92.7710843373494,0,40,
"Nu: 0.0625, Gamma: 0.05",945,33,15,3,95.18072289156626,0,40,
"Nu: 0.0625, Gamma: 0.0625",951,34,9,2,95.68273092369478,0,40,
"Nu: 0.0625, Gamma: 0.1",953,34,7,2,95.88353413654619,0,40,
"Nu: 0.0625, Gamma: 0.2",959,36,1,0,96.285140562249,0,40,
"Nu: 0.0625, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0625, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0625, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.0625, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.1, Gamma: 1e-05",773,5,187,31,80.72289156626506,0,40,
"Nu: 0.1, Gamma: 2e-05",775,7,185,29,80.72289156626506,0,40,
"Nu: 0.1, Gamma: 3e-05",776,7,184,29,80.82329317269075,0,40,
"Nu: 0.1, Gamma: 4e-05",777,7,183,29,80.92369477911646,0,40,
"Nu: 0.1, Gamma: 5e-05",781,7,179,29,81.32530120481928,0,40,
"Nu: 0.1, Gamma: 6e-05",788,7,172,29,82.0281124497992,0,40,
"Nu: 0.1, Gamma: 7e-05",790,7,170,29,82.2289156626506,0,40,
"Nu: 0.1, Gamma: 8e-05",793,8,167,28,82.429718875502,0,40,
"Nu: 0.1, Gamma: 9e-05",796,8,164,28,82.73092369477911,0,40,
"Nu: 0.1, Gamma: 0.0001",797,8,163,28,82.83132530120481,0,40,
"Nu: 0.1, Gamma: 0.0002",803,8,157,28,83.43373493975903,0,40,
"Nu: 0.1, Gamma: 0.0003",828,9,132,27,85.8433734939759,0,40,
"Nu: 0.1, Gamma: 0.0004",842,11,118,25,87.04819277108435,0,40,
"Nu: 0.1, Gamma: 0.005",912,24,48,12,92.7710843373494,0,40,
"Nu: 0.1, Gamma: 0.05",945,33,15,3,95.18072289156626,0,40,
"Nu: 0.1, Gamma: 0.0625",951,34,9,2,95.68273092369478,0,40,
"Nu: 0.1, Gamma: 0.1",953,34,7,2,95.88353413654619,0,40,
"Nu: 0.1, Gamma: 0.2",959,36,1,0,96.285140562249,0,40,
"Nu: 0.1, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.1, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.1, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.1, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 0.2, Gamma: 1e-05",774,7,186,29,80.62248995983936,0,40,
"Nu: 0.2, Gamma: 2e-05",778,7,182,29,81.02409638554217,0,40,
"Nu: 0.2, Gamma: 3e-05",779,7,181,29,81.12449799196787,0,40,
"Nu: 0.2, Gamma: 4e-05",780,7,180,29,81.22489959839358,0,40,
"Nu: 0.2, Gamma: 5e-05",782,7,178,29,81.42570281124499,0,40,
"Nu: 0.2, Gamma: 6e-05",788,7,172,29,82.0281124497992,0,40,
"Nu: 0.2, Gamma: 7e-05",790,8,170,28,82.1285140562249,0,40,
"Nu: 0.2, Gamma: 8e-05",794,8,166,28,82.53012048192771,0,40,
"Nu: 0.2, Gamma: 9e-05",796,8,164,28,82.73092369477911,0,40,
"Nu: 0.2, Gamma: 0.0001",797,8,163,28,82.83132530120481,0,40,
"Nu: 0.2, Gamma: 0.0002",803,8,157,28,83.43373493975903,0,40,
"Nu: 0.2, Gamma: 0.0003",828,9,132,27,85.8433734939759,0,40,
"Nu: 0.2, Gamma: 0.0004",842,11,118,25,87.04819277108435,0,40,
"Nu: 0.2, Gamma: 0.005",912,24,48,12,92.7710843373494,0,40,
"Nu: 0.2, Gamma: 0.05",945,33,15,3,95.18072289156626,0,40,
"Nu: 0.2, Gamma: 0.0625",951,34,9,2,95.68273092369478,0,40,
"Nu: 0.2, Gamma: 0.1",953,34,7,2,95.88353413654619,0,40,
"Nu: 0.2, Gamma: 0.2",959,36,1,0,96.285140562249,0,40,
"Nu: 0.2, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
