Features: 16,,,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.40625,164
"Nu: 0.0003, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0003, Gamma: 0.005",6,6,77,34,32.5203252,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0003, Gamma: 0.1",7,5,91,20,21.95121951,0,40,,,
"Nu: 0.0003, Gamma: 0.2",5,7,61,50,44.71544715,0,40,,,
"Nu: 0.0003, Gamma: 0.5",5,7,78,33,30.89430894,0,40,,,
"Nu: 0.0003, Gamma: 0.7",8,4,67,44,42.27642276,0,40,,,
"Nu: 0.0003, Gamma: 0.9",5,7,54,57,50.40650407,0,40,,,
"Nu: 0.0003, Gamma: 0.99",4,8,47,64,55.28455285,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.0004, Gamma: 0.005",6,6,77,34,32.5203252,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.0004, Gamma: 0.1",7,5,91,20,21.95121951,0,40,,,
"Nu: 0.0004, Gamma: 0.2",8,4,87,24,26.01626016,0,40,,,
"Nu: 0.0004, Gamma: 0.5",5,7,78,33,30.89430894,0,40,,,
"Nu: 0.0004, Gamma: 0.7",6,6,73,38,35.77235772,0,40,,,
"Nu: 0.0004, Gamma: 0.9",10,2,66,45,44.71544715,0,40,,,
"Nu: 0.0004, Gamma: 0.99",4,8,72,39,34.95934959,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,111,90.24390244,0,40,,,
"Nu: 0.005, Gamma: 0.0003",6,6,77,34,32.5203252,0,40,,,
"Nu: 0.005, Gamma: 0.0004",6,6,77,34,32.5203252,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,111,0,9.756097561,0,40,,,
"Nu: 0.005, Gamma: 0.1",7,5,91,20,21.95121951,0,40,,,
"Nu: 0.005, Gamma: 0.2",9,3,87,24,26.82926829,0,40,,,
"Nu: 0.005, Gamma: 0.5",10,2,81,30,32.5203252,0,40,,,
"Nu: 0.005, Gamma: 0.7",10,2,79,32,34.14634146,0,40,,,
"Nu: 0.005, Gamma: 0.9",11,1,77,34,36.58536585,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,76,35,37.39837398,0,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,107,4,13.00813008,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,107,4,13.00813008,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,107,4,13.00813008,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,107,4,13.00813008,0,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,107,4,13.00813008,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,89,22,27.64227642,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,88,23,28.45528455,0,40,,,
"Nu: 0.05, Gamma: 0.1",11,1,86,25,29.26829268,0,40,,,
"Nu: 0.05, Gamma: 0.2",10,2,85,26,29.26829268,0,40,,,
"Nu: 0.05, Gamma: 0.5",10,2,81,30,32.5203252,0,40,,,
"Nu: 0.05, Gamma: 0.7",9,3,80,31,32.5203252,0,40,,,
"Nu: 0.05, Gamma: 0.9",10,2,75,36,37.39837398,0,40,,,
"Nu: 0.05, Gamma: 0.99",10,2,74,37,38.21138211,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",10,2,88,23,26.82926829,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",11,1,102,9,16.2601626,0,40,,,
"Nu: 0.0625, Gamma: 0.005",11,1,102,9,16.2601626,0,40,,,
"Nu: 0.0625, Gamma: 0.05",11,1,82,29,32.5203252,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",11,1,82,29,32.5203252,0,40,,,
"Nu: 0.0625, Gamma: 0.1",10,2,80,31,33.33333333,0,40,,,
"Nu: 0.0625, Gamma: 0.2",10,2,83,28,30.89430894,0,40,,,
"Nu: 0.0625, Gamma: 0.5",9,3,75,36,36.58536585,0,40,,,
"Nu: 0.0625, Gamma: 0.7",9,3,80,31,32.5203252,0,40,,,
"Nu: 0.0625, Gamma: 0.9",10,2,76,35,36.58536585,0,40,,,
