Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.6719826,303
"Nu: 0.0004, Gamma: 0.9",500,2,5000,16,9.351214208,0,40,,,
"Nu: 0.0004, Gamma: 0.99",500,2,4999,17,9.369336716,0,40,,,
"Nu: 0.005, Gamma: 0.0001",240,262,1149,3867,74.42914099,0,40,,,
"Nu: 0.005, Gamma: 0.0002",241,261,1255,3761,72.52627764,0,40,,,
"Nu: 0.005, Gamma: 0.0003",241,261,1262,3754,72.39942008,0,40,,,
"Nu: 0.005, Gamma: 0.0004",241,261,1261,3755,72.41754259,0,40,,,
"Nu: 0.005, Gamma: 0.005",500,2,4857,159,11.94273287,0,40,,,
"Nu: 0.005, Gamma: 0.05",499,3,4570,446,17.12577021,0,40,,,
"Nu: 0.005, Gamma: 0.0625",499,3,4574,442,17.05328017,0,40,,,
"Nu: 0.005, Gamma: 0.1",499,3,4588,428,16.79956506,0,40,,,
"Nu: 0.005, Gamma: 0.2",500,2,4631,385,16.03841972,0,40,,,
"Nu: 0.005, Gamma: 0.5",500,2,4698,318,14.82421167,0,40,,,
"Nu: 0.005, Gamma: 0.7",499,3,4723,293,14.35302646,0,40,,,
"Nu: 0.005, Gamma: 0.9",500,2,4910,106,10.98223994,0,40,,,
"Nu: 0.005, Gamma: 0.99",499,3,4880,136,11.50779268,0,40,,,
"Nu: 0.05, Gamma: 0.0001",38,464,36,4980,90.93874592,0,40,,,
"Nu: 0.05, Gamma: 0.0002",101,401,329,4687,86.77056905,0,40,,,
"Nu: 0.05, Gamma: 0.0003",41,461,37,4979,90.97499094,0,40,,,
"Nu: 0.05, Gamma: 0.0004",43,459,38,4978,90.99311345,0,40,,,
"Nu: 0.05, Gamma: 0.005",475,27,3644,1372,33.47227256,0,40,,,
"Nu: 0.05, Gamma: 0.05",446,56,3025,1991,44.16455237,0,40,,,
"Nu: 0.05, Gamma: 0.0625",453,49,3153,1863,41.97172889,0,40,,,
"Nu: 0.05, Gamma: 0.1",474,28,3634,1382,33.63537514,0,40,,,
"Nu: 0.05, Gamma: 0.2",465,37,3383,1633,38.02102211,0,40,,,
"Nu: 0.05, Gamma: 0.5",470,32,3024,1992,44.61761508,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,2456,2560,54.85683219,0,40,,,
"Nu: 0.05, Gamma: 0.9",466,36,2136,2880,60.63791229,0,40,,,
"Nu: 0.05, Gamma: 0.99",465,37,2002,3014,63.04820587,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",345,157,1734,3282,65.73033708,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",364,138,1914,3102,62.81261327,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",372,130,1958,3058,62.16020297,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",372,130,1975,3041,61.85212033,0,40,,,
"Nu: 0.0625, Gamma: 0.005",368,134,1943,3073,62.35955056,0,40,,,
"Nu: 0.0625, Gamma: 0.05",444,58,2946,2070,45.5599855,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",468,34,3472,1544,36.46248641,0,40,,,
"Nu: 0.0625, Gamma: 0.1",468,34,3453,1563,36.80681406,0,40,,,
"Nu: 0.0625, Gamma: 0.2",466,36,3353,1663,38.58281986,0,40,,,
"Nu: 0.0625, Gamma: 0.5",459,43,2512,2504,53.69699166,0,40,,,
