Features: 16,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0002, Gamma: 0.0003",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0002, Gamma: 0.005",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0002, Gamma: 0.05",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0002, Gamma: 0.0625",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0002, Gamma: 0.1",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0002, Gamma: 0.2",98,1,221,9,32.52279635258359,0,40,
"Nu: 0.0002, Gamma: 0.5",97,2,197,33,39.51367781155015,0,40,
"Nu: 0.0002, Gamma: 0.7",92,7,203,27,36.17021276595745,0,40,
"Nu: 0.0002, Gamma: 0.9",96,3,192,38,40.72948328267477,0,40,
"Nu: 0.0002, Gamma: 0.99",96,3,194,36,40.121580547112465,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0003, Gamma: 0.005",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0003, Gamma: 0.05",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0003, Gamma: 0.0625",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0003, Gamma: 0.1",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0003, Gamma: 0.2",98,1,226,4,31.00303951367781,0,40,
"Nu: 0.0003, Gamma: 0.5",98,1,197,33,39.81762917933131,0,40,
"Nu: 0.0003, Gamma: 0.7",96,3,198,32,38.90577507598784,0,40,
"Nu: 0.0003, Gamma: 0.9",97,2,187,43,42.5531914893617,0,40,
"Nu: 0.0003, Gamma: 0.99",92,7,185,45,41.641337386018236,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,99,0,230,69.90881458966565,0,40,
"Nu: 0.0004, Gamma: 0.0004",67,32,11,219,86.93009118541033,0,40,
"Nu: 0.0004, Gamma: 0.005",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0004, Gamma: 0.05",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0004, Gamma: 0.0625",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0004, Gamma: 0.1",99,0,229,1,30.3951367781155,0,40,
"Nu: 0.0004, Gamma: 0.2",98,1,226,4,31.00303951367781,0,40,
"Nu: 0.0004, Gamma: 0.5",98,1,197,33,39.81762917933131,0,40,
"Nu: 0.0004, Gamma: 0.7",96,3,198,32,38.90577507598784,0,40,
"Nu: 0.0004, Gamma: 0.9",97,2,187,43,42.5531914893617,0,40,
"Nu: 0.0004, Gamma: 0.99",93,6,185,45,41.94528875379939,0,40,
"Nu: 0.005, Gamma: 0.0001",72,27,12,218,88.14589665653494,0,40,
"Nu: 0.005, Gamma: 0.0002",99,0,228,2,30.69908814589666,0,40,
"Nu: 0.005, Gamma: 0.0003",99,0,228,2,30.69908814589666,0,40,
"Nu: 0.005, Gamma: 0.0004",99,0,228,2,30.69908814589666,0,40,
"Nu: 0.005, Gamma: 0.005",99,0,228,2,30.69908814589666,0,40,
"Nu: 0.005, Gamma: 0.05",99,0,228,2,30.69908814589666,0,40,
"Nu: 0.005, Gamma: 0.0625",99,0,228,2,30.69908814589666,0,40,
"Nu: 0.005, Gamma: 0.1",99,0,227,3,31.00303951367781,0,40,
"Nu: 0.005, Gamma: 0.2",99,0,224,6,31.914893617021278,0,40,
"Nu: 0.005, Gamma: 0.5",98,1,192,38,41.33738601823708,0,40,
"Nu: 0.005, Gamma: 0.7",98,1,195,35,40.42553191489361,0,40,
"Nu: 0.005, Gamma: 0.9",97,2,180,50,44.680851063829785,0,40,
"Nu: 0.005, Gamma: 0.99",97,2,178,52,45.2887537993921,0,40,
"Nu: 0.05, Gamma: 0.0001",95,4,227,3,29.78723404255319,0,40,
"Nu: 0.05, Gamma: 0.0002",95,4,227,3,29.78723404255319,0,40,
"Nu: 0.05, Gamma: 0.0003",95,4,227,3,29.78723404255319,0,40,
"Nu: 0.05, Gamma: 0.0004",95,4,227,3,29.78723404255319,0,40,
"Nu: 0.05, Gamma: 0.005",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.05, Gamma: 0.05",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.05, Gamma: 0.0625",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.05, Gamma: 0.1",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.05, Gamma: 0.2",94,5,215,15,33.130699088145896,0,40,
"Nu: 0.05, Gamma: 0.5",93,6,193,37,39.51367781155015,0,40,
"Nu: 0.05, Gamma: 0.7",93,6,186,44,41.641337386018236,0,40,
"Nu: 0.05, Gamma: 0.9",94,5,180,50,43.76899696048632,0,40,
"Nu: 0.05, Gamma: 0.99",92,7,180,50,43.161094224924014,0,40,
"Nu: 0.0625, Gamma: 0.0001",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.0002",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.0003",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.0004",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.005",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.05",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.0625",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.1",94,5,227,3,29.48328267477204,0,40,
"Nu: 0.0625, Gamma: 0.2",91,8,215,15,32.21884498480243,0,40,
"Nu: 0.0625, Gamma: 0.5",93,6,194,36,39.209726443769,0,40,
"Nu: 0.0625, Gamma: 0.7",92,7,189,41,40.42553191489361,0,40,
"Nu: 0.0625, Gamma: 0.9",93,6,180,50,43.46504559270517,0,40,
"Nu: 0.0625, Gamma: 0.99",93,6,180,50,43.46504559270517,0,40,
"Nu: 0.1, Gamma: 0.0001",92,7,226,4,29.17933130699088,0,40,
"Nu: 0.1, Gamma: 0.0002",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.0003",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.0004",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.005",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.05",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.0625",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.1",92,7,227,3,28.87537993920973,0,40,
"Nu: 0.1, Gamma: 0.2",90,9,200,30,36.474164133738604,0,40,
"Nu: 0.1, Gamma: 0.5",90,9,193,37,38.60182370820669,0,40,
"Nu: 0.1, Gamma: 0.7",90,9,191,39,39.209726443769,0,40,
