Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,152
"Nu: 0.5, Gamma: 0.0002",2,0,12,8,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,0,17,3,22.72727273,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,0,13,7,40.90909091,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,0,12,8,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.1",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.5",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.7",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.9",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,1,8,12,59.09090909,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,1,8,12,59.09090909,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,1,11,9,45.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,1,10,10,50,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,1,9,11,54.54545455,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,1,7,13,63.63636364,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.0002",1,1,13,7,36.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.0003",1,1,13,7,36.36363636,0,40,,,
