Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95.19840551,131
"Nu: 0.1, Gamma: 0.0001",55,447,146,4870,89.25335266,0,40,,,
"Nu: 0.1, Gamma: 0.0002",59,443,165,4851,88.98151504,0,40,,,
"Nu: 0.1, Gamma: 0.0003",61,441,176,4840,88.81841247,0,40,,,
"Nu: 0.1, Gamma: 0.0004",63,439,179,4837,88.80028996,0,40,,,
"Nu: 0.1, Gamma: 0.005",87,415,265,4751,87.67669445,0,40,,,
"Nu: 0.1, Gamma: 0.05",447,55,1482,3534,72.14570497,0,40,,,
"Nu: 0.1, Gamma: 0.0625",445,57,1392,3624,73.74048568,0,40,,,
"Nu: 0.1, Gamma: 0.1",441,61,1187,3829,77.38310982,0,40,,,
"Nu: 0.1, Gamma: 0.2",440,62,672,4344,86.69807901,0,40,,,
"Nu: 0.1, Gamma: 0.5",448,54,361,4655,92.47915912,0,40,,,
"Nu: 0.1, Gamma: 0.7",447,55,380,4636,92.11670895,0,40,,,
"Nu: 0.1, Gamma: 0.9",448,54,394,4622,91.88111635,0,40,,,
"Nu: 0.1, Gamma: 0.99",450,52,412,4604,91.59115622,0,40,,,
"Nu: 0.2, Gamma: 0.0001",258,244,379,4637,88.70967742,0,40,,,
"Nu: 0.2, Gamma: 0.0002",327,175,507,4509,87.64044944,0,40,,,
"Nu: 0.2, Gamma: 0.0003",330,172,514,4502,87.56795941,0,40,,,
"Nu: 0.2, Gamma: 0.0004",355,147,568,4448,87.04240667,0,40,,,
"Nu: 0.2, Gamma: 0.005",143,359,228,4788,89.36208771,0,40,,,
"Nu: 0.2, Gamma: 0.05",380,122,394,4622,90.64878579,0,40,,,
"Nu: 0.2, Gamma: 0.0625",390,112,383,4633,91.02935846,0,40,,,
"Nu: 0.2, Gamma: 0.1",379,123,311,4705,92.13483146,0,40,,,
"Nu: 0.2, Gamma: 0.2",378,124,279,4737,92.69662921,0,40,,,
"Nu: 0.2, Gamma: 0.5",392,110,264,4752,93.22218195,0,40,,,
"Nu: 0.2, Gamma: 0.7",408,94,305,4711,92.76911925,0,40,,,
"Nu: 0.2, Gamma: 0.9",406,96,320,4696,92.46103661,0,40,,,
"Nu: 0.2, Gamma: 0.99",408,94,329,4687,92.33417905,0,40,,,
"Nu: 0.5, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.5, Gamma: 0.0002",0,502,8,5008,90.75752084,0,40,,,
"Nu: 0.5, Gamma: 0.0003",0,502,6,5010,90.79376586,0,40,,,
"Nu: 0.5, Gamma: 0.0004",0,502,8,5008,90.75752084,0,40,,,
"Nu: 0.5, Gamma: 0.005",19,483,48,4968,90.37694817,0,40,,,
"Nu: 0.5, Gamma: 0.05",230,272,167,4849,92.04421892,0,40,,,
"Nu: 0.5, Gamma: 0.0625",186,316,143,4873,91.68176876,0,40,,,
"Nu: 0.5, Gamma: 0.1",224,278,140,4876,92.42479159,0,40,,,
"Nu: 0.5, Gamma: 0.2",241,261,121,4895,93.07720188,0,40,,,
"Nu: 0.5, Gamma: 0.5",239,263,80,4936,93.7839797,0,40,,,
"Nu: 0.5, Gamma: 0.7",241,261,66,4950,94.07393983,0,40,,,
"Nu: 0.5, Gamma: 0.9",237,265,56,4960,94.18267488,0,40,,,
"Nu: 0.5, Gamma: 0.99",248,254,53,4963,94.43639,0,40,,,
