Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.54098361,28
"Nu: 0.0003, Gamma: 0.0003",0,12,0,36,75,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,36,75,0,40,,,
"Nu: 0.0003, Gamma: 0.005",7,5,34,2,18.75,0,40,,,
"Nu: 0.0003, Gamma: 0.05",7,5,32,4,22.91666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",7,5,31,5,25,0,40,,,
"Nu: 0.0003, Gamma: 0.1",7,5,28,8,31.25,0,40,,,
"Nu: 0.0003, Gamma: 0.2",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.7",12,0,5,31,89.58333333,0,40,,,
"Nu: 0.0003, Gamma: 0.9",12,0,5,31,89.58333333,0,40,,,
"Nu: 0.0003, Gamma: 0.99",11,1,3,33,91.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,36,75,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,36,75,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,36,75,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,36,75,0,40,,,
"Nu: 0.0004, Gamma: 0.005",7,5,34,2,18.75,0,40,,,
"Nu: 0.0004, Gamma: 0.05",7,5,32,4,22.91666667,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",7,5,31,5,25,0,40,,,
"Nu: 0.0004, Gamma: 0.1",7,5,28,8,31.25,0,40,,,
"Nu: 0.0004, Gamma: 0.2",7,5,11,25,66.66666667,0,40,,,
"Nu: 0.0004, Gamma: 0.5",10,2,7,29,81.25,0,40,,,
"Nu: 0.0004, Gamma: 0.7",12,0,7,29,85.41666667,0,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,6,30,87.5,0,40,,,
"Nu: 0.0004, Gamma: 0.99",11,1,3,33,91.66666667,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,36,75,0,40,,,
"Nu: 0.005, Gamma: 0.0002",7,5,34,2,18.75,0,40,,,
"Nu: 0.005, Gamma: 0.0003",7,5,34,2,18.75,0,40,,,
"Nu: 0.005, Gamma: 0.0004",7,5,34,2,18.75,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,36,0,25,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,36,0,25,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,36,0,25,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,33,3,31.25,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,12,24,75,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.7",11,1,7,29,83.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,5,31,89.58333333,0,40,,,
"Nu: 0.005, Gamma: 0.99",12,0,3,33,93.75,0,40,,,
"Nu: 0.05, Gamma: 0.0001",7,5,24,12,39.58333333,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,35,1,27.08333333,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,35,1,27.08333333,0,40,,,
"Nu: 0.05, Gamma: 0.0004",8,4,34,2,20.83333333,0,40,,,
"Nu: 0.05, Gamma: 0.005",11,1,35,1,25,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,33,3,31.25,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,33,3,31.25,0,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,28,8,41.66666667,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,12,24,75,0,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,8,28,83.33333333,0,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,7,29,85.41666667,0,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,4,32,91.66666667,0,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,3,33,93.75,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,35,1,27.08333333,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",7,5,28,8,31.25,0,40,,,
