Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.44444444,314
"Nu: 0.2, Gamma: 0.0004",3,1,18,14,47.22222222,0,40,,,
"Nu: 0.2, Gamma: 0.005",3,1,18,14,47.22222222,0,40,,,
"Nu: 0.2, Gamma: 0.05",3,1,17,15,50,0,40,,,
"Nu: 0.2, Gamma: 0.0625",3,1,17,15,50,0,40,,,
"Nu: 0.2, Gamma: 0.1",3,1,17,15,50,0,40,,,
"Nu: 0.2, Gamma: 0.2",3,1,20,12,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.5",3,1,23,9,33.33333333,0,40,,,
"Nu: 0.2, Gamma: 0.7",4,0,22,10,38.88888889,0,40,,,
"Nu: 0.2, Gamma: 0.9",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.2, Gamma: 0.99",4,0,23,9,36.11111111,0,40,,,
"Nu: 0.5, Gamma: 0.0001",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0002",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0003",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0004",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.005",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.05",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.0625",2,2,8,24,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.1",2,2,7,25,75,0,40,,,
"Nu: 0.5, Gamma: 0.2",3,1,7,25,77.77777778,0,40,,,
"Nu: 0.5, Gamma: 0.5",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.7",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.9",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.5, Gamma: 0.99",3,1,9,23,72.22222222,0,40,,,
"Nu: 0.7, Gamma: 0.0001",1,3,5,27,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,3,5,27,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,4,4,28,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,4,4,28,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,4,4,28,77.77777778,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,3,4,28,80.55555556,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,3,4,28,80.55555556,0,40,,,
"Nu: 0.7, Gamma: 0.1",1,3,3,29,83.33333333,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,2,2,30,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.5",2,2,1,31,91.66666667,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,1,1,31,94.44444444,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,1,3,29,88.88888889,0,40,,,
"Nu: 0.7, Gamma: 0.99",3,1,3,29,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,3,29,80.55555556,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,2,0,32,94.44444444,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,2,0,32,94.44444444,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,2,0,32,94.44444444,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,2,0,32,94.44444444,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,2,30,83.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,2,30,83.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,2,30,83.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,2,30,83.33333333,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,1,31,86.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,1,31,86.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,31,86.11111111,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,32,88.88888889,0,40,,,
"Nu: 0.99, Gamma: 0.5",2,2,0,32,94.44444444,0,40,,,
"Nu: 0.99, Gamma: 0.7",1,3,0,32,91.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.9",1,3,0,32,91.66666667,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,32,88.88888889,0,40,,,
,,,,,,,,,,
Features: 16,,,,,,,,,,
