Features: 16,,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,92.72727273,302
"Nu: 0.7, Gamma: 0.005",1,4,4,42,84.31372549,0,40,,,
"Nu: 0.7, Gamma: 0.05",2,3,4,42,86.2745098,0,40,,,
"Nu: 0.7, Gamma: 0.0625",2,3,4,42,86.2745098,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,3,4,42,86.2745098,0,40,,,
"Nu: 0.7, Gamma: 0.2",1,4,2,44,88.23529412,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,4,2,44,88.23529412,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,4,1,45,90.19607843,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,4,1,45,90.19607843,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,4,1,45,90.19607843,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,2,44,86.2745098,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,5,1,45,88.23529412,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,5,0,46,90.19607843,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,5,0,46,90.19607843,0,40,,,
,,,,,,,,,,
Target Class: canneal_halfcache,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,3,7,43,81.81818182,0,40,,,
"Nu: 0.0001, Gamma: 0.5",4,1,18,32,65.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.7",4,1,25,25,52.72727273,0,40,,,
"Nu: 0.0001, Gamma: 0.9",5,0,12,38,78.18181818,0,40,,,
"Nu: 0.0001, Gamma: 0.99",5,0,12,38,78.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,2,46,4,12.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,3,7,43,81.81818182,0,40,,,
"Nu: 0.0002, Gamma: 0.5",4,1,40,10,25.45454545,0,40,,,
"Nu: 0.0002, Gamma: 0.7",4,1,25,25,52.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,4,27,23,43.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,4,27,23,43.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,2,44,6,16.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,2,46,4,12.72727273,0,40,,,
