Features: 16,,,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.08284024,31,2924,2193
"Nu: 0.0625, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0625, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.0625, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.1, Gamma: 1e-05",114,2,222,29,38.96457766,0,40,,,,,
"Nu: 0.1, Gamma: 2e-05",169,11,167,20,51.4986376,0,40,,,,,
"Nu: 0.1, Gamma: 3e-05",154,6,182,25,48.77384196,0,40,,,,,
"Nu: 0.1, Gamma: 4e-05",195,12,141,19,58.3106267,0,40,,,,,
"Nu: 0.1, Gamma: 5e-05",172,6,164,25,53.67847411,0,40,,,,,
"Nu: 0.1, Gamma: 6e-05",177,6,159,25,55.04087193,0,40,,,,,
"Nu: 0.1, Gamma: 7e-05",184,6,152,25,56.94822888,0,40,,,,,
"Nu: 0.1, Gamma: 8e-05",190,6,146,25,58.58310627,0,40,,,,,
"Nu: 0.1, Gamma: 9e-05",225,13,111,18,66.21253406,0,40,,,,,
"Nu: 0.1, Gamma: 0.0001",195,7,141,24,59.67302452,0,40,,,,,
"Nu: 0.1, Gamma: 0.0002",216,7,120,24,65.39509537,0,40,,,,,
"Nu: 0.1, Gamma: 0.0003",262,13,74,18,76.29427793,0,40,,,,,
"Nu: 0.1, Gamma: 0.0004",270,15,66,16,77.92915531,0,40,,,,,
"Nu: 0.1, Gamma: 0.005",320,27,16,4,88.28337875,0,40,,,,,
"Nu: 0.1, Gamma: 0.05",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.1, Gamma: 0.0625",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.1, Gamma: 0.1",336,31,0,0,91.55313351,0,40,,,,,
"Nu: 0.1, Gamma: 0.2",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.1, Gamma: 0.5",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.1, Gamma: 0.7",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.1, Gamma: 0.9",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.1, Gamma: 0.99",304,25,32,6,84.46866485,0,40,,,,,
"Nu: 0.2, Gamma: 1e-05",147,9,189,22,46.04904632,0,40,,,,,
"Nu: 0.2, Gamma: 2e-05",165,12,171,19,50.13623978,0,40,,,,,
"Nu: 0.2, Gamma: 3e-05",154,6,182,25,48.77384196,0,40,,,,,
"Nu: 0.2, Gamma: 4e-05",195,12,141,19,58.3106267,0,40,,,,,
"Nu: 0.2, Gamma: 5e-05",172,6,164,25,53.67847411,0,40,,,,,
"Nu: 0.2, Gamma: 6e-05",177,6,159,25,55.04087193,0,40,,,,,
"Nu: 0.2, Gamma: 7e-05",216,12,120,19,64.03269755,0,40,,,,,
"Nu: 0.2, Gamma: 8e-05",222,12,114,19,65.66757493,0,40,,,,,
"Nu: 0.2, Gamma: 9e-05",192,7,144,24,58.85558583,0,40,,,,,
