Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.6744186,27
"Nu: 0.9, Gamma: 0.0003",1,3,1,38,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,3,1,38,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,3,1,38,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,3,0,39,93.02325581,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,3,0,39,93.02325581,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,3,0,39,93.02325581,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,3,0,39,93.02325581,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,4,0,39,90.69767442,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,0,39,90.69767442,0,40,,,
