Features: 16,,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percentage,Upsampling,
"Nu: 0.5, Gamma: 0.0003",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.0004",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.005",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.05",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.0625",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.1",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.2",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.5",6,6,0,0,50.0,10,40,
"Nu: 0.5, Gamma: 0.7",7,5,0,0,58.333333333333336,10,40,
"Nu: 0.5, Gamma: 0.9",8,4,0,0,66.66666666666666,10,40,
"Nu: 0.5, Gamma: 0.99",8,4,0,0,66.66666666666666,10,40,
"Nu: 0.7, Gamma: 0.0001",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.0002",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.0003",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.0004",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.005",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.05",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.0625",2,10,0,0,16.666666666666664,10,40,
"Nu: 0.7, Gamma: 0.1",4,8,0,0,33.33333333333333,10,40,
"Nu: 0.7, Gamma: 0.2",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.7, Gamma: 0.5",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.7, Gamma: 0.7",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.7, Gamma: 0.9",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.7, Gamma: 0.99",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.9, Gamma: 0.0001",1,11,0,0,8.333333333333332,10,40,
"Nu: 0.9, Gamma: 0.0002",1,11,0,0,8.333333333333332,10,40,
"Nu: 0.9, Gamma: 0.0003",1,11,0,0,8.333333333333332,10,40,
"Nu: 0.9, Gamma: 0.0004",1,11,0,0,8.333333333333332,10,40,
"Nu: 0.9, Gamma: 0.005",1,11,0,0,8.333333333333332,10,40,
"Nu: 0.9, Gamma: 0.05",0,12,0,0,0.0,10,40,
"Nu: 0.9, Gamma: 0.0625",0,12,0,0,0.0,10,40,
"Nu: 0.9, Gamma: 0.1",0,12,0,0,0.0,10,40,
"Nu: 0.9, Gamma: 0.2",0,12,0,0,0.0,10,40,
"Nu: 0.9, Gamma: 0.5",4,8,0,0,33.33333333333333,10,40,
"Nu: 0.9, Gamma: 0.7",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.9, Gamma: 0.9",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.9, Gamma: 0.99",5,7,0,0,41.66666666666667,10,40,
"Nu: 0.99, Gamma: 0.0001",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.0002",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.0003",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.0004",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.005",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.05",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.0625",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.1",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.2",0,12,0,0,0.0,10,40,
"Nu: 0.99, Gamma: 0.5",4,8,0,0,33.33333333333333,10,40,
"Nu: 0.99, Gamma: 0.7",4,8,0,0,33.33333333333333,10,40,
"Nu: 0.99, Gamma: 0.9",4,8,0,0,33.33333333333333,10,40,
"Nu: 0.99, Gamma: 0.99",4,8,0,0,33.33333333333333,10,40,
,,,,,,,,
