Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.98266297,117
"Nu: 0.99, Gamma: 0.7",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,10,0,23062,99.95665742,0,40,,,
,,,,,,,,,,
Target Class: dedup_Pileline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",1751,556,68,28,74.03245943,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",1862,445,68,28,78.65168539,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",2305,2,80,16,96.58759883,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",2305,2,79,17,96.62921348,0,40,,,
"Nu: 0.0001, Gamma: 0.005",2306,1,91,5,96.17145235,0,40,,,
"Nu: 0.0001, Gamma: 0.05",2306,1,89,7,96.25468165,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2295,12,89,7,95.79692052,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2306,1,89,7,96.25468165,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2306,1,80,16,96.62921348,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2305,2,56,40,97.5863504,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2305,2,40,56,98.25218477,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2305,2,36,60,98.41864336,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2305,2,31,65,98.6267166,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",1250,1057,69,27,53.14190595,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",1250,1057,69,27,53.14190595,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",1248,1059,69,27,53.05867665,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",1747,560,74,22,73.61631294,0,40,,,
"Nu: 0.0002, Gamma: 0.005",1745,562,89,7,72.90886392,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2246,61,88,8,93.79941739,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2246,61,86,10,93.88264669,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2306,1,81,15,96.58759883,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2306,1,69,27,97.08697462,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2305,2,59,37,97.46150645,0,40,,,
"Nu: 0.0002, Gamma: 0.7",2305,2,40,56,98.25218477,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2305,2,36,60,98.41864336,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2305,2,29,67,98.7099459,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",1160,1147,68,28,49.43820225,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",2306,1,80,16,96.62921348,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",1202,1105,70,26,51.10278818,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",1227,1080,77,19,51.85185185,0,40,,,
"Nu: 0.0003, Gamma: 0.005",1227,1080,77,19,51.85185185,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2282,25,77,19,95.75530587,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2240,67,76,20,94.04910529,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2300,7,75,21,96.58759883,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2304,3,68,28,97.04535997,0,40,,,
"Nu: 0.0003, Gamma: 0.5",2303,4,54,42,97.5863504,0,40,,,
"Nu: 0.0003, Gamma: 0.7",2305,2,42,54,98.16895547,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2305,2,34,62,98.50187266,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2305,2,29,67,98.7099459,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",1487,820,67,29,63.08780691,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",1530,777,70,26,64.75239284,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",1525,782,70,26,64.5443196,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",1525,782,73,23,64.41947566,0,40,,,
"Nu: 0.0004, Gamma: 0.005",2304,3,76,20,96.71244278,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2304,3,72,24,96.87890137,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",1858,449,71,25,78.36038285,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2304,3,69,27,97.00374532,0,40,,,
"Nu: 0.0004, Gamma: 0.2",2214,93,68,28,93.30004161,0,40,,,
"Nu: 0.0004, Gamma: 0.5",2239,68,52,44,95.0062422,0,40,,,
"Nu: 0.0004, Gamma: 0.7",2303,4,40,56,98.16895547,0,40,,,
"Nu: 0.0004, Gamma: 0.9",2303,4,35,61,98.37702871,0,40,,,
"Nu: 0.0004, Gamma: 0.99",2303,4,31,65,98.54348731,0,40,,,
"Nu: 0.005, Gamma: 0.0001",2300,7,49,47,97.66957969,0,40,,,
"Nu: 0.005, Gamma: 0.0002",2300,7,49,47,97.66957969,0,40,,,
"Nu: 0.005, Gamma: 0.0003",1105,1202,46,50,48.06491885,0,40,,,
"Nu: 0.005, Gamma: 0.0004",1106,1201,46,50,48.1065335,0,40,,,
"Nu: 0.005, Gamma: 0.005",2291,16,47,49,97.37827715,0,40,,,
"Nu: 0.005, Gamma: 0.05",2291,16,44,52,97.5031211,0,40,,,
"Nu: 0.005, Gamma: 0.0625",2291,16,41,55,97.62796504,0,40,,,
"Nu: 0.005, Gamma: 0.1",2291,16,41,55,97.62796504,0,40,,,
"Nu: 0.005, Gamma: 0.2",2290,17,35,61,97.83603829,0,40,,,
"Nu: 0.005, Gamma: 0.5",2290,17,17,79,98.58510196,0,40,,,
"Nu: 0.005, Gamma: 0.7",2289,18,9,87,98.87640449,0,40,,,
"Nu: 0.005, Gamma: 0.9",2289,18,7,89,98.95963379,0,40,,,
"Nu: 0.005, Gamma: 0.99",2287,20,6,90,98.91801914,0,40,,,
"Nu: 0.05, Gamma: 0.0001",1695,612,4,92,74.36537661,0,40,,,
"Nu: 0.05, Gamma: 0.0002",1690,617,4,92,74.15730337,0,40,,,
"Nu: 0.05, Gamma: 0.0003",1698,609,4,92,74.49022056,0,40,,,
"Nu: 0.05, Gamma: 0.0004",1703,604,4,92,74.6982938,0,40,,,
"Nu: 0.05, Gamma: 0.005",2194,113,4,92,95.13108614,0,40,,,
"Nu: 0.05, Gamma: 0.05",2195,112,3,93,95.21431544,0,40,,,
"Nu: 0.05, Gamma: 0.0625",2196,111,3,93,95.25593009,0,40,,,
"Nu: 0.05, Gamma: 0.1",2195,112,3,93,95.21431544,0,40,,,
"Nu: 0.05, Gamma: 0.2",2196,111,3,93,95.25593009,0,40,,,
"Nu: 0.05, Gamma: 0.5",2180,127,0,96,94.71493966,0,40,,,
"Nu: 0.05, Gamma: 0.7",2194,113,0,96,95.29754474,0,40,,,
"Nu: 0.05, Gamma: 0.9",2194,113,0,96,95.29754474,0,40,,,
"Nu: 0.05, Gamma: 0.99",2185,122,0,96,94.9230129,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",1132,1175,3,93,50.97794424,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",1136,1171,3,93,51.14440283,0,40,,,
