Features: 16,,,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,96.22641509,462
"Nu: 0.0001, Gamma: 0.2",2,3,16,28,61.2244898,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,3,4,40,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,3,4,40,85.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,3,4,40,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,3,17,27,59.18367347,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,3,15,29,63.26530612,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,3,19,25,55.10204082,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,4,4,40,83.67346939,0,40,,,
"Nu: 0.0002, Gamma: 0.5",1,4,2,42,87.75510204,0,40,,,
"Nu: 0.0002, Gamma: 0.7",2,3,4,40,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,4,0,44,91.83673469,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,3,15,29,63.26530612,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,3,18,26,57.14285714,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,2,8,36,79.59183673,0,40,,,
"Nu: 0.0003, Gamma: 0.5",3,2,6,38,83.67346939,0,40,,,
"Nu: 0.0003, Gamma: 0.7",3,2,4,40,87.75510204,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,4,1,43,89.79591837,0,40,,,
"Nu: 0.0003, Gamma: 0.99",3,2,4,40,87.75510204,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2,3,10,34,73.46938776,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,3,15,29,63.26530612,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2,3,18,26,57.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.2",4,1,20,24,57.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.5",3,2,5,39,85.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.7",3,2,4,40,87.75510204,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,2,4,40,87.75510204,0,40,,,
"Nu: 0.0004, Gamma: 0.99",3,2,4,40,87.75510204,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,44,89.79591837,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,44,89.79591837,0,40,,,
