Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0002, Gamma: 0.05",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0002, Gamma: 0.0625",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0002, Gamma: 0.1",2,2,16,23,58.139534883720934,0,40,
"Nu: 0.0002, Gamma: 0.2",2,2,2,37,90.69767441860465,0,40,
"Nu: 0.0002, Gamma: 0.5",1,3,5,34,81.3953488372093,0,40,
"Nu: 0.0002, Gamma: 0.7",1,3,7,32,76.74418604651163,0,40,
"Nu: 0.0002, Gamma: 0.9",3,1,4,35,88.37209302325581,0,40,
"Nu: 0.0002, Gamma: 0.99",3,1,4,35,88.37209302325581,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0003, Gamma: 0.005",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0003, Gamma: 0.05",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0003, Gamma: 0.0625",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0003, Gamma: 0.1",2,2,16,23,58.139534883720934,0,40,
"Nu: 0.0003, Gamma: 0.2",2,2,12,27,67.44186046511628,0,40,
"Nu: 0.0003, Gamma: 0.5",3,1,8,31,79.06976744186046,0,40,
"Nu: 0.0003, Gamma: 0.7",3,1,7,32,81.3953488372093,0,40,
"Nu: 0.0003, Gamma: 0.9",3,1,9,30,76.74418604651163,0,40,
"Nu: 0.0003, Gamma: 0.99",3,1,9,30,76.74418604651163,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0004, Gamma: 0.005",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.0004, Gamma: 0.05",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0004, Gamma: 0.0625",2,2,18,21,53.48837209302325,0,40,
"Nu: 0.0004, Gamma: 0.1",3,1,30,9,27.906976744186046,0,40,
"Nu: 0.0004, Gamma: 0.2",3,1,26,13,37.2093023255814,0,40,
"Nu: 0.0004, Gamma: 0.5",3,1,16,23,60.46511627906976,0,40,
"Nu: 0.0004, Gamma: 0.7",3,1,7,32,81.3953488372093,0,40,
"Nu: 0.0004, Gamma: 0.9",3,1,5,34,86.04651162790698,0,40,
"Nu: 0.0004, Gamma: 0.99",3,1,4,35,88.37209302325581,0,40,
"Nu: 0.005, Gamma: 0.0001",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.005, Gamma: 0.0002",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.005, Gamma: 0.0003",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.005, Gamma: 0.0004",0,4,0,39,90.69767441860465,0,40,
"Nu: 0.005, Gamma: 0.005",3,1,32,7,23.25581395348837,0,40,
"Nu: 0.005, Gamma: 0.05",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.005, Gamma: 0.0625",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.005, Gamma: 0.1",4,0,30,9,30.23255813953488,0,40,
"Nu: 0.005, Gamma: 0.2",4,0,23,16,46.51162790697674,0,40,
"Nu: 0.005, Gamma: 0.5",4,0,13,26,69.76744186046511,0,40,
"Nu: 0.005, Gamma: 0.7",4,0,10,29,76.74418604651163,0,40,
"Nu: 0.005, Gamma: 0.9",3,1,7,32,81.3953488372093,0,40,
"Nu: 0.005, Gamma: 0.99",4,0,6,33,86.04651162790698,0,40,
"Nu: 0.05, Gamma: 0.0001",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.0002",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.0003",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.0004",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.005",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.05",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.0625",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.05, Gamma: 0.1",4,0,30,9,30.23255813953488,0,40,
"Nu: 0.05, Gamma: 0.2",4,0,24,15,44.18604651162791,0,40,
"Nu: 0.05, Gamma: 0.5",4,0,13,26,69.76744186046511,0,40,
"Nu: 0.05, Gamma: 0.7",4,0,10,29,76.74418604651163,0,40,
"Nu: 0.05, Gamma: 0.9",4,0,7,32,83.72093023255815,0,40,
"Nu: 0.05, Gamma: 0.99",4,0,6,33,86.04651162790698,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,3,15,24,58.139534883720934,0,40,
"Nu: 0.0625, Gamma: 0.0002",1,3,15,24,58.139534883720934,0,40,
"Nu: 0.0625, Gamma: 0.0003",4,0,32,7,25.581395348837212,0,40,
"Nu: 0.0625, Gamma: 0.0004",4,0,31,8,27.906976744186046,0,40,
"Nu: 0.0625, Gamma: 0.005",3,1,25,14,39.53488372093023,0,40,
"Nu: 0.0625, Gamma: 0.05",4,0,26,13,39.53488372093023,0,40,
"Nu: 0.0625, Gamma: 0.0625",4,0,26,13,39.53488372093023,0,40,
"Nu: 0.0625, Gamma: 0.1",4,0,25,14,41.86046511627907,0,40,
"Nu: 0.0625, Gamma: 0.2",4,0,24,15,44.18604651162791,0,40,
"Nu: 0.0625, Gamma: 0.5",4,0,12,27,72.09302325581395,0,40,
"Nu: 0.0625, Gamma: 0.7",4,0,10,29,76.74418604651163,0,40,
"Nu: 0.0625, Gamma: 0.9",4,0,7,32,83.72093023255815,0,40,
