Features: 16,,,,,,,,,,
Target Class: facesim,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.9263623,116
"Nu: 0.0001, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0001, Gamma: 0.005",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.05",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.1",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.2",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0001, Gamma: 0.5",132,2,213,17,40.93406593,0,40,,,
"Nu: 0.0001, Gamma: 0.7",110,24,191,39,40.93406593,0,40,,,
"Nu: 0.0001, Gamma: 0.9",104,30,191,39,39.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.99",106,28,192,38,39.56043956,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,134,0,230,63.18681319,0,40,,,
"Nu: 0.0002, Gamma: 0.005",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.05",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.1",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.2",133,1,229,1,36.81318681,0,40,,,
"Nu: 0.0002, Gamma: 0.5",128,6,210,20,40.65934066,0,40,,,
"Nu: 0.0002, Gamma: 0.7",133,1,198,32,45.32967033,0,40,,,
"Nu: 0.0002, Gamma: 0.9",126,8,193,37,44.78021978,0,40,,,
