Features: 16,,,,,,,,,
Target Class: canneal,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,90.90909091
"Nu: 0.0001, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.05",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0001, Gamma: 0.0625",5,0,47,3,14.54545455,0,40,,
"Nu: 0.0001, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0001, Gamma: 0.2",0,5,8,42,76.36363636,0,40,,
"Nu: 0.0001, Gamma: 0.5",0,5,8,42,76.36363636,0,40,,
"Nu: 0.0001, Gamma: 0.7",2,3,29,21,41.81818182,0,40,,
"Nu: 0.0001, Gamma: 0.9",2,3,28,22,43.63636364,0,40,,
"Nu: 0.0001, Gamma: 0.99",2,3,26,24,47.27272727,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,50,90.90909091,0,40,,
"Nu: 0.0002, Gamma: 0.05",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0002, Gamma: 0.0625",5,0,47,3,14.54545455,0,40,,
"Nu: 0.0002, Gamma: 0.1",5,0,45,5,18.18181818,0,40,,
"Nu: 0.0002, Gamma: 0.2",0,5,8,42,76.36363636,0,40,,
"Nu: 0.0002, Gamma: 0.5",4,1,44,6,18.18181818,0,40,,
"Nu: 0.0002, Gamma: 0.7",2,3,29,21,41.81818182,0,40,,
"Nu: 0.0002, Gamma: 0.9",2,3,28,22,43.63636364,0,40,,
"Nu: 0.0002, Gamma: 0.99",1,4,11,39,72.72727273,0,40,,
