Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.29078014,290
"Nu: 0.05, Gamma: 0.99",24,0,15,102,89.36170213,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",21,3,113,4,17.73049645,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",21,3,113,4,17.73049645,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",18,6,112,5,16.31205674,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",24,0,113,4,19.85815603,0,40,,,
"Nu: 0.0625, Gamma: 0.005",24,0,113,4,19.85815603,0,40,,,
"Nu: 0.0625, Gamma: 0.05",24,0,111,6,21.27659574,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",24,0,110,7,21.9858156,0,40,,,
"Nu: 0.0625, Gamma: 0.1",24,0,105,12,25.53191489,0,40,,,
"Nu: 0.0625, Gamma: 0.2",24,0,29,88,79.43262411,0,40,,,
"Nu: 0.0625, Gamma: 0.5",24,0,19,98,86.5248227,0,40,,,
"Nu: 0.0625, Gamma: 0.7",24,0,17,100,87.94326241,0,40,,,
"Nu: 0.0625, Gamma: 0.9",24,0,15,102,89.36170213,0,40,,,
"Nu: 0.0625, Gamma: 0.99",24,0,14,103,90.07092199,0,40,,,
"Nu: 0.1, Gamma: 0.0001",24,0,108,9,23.40425532,0,40,,,
"Nu: 0.1, Gamma: 0.0002",20,4,109,8,19.85815603,0,40,,,
"Nu: 0.1, Gamma: 0.0003",20,4,109,8,19.85815603,0,40,,,
"Nu: 0.1, Gamma: 0.0004",24,0,108,9,23.40425532,0,40,,,
"Nu: 0.1, Gamma: 0.005",24,0,108,9,23.40425532,0,40,,,
"Nu: 0.1, Gamma: 0.05",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.1, Gamma: 0.0625",24,0,106,11,24.82269504,0,40,,,
"Nu: 0.1, Gamma: 0.1",24,0,100,17,29.07801418,0,40,,,
"Nu: 0.1, Gamma: 0.2",24,0,26,91,81.56028369,0,40,,,
"Nu: 0.1, Gamma: 0.5",24,0,17,100,87.94326241,0,40,,,
"Nu: 0.1, Gamma: 0.7",23,1,15,102,88.65248227,0,40,,,
"Nu: 0.1, Gamma: 0.9",23,1,7,110,94.32624113,0,40,,,
"Nu: 0.1, Gamma: 0.99",24,0,4,113,97.16312057,0,40,,,
"Nu: 0.2, Gamma: 0.0001",16,8,105,12,19.85815603,0,40,,,
"Nu: 0.2, Gamma: 0.0002",18,6,105,12,21.27659574,0,40,,,
"Nu: 0.2, Gamma: 0.0003",18,6,105,12,21.27659574,0,40,,,
"Nu: 0.2, Gamma: 0.0004",18,6,105,12,21.27659574,0,40,,,
"Nu: 0.2, Gamma: 0.005",18,6,105,12,21.27659574,0,40,,,
"Nu: 0.2, Gamma: 0.05",18,6,104,13,21.9858156,0,40,,,
"Nu: 0.2, Gamma: 0.0625",18,6,101,16,24.11347518,0,40,,,
"Nu: 0.2, Gamma: 0.1",18,6,97,20,26.95035461,0,40,,,
"Nu: 0.2, Gamma: 0.2",19,5,17,100,84.39716312,0,40,,,
"Nu: 0.2, Gamma: 0.5",23,1,1,116,98.58156028,0,40,,,
"Nu: 0.2, Gamma: 0.7",21,3,0,117,97.87234043,0,40,,,
"Nu: 0.2, Gamma: 0.9",22,2,0,117,98.58156028,0,40,,,
"Nu: 0.2, Gamma: 0.99",23,1,0,117,99.29078014,0,40,,,
"Nu: 0.5, Gamma: 0.0001",12,12,96,21,23.40425532,0,40,,,
"Nu: 0.5, Gamma: 0.0002",12,12,96,21,23.40425532,0,40,,,
"Nu: 0.5, Gamma: 0.0003",12,12,96,21,23.40425532,0,40,,,
"Nu: 0.5, Gamma: 0.0004",12,12,96,21,23.40425532,0,40,,,
