Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.81021898,156
,,,,,,,,,,
Target Class: ferret_cachehalf,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,14,0,36,72,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,14,0,36,72,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,14,0,36,72,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,14,0,36,72,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,14,0,36,72,0,40,,,
"Nu: 0.0001, Gamma: 0.05",13,1,36,0,26,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",13,1,36,0,26,0,40,,,
"Nu: 0.0001, Gamma: 0.1",13,1,32,4,34,0,40,,,
"Nu: 0.0001, Gamma: 0.2",3,11,2,34,74,0,40,,,
"Nu: 0.0001, Gamma: 0.5",9,5,10,26,70,0,40,,,
"Nu: 0.0001, Gamma: 0.7",7,7,8,28,70,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,12,6,30,64,0,40,,,
"Nu: 0.0001, Gamma: 0.99",9,5,8,28,74,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,14,0,36,72,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,14,0,36,72,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,14,0,36,72,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,14,0,36,72,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,14,0,36,72,0,40,,,
"Nu: 0.0002, Gamma: 0.05",13,1,36,0,26,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",13,1,36,0,26,0,40,,,
"Nu: 0.0002, Gamma: 0.1",13,1,32,4,34,0,40,,,
"Nu: 0.0002, Gamma: 0.2",13,1,15,21,68,0,40,,,
"Nu: 0.0002, Gamma: 0.5",11,3,10,26,74,0,40,,,
"Nu: 0.0002, Gamma: 0.7",10,4,9,27,74,0,40,,,
"Nu: 0.0002, Gamma: 0.9",10,4,8,28,76,0,40,,,
"Nu: 0.0002, Gamma: 0.99",6,8,6,30,72,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,14,0,36,72,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,14,0,36,72,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,14,0,36,72,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,14,0,36,72,0,40,,,
"Nu: 0.0003, Gamma: 0.005",3,11,13,23,52,0,40,,,
"Nu: 0.0003, Gamma: 0.05",13,1,36,0,26,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",13,1,36,0,26,0,40,,,
"Nu: 0.0003, Gamma: 0.1",13,1,32,4,34,0,40,,,
"Nu: 0.0003, Gamma: 0.2",13,1,15,21,68,0,40,,,
"Nu: 0.0003, Gamma: 0.5",12,2,11,25,74,0,40,,,
"Nu: 0.0003, Gamma: 0.7",10,4,9,27,74,0,40,,,
"Nu: 0.0003, Gamma: 0.9",10,4,9,27,74,0,40,,,
"Nu: 0.0003, Gamma: 0.99",7,7,8,28,70,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,14,0,36,72,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,14,0,36,72,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,14,0,36,72,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,14,0,36,72,0,40,,,
"Nu: 0.0004, Gamma: 0.005",13,1,36,0,26,0,40,,,
"Nu: 0.0004, Gamma: 0.05",13,1,36,0,26,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",13,1,36,0,26,0,40,,,
"Nu: 0.0004, Gamma: 0.1",13,1,32,4,34,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,2,13,23,70,0,40,,,
"Nu: 0.0004, Gamma: 0.5",7,7,8,28,70,0,40,,,
