Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,212
"Nu: 0.0003, Gamma: 0.1",4,1,30,9,29.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.2",5,0,25,14,43.18181818,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,4,35,88.63636364,0,40,,,
"Nu: 0.0003, Gamma: 0.7",3,2,1,38,93.18181818,0,40,,,
"Nu: 0.0003, Gamma: 0.9",5,0,1,38,97.72727273,0,40,,,
"Nu: 0.0003, Gamma: 0.99",5,0,0,39,100,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.0004, Gamma: 0.05",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.1",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.2",5,0,14,25,68.18181818,0,40,,,
"Nu: 0.0004, Gamma: 0.5",5,0,10,29,77.27272727,0,40,,,
"Nu: 0.0004, Gamma: 0.7",4,1,7,32,81.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.9",5,0,1,38,97.72727273,0,40,,,
"Nu: 0.0004, Gamma: 0.99",5,0,0,39,100,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,5,0,39,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.005",5,0,38,1,13.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.05",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.0625",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.1",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.2",5,0,28,11,36.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.5",5,0,10,29,77.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.7",5,0,11,28,75,0,40,,,
"Nu: 0.005, Gamma: 0.9",5,0,5,34,88.63636364,0,40,,,
"Nu: 0.005, Gamma: 0.99",5,0,3,36,93.18181818,0,40,,,
"Nu: 0.05, Gamma: 0.0001",5,0,22,17,50,0,40,,,
"Nu: 0.05, Gamma: 0.0002",5,0,22,17,50,0,40,,,
"Nu: 0.05, Gamma: 0.0003",5,0,38,1,13.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.0004",5,0,38,1,13.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.005",5,0,38,1,13.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.05",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.0625",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.05, Gamma: 0.1",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.05, Gamma: 0.2",5,0,28,11,36.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.5",5,0,12,27,72.72727273,0,40,,,
"Nu: 0.05, Gamma: 0.7",5,0,9,30,79.54545455,0,40,,,
"Nu: 0.05, Gamma: 0.9",5,0,5,34,88.63636364,0,40,,,
"Nu: 0.05, Gamma: 0.99",5,0,3,36,93.18181818,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,2,8,31,77.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",5,0,23,16,47.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",5,0,23,16,47.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.005",5,0,33,6,25,0,40,,,
"Nu: 0.0625, Gamma: 0.05",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.0625, Gamma: 0.1",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.0625, Gamma: 0.2",5,0,28,11,36.36363636,0,40,,,
"Nu: 0.0625, Gamma: 0.5",5,0,12,27,72.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.7",5,0,9,30,79.54545455,0,40,,,
"Nu: 0.0625, Gamma: 0.9",5,0,5,34,88.63636364,0,40,,,
"Nu: 0.0625, Gamma: 0.99",5,0,3,36,93.18181818,0,40,,,
"Nu: 0.1, Gamma: 0.0001",5,0,33,6,25,0,40,,,
"Nu: 0.1, Gamma: 0.0002",5,0,38,1,13.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.0003",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.0004",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.005",5,0,32,7,27.27272727,0,40,,,
"Nu: 0.1, Gamma: 0.05",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.0625",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.1",5,0,31,8,29.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.2",5,0,28,11,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.5",5,0,12,27,72.72727273,0,40,,,
"Nu: 0.1, Gamma: 0.7",5,0,9,30,79.54545455,0,40,,,
"Nu: 0.1, Gamma: 0.9",5,0,5,34,88.63636364,0,40,,,
"Nu: 0.1, Gamma: 0.99",5,0,3,36,93.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.0001",5,0,22,17,50,0,40,,,
"Nu: 0.2, Gamma: 0.0002",5,0,24,15,45.45454545,0,40,,,
"Nu: 0.2, Gamma: 0.0003",5,0,26,13,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.0004",5,0,26,13,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.005",5,0,26,13,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.05",5,0,26,13,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.0625",5,0,26,13,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.1",5,0,25,14,43.18181818,0,40,,,
"Nu: 0.2, Gamma: 0.2",5,0,21,18,52.27272727,0,40,,,
"Nu: 0.2, Gamma: 0.5",5,0,12,27,72.72727273,0,40,,,
"Nu: 0.2, Gamma: 0.7",5,0,8,31,81.81818182,0,40,,,
"Nu: 0.2, Gamma: 0.9",5,0,5,34,88.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.99",5,0,3,36,93.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.0001",5,0,22,17,50,0,40,,,
"Nu: 0.5, Gamma: 0.0002",5,0,22,17,50,0,40,,,
"Nu: 0.5, Gamma: 0.0003",5,0,22,17,50,0,40,,,
"Nu: 0.5, Gamma: 0.0004",5,0,22,17,50,0,40,,,
"Nu: 0.5, Gamma: 0.005",5,0,22,17,50,0,40,,,
"Nu: 0.5, Gamma: 0.05",5,0,21,18,52.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.0625",5,0,21,18,52.27272727,0,40,,,
"Nu: 0.5, Gamma: 0.1",5,0,20,19,54.54545455,0,40,,,
"Nu: 0.5, Gamma: 0.2",5,0,15,24,65.90909091,0,40,,,
"Nu: 0.5, Gamma: 0.5",5,0,7,32,84.09090909,0,40,,,
"Nu: 0.5, Gamma: 0.7",5,0,3,36,93.18181818,0,40,,,
"Nu: 0.5, Gamma: 0.9",5,0,1,38,97.72727273,0,40,,,
"Nu: 0.5, Gamma: 0.99",5,0,1,38,97.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,5,8,31,70.45454545,0,40,,,
"Nu: 0.7, Gamma: 0.0002",1,4,12,27,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.0003",1,4,12,27,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.0004",1,4,12,27,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.005",1,4,11,28,65.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.05",1,4,10,29,68.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.0625",1,4,10,29,68.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.1",2,3,9,30,72.72727273,0,40,,,
"Nu: 0.7, Gamma: 0.2",2,3,7,32,77.27272727,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,1,3,36,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.7",3,2,2,37,90.90909091,0,40,,,
"Nu: 0.7, Gamma: 0.9",3,2,1,38,93.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.99",2,3,1,38,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,5,8,31,70.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,5,8,31,70.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,5,8,31,70.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,5,8,31,70.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,4,8,31,72.72727273,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,4,6,33,77.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,4,6,33,77.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,4,6,33,77.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,4,2,37,86.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,3,0,39,93.18181818,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,4,0,39,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,5,6,33,75,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,5,1,38,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,5,1,38,86.36363636,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,5,1,38,86.36363636,0,40,,,
