Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.99, Gamma: 0.005",1,4,1,47,90.56603773584906,0,40,
"Nu: 0.99, Gamma: 0.05",1,4,0,48,92.45283018867924,0,40,
"Nu: 0.99, Gamma: 0.0625",1,4,0,48,92.45283018867924,0,40,
"Nu: 0.99, Gamma: 0.1",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.99, Gamma: 0.2",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.99, Gamma: 0.5",0,5,0,48,90.56603773584906,0,40,
"Nu: 0.99, Gamma: 0.7",0,5,1,47,88.67924528301887,0,40,
"Nu: 0.99, Gamma: 0.9",0,5,2,46,86.79245283018868,0,40,
"Nu: 0.99, Gamma: 0.99",0,5,0,48,90.56603773584906,0,40,
,,,,,,,,
Target Class: canneal_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0001, Gamma: 0.005",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0001, Gamma: 0.05",3,2,44,6,16.363636363636363,0,40,
"Nu: 0.0001, Gamma: 0.0625",3,2,44,6,16.363636363636363,0,40,
"Nu: 0.0001, Gamma: 0.1",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0001, Gamma: 0.2",1,4,25,25,47.27272727272727,0,40,
"Nu: 0.0001, Gamma: 0.5",0,5,18,32,58.18181818181818,0,40,
"Nu: 0.0001, Gamma: 0.7",2,3,35,15,30.909090909090907,0,40,
"Nu: 0.0001, Gamma: 0.9",2,3,33,17,34.54545454545455,0,40,
"Nu: 0.0001, Gamma: 0.99",2,3,30,20,40.0,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0002, Gamma: 0.005",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0002, Gamma: 0.05",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0002, Gamma: 0.0625",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0002, Gamma: 0.1",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0002, Gamma: 0.2",1,4,25,25,47.27272727272727,0,40,
"Nu: 0.0002, Gamma: 0.5",5,0,39,11,29.09090909090909,0,40,
"Nu: 0.0002, Gamma: 0.7",2,3,35,15,30.909090909090907,0,40,
"Nu: 0.0002, Gamma: 0.9",2,3,33,17,34.54545454545455,0,40,
"Nu: 0.0002, Gamma: 0.99",2,3,30,20,40.0,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0003, Gamma: 0.005",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0003, Gamma: 0.05",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0003, Gamma: 0.0625",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0003, Gamma: 0.1",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0003, Gamma: 0.2",1,4,25,25,47.27272727272727,0,40,
"Nu: 0.0003, Gamma: 0.5",2,3,22,28,54.54545454545454,0,40,
"Nu: 0.0003, Gamma: 0.7",0,5,18,32,58.18181818181818,0,40,
"Nu: 0.0003, Gamma: 0.9",1,4,17,33,61.81818181818181,0,40,
"Nu: 0.0003, Gamma: 0.99",1,4,21,29,54.54545454545454,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0004, Gamma: 0.005",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.0004, Gamma: 0.05",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0004, Gamma: 0.0625",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0004, Gamma: 0.1",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.0004, Gamma: 0.2",1,4,25,25,47.27272727272727,0,40,
"Nu: 0.0004, Gamma: 0.5",2,3,22,28,54.54545454545454,0,40,
"Nu: 0.0004, Gamma: 0.7",0,5,18,32,58.18181818181818,0,40,
"Nu: 0.0004, Gamma: 0.9",1,4,17,33,61.81818181818181,0,40,
"Nu: 0.0004, Gamma: 0.99",1,4,21,29,54.54545454545454,0,40,
"Nu: 0.005, Gamma: 0.0001",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.005, Gamma: 0.0002",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.005, Gamma: 0.0003",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.005, Gamma: 0.0004",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.005, Gamma: 0.005",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.05",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.0625",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.1",5,0,49,1,10.909090909090908,0,40,
"Nu: 0.005, Gamma: 0.2",4,1,31,19,41.81818181818181,0,40,
"Nu: 0.005, Gamma: 0.5",4,1,29,21,45.45454545454545,0,40,
"Nu: 0.005, Gamma: 0.7",2,3,29,21,41.81818181818181,0,40,
"Nu: 0.005, Gamma: 0.9",5,0,30,20,45.45454545454545,0,40,
"Nu: 0.005, Gamma: 0.99",1,4,24,26,49.09090909090909,0,40,
"Nu: 0.05, Gamma: 0.0001",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.0002",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.0003",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.0004",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.005",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.05",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.0625",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.1",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.05, Gamma: 0.2",5,0,33,17,40.0,0,40,
"Nu: 0.05, Gamma: 0.5",4,1,28,22,47.27272727272727,0,40,
"Nu: 0.05, Gamma: 0.7",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.05, Gamma: 0.9",3,2,26,24,49.09090909090909,0,40,
"Nu: 0.05, Gamma: 0.99",1,4,24,26,49.09090909090909,0,40,
"Nu: 0.0625, Gamma: 0.0001",3,2,44,6,16.363636363636363,0,40,
"Nu: 0.0625, Gamma: 0.0002",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.0003",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.0004",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.005",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.05",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.0625",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.1",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.0625, Gamma: 0.2",5,0,30,20,45.45454545454545,0,40,
"Nu: 0.0625, Gamma: 0.5",4,1,28,22,47.27272727272727,0,40,
"Nu: 0.0625, Gamma: 0.7",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.0625, Gamma: 0.9",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.0625, Gamma: 0.99",1,4,24,26,49.09090909090909,0,40,
"Nu: 0.1, Gamma: 0.0001",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.0002",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.0003",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.0004",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.005",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.05",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.0625",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.1",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.1, Gamma: 0.2",5,0,31,19,43.63636363636363,0,40,
"Nu: 0.1, Gamma: 0.5",4,1,24,26,54.54545454545454,0,40,
"Nu: 0.1, Gamma: 0.7",3,2,22,28,56.36363636363636,0,40,
"Nu: 0.1, Gamma: 0.9",1,4,20,30,56.36363636363636,0,40,
"Nu: 0.1, Gamma: 0.99",1,4,18,32,60.0,0,40,
"Nu: 0.2, Gamma: 0.0001",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.2, Gamma: 0.0002",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.2, Gamma: 0.0003",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.2, Gamma: 0.0004",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.2, Gamma: 0.005",5,0,45,5,18.181818181818183,0,40,
"Nu: 0.2, Gamma: 0.05",5,0,44,6,20.0,0,40,
"Nu: 0.2, Gamma: 0.0625",4,1,44,6,18.181818181818183,0,40,
"Nu: 0.2, Gamma: 0.1",3,2,44,6,16.363636363636363,0,40,
"Nu: 0.2, Gamma: 0.2",4,1,32,18,40.0,0,40,
"Nu: 0.2, Gamma: 0.5",4,1,24,26,54.54545454545454,0,40,
"Nu: 0.2, Gamma: 0.7",3,2,20,30,60.0,0,40,
"Nu: 0.2, Gamma: 0.9",3,2,18,32,63.63636363636363,0,40,
"Nu: 0.2, Gamma: 0.99",3,2,16,34,67.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.0001",3,2,21,29,58.18181818181818,0,40,
"Nu: 0.5, Gamma: 0.0002",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.0003",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.5, Gamma: 0.0004",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.005",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.05",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.0625",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.1",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.2",3,2,27,23,47.27272727272727,0,40,
"Nu: 0.5, Gamma: 0.5",1,4,1,49,90.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.7",1,4,0,50,92.72727272727272,0,40,
"Nu: 0.5, Gamma: 0.9",1,4,1,49,90.9090909090909,0,40,
"Nu: 0.5, Gamma: 0.99",1,4,3,47,87.27272727272727,0,40,
"Nu: 0.7, Gamma: 0.0001",3,2,21,29,58.18181818181818,0,40,
"Nu: 0.7, Gamma: 0.0002",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.0003",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.0004",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.005",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.05",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.0625",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.1",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.2",3,2,24,26,52.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.5",3,2,20,30,60.0,0,40,
"Nu: 0.7, Gamma: 0.7",2,3,1,49,92.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.9",1,4,0,50,92.72727272727272,0,40,
"Nu: 0.7, Gamma: 0.99",1,4,0,50,92.72727272727272,0,40,
"Nu: 0.9, Gamma: 0.0001",1,4,2,48,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.0002",1,4,2,48,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.0003",1,4,2,48,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.0004",1,4,1,49,90.9090909090909,0,40,
"Nu: 0.9, Gamma: 0.005",1,4,5,45,83.63636363636363,0,40,
"Nu: 0.9, Gamma: 0.05",1,4,5,45,83.63636363636363,0,40,
"Nu: 0.9, Gamma: 0.0625",1,4,5,45,83.63636363636363,0,40,
"Nu: 0.9, Gamma: 0.1",1,4,4,46,85.45454545454545,0,40,
"Nu: 0.9, Gamma: 0.2",1,4,2,48,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.5",0,5,1,49,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.7",0,5,1,49,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.9",0,5,1,49,89.0909090909091,0,40,
"Nu: 0.9, Gamma: 0.99",0,5,1,49,89.0909090909091,0,40,
"Nu: 0.99, Gamma: 0.0001",2,3,7,43,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0002",2,3,7,43,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.0003",0,5,0,50,90.9090909090909,0,40,
"Nu: 0.99, Gamma: 0.0004",0,5,0,50,90.9090909090909,0,40,
