Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,91.07142857,174
"Nu: 0.7, Gamma: 0.0003",0,6,15,34,61.81818182,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,6,15,34,61.81818182,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,6,18,31,56.36363636,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,6,18,31,56.36363636,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,6,18,31,56.36363636,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,6,17,32,58.18181818,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,6,14,35,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.5",0,6,14,35,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.7",0,6,14,35,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.9",1,5,15,34,63.63636364,0,40,,,
"Nu: 0.7, Gamma: 0.99",1,5,16,33,61.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.0001",1,5,19,30,56.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,6,2,47,85.45454545,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,6,4,45,81.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,6,4,45,81.81818182,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,6,7,42,76.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,6,7,42,76.36363636,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,6,12,37,67.27272727,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,6,12,37,67.27272727,0,40,,,
