Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.9, Gamma: 0.0001",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,10,0,268,96.4028777,0,40,,,
,,,,,,,,,,
Target Class: dedup_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0001, Gamma: 0.05",23,4,90,7,24.19354839,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",23,4,92,5,22.58064516,0,40,,,
"Nu: 0.0001, Gamma: 0.1",25,2,90,7,25.80645161,0,40,,,
"Nu: 0.0001, Gamma: 0.2",26,1,85,12,30.64516129,0,40,,,
"Nu: 0.0001, Gamma: 0.5",24,3,50,47,57.25806452,0,40,,,
"Nu: 0.0001, Gamma: 0.7",24,3,47,50,59.67741935,0,40,,,
"Nu: 0.0001, Gamma: 0.9",24,3,39,58,66.12903226,0,40,,,
"Nu: 0.0001, Gamma: 0.99",22,5,34,63,68.5483871,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0002, Gamma: 0.005",10,17,69,28,30.64516129,0,40,,,
"Nu: 0.0002, Gamma: 0.05",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.1",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.2",25,2,84,13,30.64516129,0,40,,,
"Nu: 0.0002, Gamma: 0.5",26,1,68,29,44.35483871,0,40,,,
"Nu: 0.0002, Gamma: 0.7",25,2,44,53,62.90322581,0,40,,,
"Nu: 0.0002, Gamma: 0.9",24,3,38,59,66.93548387,0,40,,,
"Nu: 0.0002, Gamma: 0.99",25,2,41,56,65.32258065,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0003, Gamma: 0.005",25,2,93,4,23.38709677,0,40,,,
"Nu: 0.0003, Gamma: 0.05",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0003, Gamma: 0.1",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0003, Gamma: 0.2",25,2,84,13,30.64516129,0,40,,,
"Nu: 0.0003, Gamma: 0.5",26,1,68,29,44.35483871,0,40,,,
"Nu: 0.0003, Gamma: 0.7",25,2,44,53,62.90322581,0,40,,,
"Nu: 0.0003, Gamma: 0.9",24,3,39,58,66.12903226,0,40,,,
"Nu: 0.0003, Gamma: 0.99",25,2,42,55,64.51612903,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,27,0,97,78.22580645,0,40,,,
"Nu: 0.0004, Gamma: 0.005",25,2,93,4,23.38709677,0,40,,,
"Nu: 0.0004, Gamma: 0.05",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",26,1,93,4,24.19354839,0,40,,,
"Nu: 0.0004, Gamma: 0.1",26,1,92,5,25,0,40,,,
"Nu: 0.0004, Gamma: 0.2",25,2,83,14,31.4516129,0,40,,,
"Nu: 0.0004, Gamma: 0.5",26,1,67,30,45.16129032,0,40,,,
"Nu: 0.0004, Gamma: 0.7",26,1,46,51,62.09677419,0,40,,,
