Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,99.91281604,421
"Nu: 0.05, Gamma: 0.05",110,4,37,79,82.17391304,0,40,,,
"Nu: 0.05, Gamma: 0.0625",110,4,34,82,83.47826087,0,40,,,
"Nu: 0.05, Gamma: 0.1",110,4,24,92,87.82608696,0,40,,,
"Nu: 0.05, Gamma: 0.2",109,5,15,101,91.30434783,0,40,,,
"Nu: 0.05, Gamma: 0.5",109,5,1,115,97.39130435,0,40,,,
"Nu: 0.05, Gamma: 0.7",109,5,1,115,97.39130435,0,40,,,
"Nu: 0.05, Gamma: 0.9",107,7,1,115,96.52173913,0,40,,,
"Nu: 0.05, Gamma: 0.99",107,7,1,115,96.52173913,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",107,7,30,86,83.91304348,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",107,7,30,86,83.91304348,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",107,7,30,86,83.91304348,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",107,7,30,86,83.91304348,0,40,,,
"Nu: 0.0625, Gamma: 0.005",108,6,30,86,84.34782609,0,40,,,
"Nu: 0.0625, Gamma: 0.05",108,6,24,92,86.95652174,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",108,6,22,94,87.82608696,0,40,,,
"Nu: 0.0625, Gamma: 0.1",108,6,17,99,90,0,40,,,
"Nu: 0.0625, Gamma: 0.2",108,6,8,108,93.91304348,0,40,,,
"Nu: 0.0625, Gamma: 0.5",108,6,1,115,96.95652174,0,40,,,
"Nu: 0.0625, Gamma: 0.7",106,8,1,115,96.08695652,0,40,,,
"Nu: 0.0625, Gamma: 0.9",104,10,1,115,95.2173913,0,40,,,
"Nu: 0.0625, Gamma: 0.99",103,11,1,115,94.7826087,0,40,,,
"Nu: 0.1, Gamma: 0.0001",105,9,6,110,93.47826087,0,40,,,
"Nu: 0.1, Gamma: 0.0002",101,13,1,115,93.91304348,0,40,,,
"Nu: 0.1, Gamma: 0.0003",105,9,6,110,93.47826087,0,40,,,
"Nu: 0.1, Gamma: 0.0004",105,9,6,110,93.47826087,0,40,,,
"Nu: 0.1, Gamma: 0.005",104,10,3,113,94.34782609,0,40,,,
"Nu: 0.1, Gamma: 0.05",104,10,2,114,94.7826087,0,40,,,
"Nu: 0.1, Gamma: 0.0625",104,10,1,115,95.2173913,0,40,,,
"Nu: 0.1, Gamma: 0.1",104,10,1,115,95.2173913,0,40,,,
"Nu: 0.1, Gamma: 0.2",104,10,0,116,95.65217391,0,40,,,
"Nu: 0.1, Gamma: 0.5",99,15,1,115,93.04347826,0,40,,,
"Nu: 0.1, Gamma: 0.7",98,16,0,116,93.04347826,0,40,,,
"Nu: 0.1, Gamma: 0.9",95,19,0,116,91.73913043,0,40,,,
"Nu: 0.1, Gamma: 0.99",96,18,0,116,92.17391304,0,40,,,
"Nu: 0.2, Gamma: 0.0001",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.0002",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.0003",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.0004",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.005",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.05",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.0625",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.1",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.2",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.5",85,29,0,116,87.39130435,0,40,,,
"Nu: 0.2, Gamma: 0.7",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.9",86,28,0,116,87.82608696,0,40,,,
"Nu: 0.2, Gamma: 0.99",85,29,0,116,87.39130435,0,40,,,
"Nu: 0.5, Gamma: 0.0001",48,66,0,116,71.30434783,0,40,,,
"Nu: 0.5, Gamma: 0.0002",53,61,0,116,73.47826087,0,40,,,
"Nu: 0.5, Gamma: 0.0003",54,60,0,116,73.91304348,0,40,,,
"Nu: 0.5, Gamma: 0.0004",58,56,0,116,75.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.005",57,57,0,116,75.2173913,0,40,,,
"Nu: 0.5, Gamma: 0.05",58,56,0,116,75.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.0625",58,56,0,116,75.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.1",58,56,0,116,75.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.2",58,56,0,116,75.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.5",59,55,0,116,76.08695652,0,40,,,
"Nu: 0.5, Gamma: 0.7",59,55,0,116,76.08695652,0,40,,,
"Nu: 0.5, Gamma: 0.9",58,56,0,116,75.65217391,0,40,,,
"Nu: 0.5, Gamma: 0.99",57,57,0,116,75.2173913,0,40,,,
"Nu: 0.7, Gamma: 0.0001",36,78,0,116,66.08695652,0,40,,,
"Nu: 0.7, Gamma: 0.0002",30,84,0,116,63.47826087,0,40,,,
"Nu: 0.7, Gamma: 0.0003",30,84,0,116,63.47826087,0,40,,,
"Nu: 0.7, Gamma: 0.0004",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.005",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.05",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.0625",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.1",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.2",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.5",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.7",34,80,0,116,65.2173913,0,40,,,
"Nu: 0.7, Gamma: 0.9",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.7, Gamma: 0.99",33,81,0,116,64.7826087,0,40,,,
"Nu: 0.9, Gamma: 0.0001",11,103,0,116,55.2173913,0,40,,,
"Nu: 0.9, Gamma: 0.0002",11,103,0,116,55.2173913,0,40,,,
"Nu: 0.9, Gamma: 0.0003",11,103,0,116,55.2173913,0,40,,,
"Nu: 0.9, Gamma: 0.0004",11,103,0,116,55.2173913,0,40,,,
"Nu: 0.9, Gamma: 0.005",11,103,0,116,55.2173913,0,40,,,
"Nu: 0.9, Gamma: 0.05",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.0625",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.1",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.2",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.5",12,102,0,116,55.65217391,0,40,,,
"Nu: 0.9, Gamma: 0.7",12,102,0,116,55.65217391,0,40,,,
