Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0004, Gamma: 0.05",3,0,21,23,55.319148936170215,0,40,
"Nu: 0.0004, Gamma: 0.0625",3,0,20,24,57.446808510638306,0,40,
"Nu: 0.0004, Gamma: 0.1",3,0,9,35,80.85106382978722,0,40,
"Nu: 0.0004, Gamma: 0.2",2,1,1,43,95.74468085106383,0,40,
"Nu: 0.0004, Gamma: 0.5",2,1,1,43,95.74468085106383,0,40,
"Nu: 0.0004, Gamma: 0.7",2,1,0,44,97.87234042553192,0,40,
"Nu: 0.0004, Gamma: 0.9",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.0004, Gamma: 0.99",1,2,0,44,95.74468085106383,0,40,
"Nu: 0.005, Gamma: 0.0001",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.005, Gamma: 0.0002",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.005, Gamma: 0.0003",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.005, Gamma: 0.0004",0,3,0,44,93.61702127659575,0,40,
"Nu: 0.005, Gamma: 0.005",3,0,30,14,36.17021276595745,0,40,
"Nu: 0.005, Gamma: 0.05",3,0,28,16,40.42553191489361,0,40,
"Nu: 0.005, Gamma: 0.0625",3,0,28,16,40.42553191489361,0,40,
"Nu: 0.005, Gamma: 0.1",3,0,23,21,51.06382978723404,0,40,
"Nu: 0.005, Gamma: 0.2",3,0,8,36,82.97872340425532,0,40,
"Nu: 0.005, Gamma: 0.5",3,0,1,43,97.87234042553192,0,40,
"Nu: 0.005, Gamma: 0.7",2,1,4,40,89.36170212765957,0,40,
"Nu: 0.005, Gamma: 0.9",3,0,4,40,91.48936170212765,0,40,
"Nu: 0.005, Gamma: 0.99",3,0,0,44,100.0,0,40,
"Nu: 0.05, Gamma: 0.0001",1,2,18,26,57.446808510638306,0,40,
"Nu: 0.05, Gamma: 0.0002",3,0,40,4,14.893617021276595,0,40,
