Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.10526316,160
"Nu: 0.0002, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.5",3,1,16,15,51.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,13,18,60,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,23,8,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,2,29,2,11.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,2,23,8,28.57142857,0,40,,,
