Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.0001, Gamma: 0.0625",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,28,3,17.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,26,5,20,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,2,24,7,25.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,26,5,20,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,30,1,11.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,29,2,14.28571429,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,28,3,17.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.2",3,1,27,4,20,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,26,5,20,0,40,,,
"Nu: 0.0002, Gamma: 0.7",2,2,26,5,20,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,2,25,6,22.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,31,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,30,1,11.42857143,0,40,,,
