Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.91902834,447
"Nu: 0.0002, Gamma: 0.2",120,2,224,7,35.97733711,0,40,,,
"Nu: 0.0002, Gamma: 0.5",119,3,220,11,36.82719547,0,40,,,
"Nu: 0.0002, Gamma: 0.7",119,3,222,9,36.26062323,0,40,,,
"Nu: 0.0002, Gamma: 0.9",120,2,222,9,36.54390935,0,40,,,
"Nu: 0.0002, Gamma: 0.99",120,2,225,6,35.69405099,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",56,66,228,3,16.71388102,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",56,66,228,3,16.71388102,0,40,,,
"Nu: 0.0003, Gamma: 0.005",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0003, Gamma: 0.05",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0003, Gamma: 0.1",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0003, Gamma: 0.2",120,2,224,7,35.97733711,0,40,,,
"Nu: 0.0003, Gamma: 0.5",120,2,220,11,37.11048159,0,40,,,
"Nu: 0.0003, Gamma: 0.7",120,2,223,8,36.26062323,0,40,,,
"Nu: 0.0003, Gamma: 0.9",120,2,222,9,36.54390935,0,40,,,
"Nu: 0.0003, Gamma: 0.99",119,3,222,9,36.26062323,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,122,0,231,65.43909348,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",56,66,228,3,16.71388102,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",56,66,228,3,16.71388102,0,40,,,
"Nu: 0.0004, Gamma: 0.005",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0004, Gamma: 0.05",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0004, Gamma: 0.1",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.0004, Gamma: 0.2",120,2,224,7,35.97733711,0,40,,,
"Nu: 0.0004, Gamma: 0.5",120,2,220,11,37.11048159,0,40,,,
"Nu: 0.0004, Gamma: 0.7",120,2,223,8,36.26062323,0,40,,,
"Nu: 0.0004, Gamma: 0.9",121,1,219,12,37.67705382,0,40,,,
"Nu: 0.0004, Gamma: 0.99",120,2,218,13,37.67705382,0,40,,,
"Nu: 0.005, Gamma: 0.0001",114,8,230,1,32.57790368,0,40,,,
"Nu: 0.005, Gamma: 0.0002",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.0003",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.0004",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.005",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.05",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.0625",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.1",121,1,229,2,34.84419263,0,40,,,
"Nu: 0.005, Gamma: 0.2",121,1,227,4,35.41076487,0,40,,,
"Nu: 0.005, Gamma: 0.5",121,1,218,13,37.96033994,0,40,,,
"Nu: 0.005, Gamma: 0.7",121,1,220,11,37.39376771,0,40,,,
"Nu: 0.005, Gamma: 0.9",121,1,216,15,38.52691218,0,40,,,
"Nu: 0.005, Gamma: 0.99",121,1,216,15,38.52691218,0,40,,,
"Nu: 0.05, Gamma: 0.0001",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.0002",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.0003",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.0004",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.005",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.05",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.0625",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.1",117,5,229,2,33.71104816,0,40,,,
"Nu: 0.05, Gamma: 0.2",117,5,221,10,35.97733711,0,40,,,
"Nu: 0.05, Gamma: 0.5",119,3,216,15,37.96033994,0,40,,,
"Nu: 0.05, Gamma: 0.7",118,4,217,14,37.39376771,0,40,,,
"Nu: 0.05, Gamma: 0.9",116,6,217,14,36.82719547,0,40,,,
"Nu: 0.05, Gamma: 0.99",116,6,219,12,36.26062323,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.005",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.05",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.1",116,6,228,3,33.71104816,0,40,,,
"Nu: 0.0625, Gamma: 0.2",115,7,220,11,35.69405099,0,40,,,
"Nu: 0.0625, Gamma: 0.5",116,6,216,15,37.11048159,0,40,,,
"Nu: 0.0625, Gamma: 0.7",115,7,216,15,36.82719547,0,40,,,
"Nu: 0.0625, Gamma: 0.9",115,7,215,16,37.11048159,0,40,,,
"Nu: 0.0625, Gamma: 0.99",115,7,216,15,36.82719547,0,40,,,
"Nu: 0.1, Gamma: 0.0001",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.0002",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.0003",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.0004",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.005",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.05",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.0625",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.1",112,10,227,4,32.8611898,0,40,,,
"Nu: 0.1, Gamma: 0.2",115,7,216,15,36.82719547,0,40,,,
"Nu: 0.1, Gamma: 0.5",112,10,215,16,36.26062323,0,40,,,
"Nu: 0.1, Gamma: 0.7",110,12,215,16,35.69405099,0,40,,,
"Nu: 0.1, Gamma: 0.9",110,12,215,16,35.69405099,0,40,,,
"Nu: 0.1, Gamma: 0.99",111,11,215,16,35.97733711,0,40,,,
"Nu: 0.2, Gamma: 0.0001",101,21,225,6,30.31161473,0,40,,,
"Nu: 0.2, Gamma: 0.0002",101,21,225,6,30.31161473,0,40,,,
"Nu: 0.2, Gamma: 0.0003",101,21,225,6,30.31161473,0,40,,,
"Nu: 0.2, Gamma: 0.0004",101,21,225,6,30.31161473,0,40,,,
"Nu: 0.2, Gamma: 0.005",101,21,224,7,30.59490085,0,40,,,
"Nu: 0.2, Gamma: 0.05",100,22,224,7,30.31161473,0,40,,,
"Nu: 0.2, Gamma: 0.0625",101,21,224,7,30.59490085,0,40,,,
"Nu: 0.2, Gamma: 0.1",101,21,223,8,30.87818697,0,40,,,
"Nu: 0.2, Gamma: 0.2",100,22,184,47,41.64305949,0,40,,,
"Nu: 0.2, Gamma: 0.5",99,23,200,31,36.82719547,0,40,,,
"Nu: 0.2, Gamma: 0.7",100,22,195,36,38.52691218,0,40,,,
"Nu: 0.2, Gamma: 0.9",100,22,203,28,36.26062323,0,40,,,
"Nu: 0.2, Gamma: 0.99",98,24,194,37,38.24362606,0,40,,,
"Nu: 0.5, Gamma: 0.0001",56,66,176,55,31.44475921,0,40,,,
"Nu: 0.5, Gamma: 0.0002",56,66,176,55,31.44475921,0,40,,,
"Nu: 0.5, Gamma: 0.0003",57,65,176,55,31.72804533,0,40,,,
"Nu: 0.5, Gamma: 0.0004",57,65,176,55,31.72804533,0,40,,,
"Nu: 0.5, Gamma: 0.005",57,65,176,55,31.72804533,0,40,,,
"Nu: 0.5, Gamma: 0.05",57,65,175,56,32.01133144,0,40,,,
"Nu: 0.5, Gamma: 0.0625",57,65,175,56,32.01133144,0,40,,,
"Nu: 0.5, Gamma: 0.1",58,64,175,56,32.29461756,0,40,,,
"Nu: 0.5, Gamma: 0.2",59,63,174,57,32.8611898,0,40,,,
"Nu: 0.5, Gamma: 0.5",61,61,178,53,32.29461756,0,40,,,
"Nu: 0.5, Gamma: 0.7",63,59,177,54,33.14447592,0,40,,,
"Nu: 0.5, Gamma: 0.9",63,59,176,55,33.42776204,0,40,,,
"Nu: 0.5, Gamma: 0.99",65,57,174,57,34.56090652,0,40,,,
"Nu: 0.7, Gamma: 0.0001",40,82,10,221,73.93767705,0,40,,,
"Nu: 0.7, Gamma: 0.0002",40,82,10,221,73.93767705,0,40,,,
"Nu: 0.7, Gamma: 0.0003",40,82,10,221,73.93767705,0,40,,,
"Nu: 0.7, Gamma: 0.0004",40,82,10,221,73.93767705,0,40,,,
"Nu: 0.7, Gamma: 0.005",40,82,10,221,73.93767705,0,40,,,
"Nu: 0.7, Gamma: 0.05",38,84,10,221,73.37110482,0,40,,,
"Nu: 0.7, Gamma: 0.0625",37,85,10,221,73.0878187,0,40,,,
"Nu: 0.7, Gamma: 0.1",32,90,10,221,71.6713881,0,40,,,
"Nu: 0.7, Gamma: 0.2",32,90,10,221,71.6713881,0,40,,,
"Nu: 0.7, Gamma: 0.5",33,89,178,53,24.36260623,0,40,,,
"Nu: 0.7, Gamma: 0.7",39,83,177,54,26.34560907,0,40,,,
"Nu: 0.7, Gamma: 0.9",43,79,176,55,27.76203966,0,40,,,
"Nu: 0.7, Gamma: 0.99",43,79,174,57,28.3286119,0,40,,,
"Nu: 0.9, Gamma: 0.0001",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.0002",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.0003",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.0004",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.005",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.05",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.0625",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.1",8,114,10,221,64.87252125,0,40,,,
"Nu: 0.9, Gamma: 0.2",14,108,10,221,66.57223796,0,40,,,
"Nu: 0.9, Gamma: 0.5",11,111,151,80,25.77903683,0,40,,,
"Nu: 0.9, Gamma: 0.7",11,111,156,75,24.36260623,0,40,,,
"Nu: 0.9, Gamma: 0.9",16,106,135,96,31.72804533,0,40,,,
