Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63126844,116
"Nu: 0.0004, Gamma: 0.1",134,0,229,2,37.26027397,0,40,,,
"Nu: 0.0004, Gamma: 0.2",131,3,230,1,36.16438356,0,40,,,
"Nu: 0.0004, Gamma: 0.5",131,3,226,5,37.26027397,0,40,,,
"Nu: 0.0004, Gamma: 0.7",133,1,205,26,43.56164384,0,40,,,
"Nu: 0.0004, Gamma: 0.9",134,0,197,34,46.02739726,0,40,,,
"Nu: 0.0004, Gamma: 0.99",126,8,195,36,44.38356164,0,40,,,
"Nu: 0.005, Gamma: 0.0001",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.0002",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.0003",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.0004",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.005",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.05",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.0625",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.1",132,2,229,2,36.71232877,0,40,,,
"Nu: 0.005, Gamma: 0.2",130,4,229,2,36.16438356,0,40,,,
"Nu: 0.005, Gamma: 0.5",132,2,226,5,37.53424658,0,40,,,
"Nu: 0.005, Gamma: 0.7",133,1,204,27,43.83561644,0,40,,,
"Nu: 0.005, Gamma: 0.9",131,3,195,36,45.75342466,0,40,,,
"Nu: 0.005, Gamma: 0.99",130,4,193,38,46.02739726,0,40,,,
"Nu: 0.05, Gamma: 0.0001",128,6,229,2,35.61643836,0,40,,,
"Nu: 0.05, Gamma: 0.0002",125,9,228,3,35.06849315,0,40,,,
"Nu: 0.05, Gamma: 0.0003",125,9,229,2,34.79452055,0,40,,,
"Nu: 0.05, Gamma: 0.0004",125,9,229,2,34.79452055,0,40,,,
"Nu: 0.05, Gamma: 0.005",125,9,229,2,34.79452055,0,40,,,
"Nu: 0.05, Gamma: 0.05",125,9,229,2,34.79452055,0,40,,,
"Nu: 0.05, Gamma: 0.0625",125,9,229,2,34.79452055,0,40,,,
"Nu: 0.05, Gamma: 0.1",125,9,229,2,34.79452055,0,40,,,
"Nu: 0.05, Gamma: 0.2",124,10,229,2,34.52054795,0,40,,,
"Nu: 0.05, Gamma: 0.5",123,11,204,27,41.09589041,0,40,,,
"Nu: 0.05, Gamma: 0.7",123,11,200,31,42.19178082,0,40,,,
