Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.28571429,681
"Nu: 0.0003, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,3,20,12,34.28571429,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,3,18,14,40,0,40,,,
"Nu: 0.0003, Gamma: 0.9",0,3,18,14,40,0,40,,,
"Nu: 0.0003, Gamma: 0.99",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.05",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.1",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.2",3,0,12,20,65.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.5",3,0,15,17,57.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.7",3,0,13,19,62.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.9",3,0,7,25,80,0,40,,,
"Nu: 0.0004, Gamma: 0.99",3,0,8,24,77.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.005",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.05",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0625",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.1",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.2",3,0,30,2,14.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.5",2,1,25,7,25.71428571,0,40,,,
"Nu: 0.005, Gamma: 0.7",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.9",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.99",3,0,24,8,31.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0001",3,0,22,10,37.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.0002",3,0,22,10,37.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.0003",3,0,22,10,37.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.0004",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.005",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.05",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0625",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.1",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.2",3,0,29,3,17.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.5",3,0,28,4,20,0,40,,,
"Nu: 0.05, Gamma: 0.7",3,0,24,8,31.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.9",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.05, Gamma: 0.99",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,0,22,10,37.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",3,0,22,10,37.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",3,0,28,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",3,0,28,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.005",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.05",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.1",3,0,31,1,11.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.2",3,0,29,3,17.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.5",3,0,28,4,20,0,40,,,
"Nu: 0.0625, Gamma: 0.7",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.9",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.0625, Gamma: 0.99",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0001",1,2,16,16,48.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0002",1,2,16,16,48.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.0003",2,1,20,12,40,0,40,,,
"Nu: 0.1, Gamma: 0.0004",2,1,30,2,11.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.005",2,1,30,2,11.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.05",2,1,30,2,11.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.0625",2,1,30,2,11.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.1",2,1,30,2,11.42857143,0,40,,,
"Nu: 0.1, Gamma: 0.2",3,0,29,3,17.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.5",3,0,28,4,20,0,40,,,
"Nu: 0.1, Gamma: 0.7",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.9",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.1, Gamma: 0.99",3,0,25,7,28.57142857,0,40,,,
"Nu: 0.2, Gamma: 0.0001",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0002",1,2,18,14,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0003",1,2,18,14,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.0004",1,2,18,14,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.005",2,1,20,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.05",2,1,20,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.0625",2,1,20,12,40,0,40,,,
"Nu: 0.2, Gamma: 0.1",2,1,19,13,42.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.2",2,1,27,5,20,0,40,,,
"Nu: 0.2, Gamma: 0.5",2,1,26,6,22.85714286,0,40,,,
"Nu: 0.2, Gamma: 0.7",2,1,23,9,31.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.9",2,1,23,9,31.42857143,0,40,,,
"Nu: 0.2, Gamma: 0.99",2,1,23,9,31.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0001",1,2,8,24,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.0002",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.0003",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.0004",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.005",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.05",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.0625",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.1",1,2,11,21,62.85714286,0,40,,,
"Nu: 0.5, Gamma: 0.2",1,2,9,23,68.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.5",2,1,14,18,57.14285714,0,40,,,
"Nu: 0.5, Gamma: 0.7",2,1,9,23,71.42857143,0,40,,,
"Nu: 0.5, Gamma: 0.9",2,1,3,29,88.57142857,0,40,,,
"Nu: 0.5, Gamma: 0.99",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.0001",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0002",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0003",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0004",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.005",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.05",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.0625",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.1",0,3,7,25,71.42857143,0,40,,,
"Nu: 0.7, Gamma: 0.2",0,3,6,26,74.28571429,0,40,,,
"Nu: 0.7, Gamma: 0.5",1,2,3,29,85.71428571,0,40,,,
"Nu: 0.7, Gamma: 0.7",1,2,6,26,77.14285714,0,40,,,
"Nu: 0.7, Gamma: 0.9",0,3,3,29,82.85714286,0,40,,,
"Nu: 0.7, Gamma: 0.99",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,3,2,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,3,2,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,3,2,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,3,2,30,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,3,3,29,82.85714286,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,3,0,32,91.42857143,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,3,1,31,88.57142857,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,3,1,31,88.57142857,0,40,,,
