Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.67105263,804
"Nu: 0.9, Gamma: 0.0002",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,292,96.05263158,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,292,96.05263158,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0001, Gamma: 0.005",12,18,106,10,15.06849315,0,40,,,
"Nu: 0.0001, Gamma: 0.05",29,1,111,5,23.28767123,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",29,1,110,6,23.97260274,0,40,,,
"Nu: 0.0001, Gamma: 0.1",29,1,106,10,26.71232877,0,40,,,
"Nu: 0.0001, Gamma: 0.2",27,3,39,77,71.23287671,0,40,,,
"Nu: 0.0001, Gamma: 0.5",29,1,18,98,86.98630137,0,40,,,
"Nu: 0.0001, Gamma: 0.7",29,1,13,103,90.4109589,0,40,,,
"Nu: 0.0001, Gamma: 0.9",23,7,8,108,89.7260274,0,40,,,
"Nu: 0.0001, Gamma: 0.99",23,7,8,108,89.7260274,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0002, Gamma: 0.005",12,18,106,10,15.06849315,0,40,,,
"Nu: 0.0002, Gamma: 0.05",29,1,111,5,23.28767123,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",29,1,110,6,23.97260274,0,40,,,
"Nu: 0.0002, Gamma: 0.1",29,1,106,10,26.71232877,0,40,,,
"Nu: 0.0002, Gamma: 0.2",28,2,41,75,70.54794521,0,40,,,
"Nu: 0.0002, Gamma: 0.5",29,1,21,95,84.93150685,0,40,,,
"Nu: 0.0002, Gamma: 0.7",29,1,12,104,91.09589041,0,40,,,
"Nu: 0.0002, Gamma: 0.9",28,2,7,109,93.83561644,0,40,,,
"Nu: 0.0002, Gamma: 0.99",28,2,5,111,95.20547945,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0003, Gamma: 0.005",12,18,106,10,15.06849315,0,40,,,
"Nu: 0.0003, Gamma: 0.05",29,1,111,5,23.28767123,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",29,1,110,6,23.97260274,0,40,,,
"Nu: 0.0003, Gamma: 0.1",29,1,105,11,27.39726027,0,40,,,
"Nu: 0.0003, Gamma: 0.2",28,2,41,75,70.54794521,0,40,,,
"Nu: 0.0003, Gamma: 0.5",29,1,21,95,84.93150685,0,40,,,
"Nu: 0.0003, Gamma: 0.7",29,1,17,99,87.67123288,0,40,,,
"Nu: 0.0003, Gamma: 0.9",28,2,9,107,92.46575342,0,40,,,
"Nu: 0.0003, Gamma: 0.99",28,2,5,111,95.20547945,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,30,0,116,79.45205479,0,40,,,
"Nu: 0.0004, Gamma: 0.005",29,1,113,3,21.91780822,0,40,,,
"Nu: 0.0004, Gamma: 0.05",29,1,111,5,23.28767123,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",29,1,110,6,23.97260274,0,40,,,
"Nu: 0.0004, Gamma: 0.1",29,1,105,11,27.39726027,0,40,,,
"Nu: 0.0004, Gamma: 0.2",29,1,38,78,73.28767123,0,40,,,
"Nu: 0.0004, Gamma: 0.5",29,1,20,96,85.61643836,0,40,,,
"Nu: 0.0004, Gamma: 0.7",29,1,17,99,87.67123288,0,40,,,
"Nu: 0.0004, Gamma: 0.9",29,1,9,107,93.15068493,0,40,,,
"Nu: 0.0004, Gamma: 0.99",28,2,5,111,95.20547945,0,40,,,
"Nu: 0.005, Gamma: 0.0001",12,18,107,9,14.38356164,0,40,,,
"Nu: 0.005, Gamma: 0.0002",12,18,107,9,14.38356164,0,40,,,
"Nu: 0.005, Gamma: 0.0003",12,18,107,9,14.38356164,0,40,,,
"Nu: 0.005, Gamma: 0.0004",29,1,113,3,21.91780822,0,40,,,
"Nu: 0.005, Gamma: 0.005",29,1,113,3,21.91780822,0,40,,,
"Nu: 0.005, Gamma: 0.05",29,1,111,5,23.28767123,0,40,,,
"Nu: 0.005, Gamma: 0.0625",29,1,111,5,23.28767123,0,40,,,
"Nu: 0.005, Gamma: 0.1",29,1,105,11,27.39726027,0,40,,,
"Nu: 0.005, Gamma: 0.2",29,1,37,79,73.97260274,0,40,,,
"Nu: 0.005, Gamma: 0.5",29,1,19,97,86.30136986,0,40,,,
"Nu: 0.005, Gamma: 0.7",29,1,16,100,88.35616438,0,40,,,
"Nu: 0.005, Gamma: 0.9",29,1,10,106,92.46575342,0,40,,,
"Nu: 0.005, Gamma: 0.99",29,1,7,109,94.52054795,0,40,,,
"Nu: 0.05, Gamma: 0.0001",28,2,108,8,24.65753425,0,40,,,
"Nu: 0.05, Gamma: 0.0002",28,2,108,8,24.65753425,0,40,,,
"Nu: 0.05, Gamma: 0.0003",28,2,108,8,24.65753425,0,40,,,
"Nu: 0.05, Gamma: 0.0004",28,2,108,8,24.65753425,0,40,,,
"Nu: 0.05, Gamma: 0.005",28,2,107,9,25.34246575,0,40,,,
"Nu: 0.05, Gamma: 0.05",28,2,105,11,26.71232877,0,40,,,
"Nu: 0.05, Gamma: 0.0625",28,2,104,12,27.39726027,0,40,,,
"Nu: 0.05, Gamma: 0.1",28,2,101,15,29.45205479,0,40,,,
"Nu: 0.05, Gamma: 0.2",27,3,24,92,81.50684932,0,40,,,
"Nu: 0.05, Gamma: 0.5",29,1,17,99,87.67123288,0,40,,,
"Nu: 0.05, Gamma: 0.7",29,1,11,105,91.78082192,0,40,,,
"Nu: 0.05, Gamma: 0.9",29,1,6,110,95.20547945,0,40,,,
"Nu: 0.05, Gamma: 0.99",29,1,6,110,95.20547945,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",27,3,108,8,23.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",27,3,108,8,23.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",27,3,108,8,23.97260274,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",27,3,107,9,24.65753425,0,40,,,
"Nu: 0.0625, Gamma: 0.005",27,3,107,9,24.65753425,0,40,,,
"Nu: 0.0625, Gamma: 0.05",27,3,105,11,26.02739726,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",27,3,103,13,27.39726027,0,40,,,
"Nu: 0.0625, Gamma: 0.1",27,3,101,15,28.76712329,0,40,,,
"Nu: 0.0625, Gamma: 0.2",27,3,24,92,81.50684932,0,40,,,
"Nu: 0.0625, Gamma: 0.5",28,2,13,103,89.7260274,0,40,,,
"Nu: 0.0625, Gamma: 0.7",28,2,11,105,91.09589041,0,40,,,
"Nu: 0.0625, Gamma: 0.9",28,2,6,110,94.52054795,0,40,,,
"Nu: 0.0625, Gamma: 0.99",28,2,5,111,95.20547945,0,40,,,
"Nu: 0.1, Gamma: 0.0001",27,3,106,10,25.34246575,0,40,,,
"Nu: 0.1, Gamma: 0.0002",27,3,106,10,25.34246575,0,40,,,
"Nu: 0.1, Gamma: 0.0003",26,4,106,10,24.65753425,0,40,,,
"Nu: 0.1, Gamma: 0.0004",26,4,106,10,24.65753425,0,40,,,
"Nu: 0.1, Gamma: 0.005",27,3,106,10,25.34246575,0,40,,,
"Nu: 0.1, Gamma: 0.05",27,3,104,12,26.71232877,0,40,,,
"Nu: 0.1, Gamma: 0.0625",27,3,102,14,28.08219178,0,40,,,
"Nu: 0.1, Gamma: 0.1",27,3,100,16,29.45205479,0,40,,,
"Nu: 0.1, Gamma: 0.2",26,4,24,92,80.82191781,0,40,,,
"Nu: 0.1, Gamma: 0.5",26,4,6,110,93.15068493,0,40,,,
"Nu: 0.1, Gamma: 0.7",27,3,5,111,94.52054795,0,40,,,
