Features: 16,,,,,,,
Target Class: vips,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling
"Nu: 0.0002, Gamma: 0.05",13,0,110,1,11.29032258,0,40
"Nu: 0.0002, Gamma: 0.0625",13,0,110,1,11.29032258,0,40
"Nu: 0.0002, Gamma: 0.1",13,0,90,21,27.41935484,0,40
"Nu: 0.0002, Gamma: 0.2",6,7,50,61,54.03225806,0,40
"Nu: 0.0002, Gamma: 0.5",10,3,58,53,50.80645161,0,40
"Nu: 0.0002, Gamma: 0.7",7,6,35,76,66.93548387,0,40
"Nu: 0.0002, Gamma: 0.9",8,5,72,39,37.90322581,0,40
"Nu: 0.0002, Gamma: 0.99",7,6,26,85,74.19354839,0,40
"Nu: 0.0003, Gamma: 0.0001",0,13,0,111,89.51612903,0,40
"Nu: 0.0003, Gamma: 0.0002",0,13,0,111,89.51612903,0,40
"Nu: 0.0003, Gamma: 0.0003",0,13,0,111,89.51612903,0,40
"Nu: 0.0003, Gamma: 0.0004",0,13,0,111,89.51612903,0,40
"Nu: 0.0003, Gamma: 0.005",6,7,74,37,34.67741935,0,40
"Nu: 0.0003, Gamma: 0.05",13,0,110,1,11.29032258,0,40
"Nu: 0.0003, Gamma: 0.0625",13,0,110,1,11.29032258,0,40
"Nu: 0.0003, Gamma: 0.1",13,0,90,21,27.41935484,0,40
"Nu: 0.0003, Gamma: 0.2",6,7,50,61,54.03225806,0,40
"Nu: 0.0003, Gamma: 0.5",10,3,65,46,45.16129032,0,40
"Nu: 0.0003, Gamma: 0.7",8,5,74,37,36.29032258,0,40
"Nu: 0.0003, Gamma: 0.9",8,5,21,90,79.03225806,0,40
"Nu: 0.0003, Gamma: 0.99",7,6,26,85,74.19354839,0,40
"Nu: 0.0004, Gamma: 0.0001",0,13,0,111,89.51612903,0,40
"Nu: 0.0004, Gamma: 0.0002",0,13,0,111,89.51612903,0,40
"Nu: 0.0004, Gamma: 0.0003",0,13,0,111,89.51612903,0,40
"Nu: 0.0004, Gamma: 0.0004",0,13,0,111,89.51612903,0,40
"Nu: 0.0004, Gamma: 0.005",13,0,110,1,11.29032258,0,40
"Nu: 0.0004, Gamma: 0.05",13,0,110,1,11.29032258,0,40
"Nu: 0.0004, Gamma: 0.0625",13,0,110,1,11.29032258,0,40
"Nu: 0.0004, Gamma: 0.1",13,0,90,21,27.41935484,0,40
"Nu: 0.0004, Gamma: 0.2",6,7,50,61,54.03225806,0,40
"Nu: 0.0004, Gamma: 0.5",12,1,77,34,37.09677419,0,40
"Nu: 0.0004, Gamma: 0.7",8,5,74,37,36.29032258,0,40
"Nu: 0.0004, Gamma: 0.9",9,4,72,39,38.70967742,0,40
"Nu: 0.0004, Gamma: 0.99",8,5,61,50,46.77419355,0,40
"Nu: 0.005, Gamma: 0.0001",0,13,0,111,89.51612903,0,40
"Nu: 0.005, Gamma: 0.0002",0,13,0,111,89.51612903,0,40
"Nu: 0.005, Gamma: 0.0003",6,7,74,37,34.67741935,0,40
"Nu: 0.005, Gamma: 0.0004",13,0,110,1,11.29032258,0,40
"Nu: 0.005, Gamma: 0.005",13,0,110,1,11.29032258,0,40
"Nu: 0.005, Gamma: 0.05",13,0,110,1,11.29032258,0,40
"Nu: 0.005, Gamma: 0.0625",13,0,110,1,11.29032258,0,40
"Nu: 0.005, Gamma: 0.1",13,0,90,21,27.41935484,0,40
"Nu: 0.005, Gamma: 0.2",12,1,86,25,29.83870968,0,40
"Nu: 0.005, Gamma: 0.5",12,1,82,29,33.06451613,0,40
"Nu: 0.005, Gamma: 0.7",11,2,78,33,35.48387097,0,40
"Nu: 0.005, Gamma: 0.9",12,1,72,39,41.12903226,0,40
"Nu: 0.005, Gamma: 0.99",10,3,70,41,41.12903226,0,40
"Nu: 0.05, Gamma: 0.0001",13,0,109,2,12.09677419,0,40
"Nu: 0.05, Gamma: 0.0002",12,1,86,25,29.83870968,0,40
"Nu: 0.05, Gamma: 0.0003",12,1,86,25,29.83870968,0,40
"Nu: 0.05, Gamma: 0.0004",12,1,86,25,29.83870968,0,40
"Nu: 0.05, Gamma: 0.005",13,0,107,4,13.70967742,0,40
"Nu: 0.05, Gamma: 0.05",13,0,88,23,29.03225806,0,40
"Nu: 0.05, Gamma: 0.0625",13,0,88,23,29.03225806,0,40
"Nu: 0.05, Gamma: 0.1",13,0,86,25,30.64516129,0,40
