Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.302866,128
"Nu: 0.7, Gamma: 0.2",6,17,0,1268,98.68319132,0,40,,,
"Nu: 0.7, Gamma: 0.5",8,15,8,1260,98.21843532,0,40,,,
"Nu: 0.7, Gamma: 0.7",7,16,27,1241,96.66924864,0,40,,,
"Nu: 0.7, Gamma: 0.9",6,17,49,1219,94.88768397,0,40,,,
"Nu: 0.7, Gamma: 0.99",7,16,49,1219,94.9651433,0,40,,,
"Nu: 0.9, Gamma: 0.0001",6,17,9,1259,97.98605732,0,40,,,
"Nu: 0.9, Gamma: 0.0002",6,17,9,1259,97.98605732,0,40,,,
"Nu: 0.9, Gamma: 0.0003",6,17,9,1259,97.98605732,0,40,,,
"Nu: 0.9, Gamma: 0.0004",6,17,9,1259,97.98605732,0,40,,,
"Nu: 0.9, Gamma: 0.005",6,17,9,1259,97.98605732,0,40,,,
"Nu: 0.9, Gamma: 0.05",5,18,4,1264,98.29589466,0,40,,,
"Nu: 0.9, Gamma: 0.0625",3,20,3,1265,98.21843532,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,21,0,1268,98.37335399,0,40,,,
"Nu: 0.9, Gamma: 0.2",3,20,0,1268,98.45081332,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,21,3,1265,98.14097599,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,21,6,1262,97.90859799,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,21,6,1262,97.90859799,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,21,7,1261,97.83113865,0,40,,,
"Nu: 0.99, Gamma: 0.0001",18,5,65,1203,94.57784663,0,40,,,
"Nu: 0.99, Gamma: 0.0002",18,5,65,1203,94.57784663,0,40,,,
"Nu: 0.99, Gamma: 0.0003",18,5,65,1203,94.57784663,0,40,,,
"Nu: 0.99, Gamma: 0.0004",17,6,20,1248,97.98605732,0,40,,,
"Nu: 0.99, Gamma: 0.005",3,20,7,1261,97.90859799,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,23,2,1266,98.06351665,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,23,0,1268,98.21843532,0,40,,,
,,,,,,,,,,
Target Class: facesim_pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0001, Gamma: 0.005",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0001, Gamma: 0.05",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0001, Gamma: 0.1",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0001, Gamma: 0.2",116,11,220,10,35.29411765,0,40,,,
"Nu: 0.0001, Gamma: 0.5",107,20,218,12,33.33333333,0,40,,,
"Nu: 0.0001, Gamma: 0.7",112,15,206,24,38.0952381,0,40,,,
"Nu: 0.0001, Gamma: 0.9",111,16,188,42,42.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.99",113,14,192,38,42.29691877,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0002, Gamma: 0.005",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0002, Gamma: 0.05",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0002, Gamma: 0.1",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0002, Gamma: 0.2",121,6,223,7,35.85434174,0,40,,,
"Nu: 0.0002, Gamma: 0.5",115,12,217,13,35.85434174,0,40,,,
"Nu: 0.0002, Gamma: 0.7",113,14,201,29,39.77591036,0,40,,,
"Nu: 0.0002, Gamma: 0.9",106,21,198,32,38.65546218,0,40,,,
"Nu: 0.0002, Gamma: 0.99",113,14,193,37,42.01680672,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0003, Gamma: 0.005",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0003, Gamma: 0.05",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0003, Gamma: 0.1",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0003, Gamma: 0.2",121,6,223,7,35.85434174,0,40,,,
"Nu: 0.0003, Gamma: 0.5",118,9,216,14,36.97478992,0,40,,,
"Nu: 0.0003, Gamma: 0.7",116,11,200,30,40.89635854,0,40,,,
"Nu: 0.0003, Gamma: 0.9",122,5,197,33,43.41736695,0,40,,,
"Nu: 0.0003, Gamma: 0.99",111,16,191,39,42.01680672,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,127,0,230,64.42577031,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",89,38,161,69,44.25770308,0,40,,,
"Nu: 0.0004, Gamma: 0.005",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0004, Gamma: 0.05",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0004, Gamma: 0.1",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.0004, Gamma: 0.2",121,6,223,7,35.85434174,0,40,,,
"Nu: 0.0004, Gamma: 0.5",121,6,216,14,37.81512605,0,40,,,
"Nu: 0.0004, Gamma: 0.7",118,9,202,28,40.89635854,0,40,,,
"Nu: 0.0004, Gamma: 0.9",117,10,194,36,42.85714286,0,40,,,
"Nu: 0.0004, Gamma: 0.99",116,11,190,40,43.69747899,0,40,,,
"Nu: 0.005, Gamma: 0.0001",96,31,194,36,36.97478992,0,40,,,
"Nu: 0.005, Gamma: 0.0002",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.0003",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.0004",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.005",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.05",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.0625",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.1",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.2",127,0,229,1,35.85434174,0,40,,,
"Nu: 0.005, Gamma: 0.5",127,0,204,26,42.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.7",126,1,200,30,43.69747899,0,40,,,
"Nu: 0.005, Gamma: 0.9",125,2,191,39,45.93837535,0,40,,,
"Nu: 0.005, Gamma: 0.99",126,1,191,39,46.21848739,0,40,,,
"Nu: 0.05, Gamma: 0.0001",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.0002",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.0003",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.0004",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.005",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.05",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.0625",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.1",122,5,226,4,35.29411765,0,40,,,
"Nu: 0.05, Gamma: 0.2",124,3,224,6,36.41456583,0,40,,,
"Nu: 0.05, Gamma: 0.5",120,7,195,35,43.41736695,0,40,,,
"Nu: 0.05, Gamma: 0.7",122,5,188,42,45.93837535,0,40,,,
"Nu: 0.05, Gamma: 0.9",122,5,190,40,45.37815126,0,40,,,
"Nu: 0.05, Gamma: 0.99",122,5,187,43,46.21848739,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",117,10,226,4,33.89355742,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",117,10,226,4,33.89355742,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",118,9,226,4,34.17366947,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",118,9,226,4,34.17366947,0,40,,,
"Nu: 0.0625, Gamma: 0.005",118,9,226,4,34.17366947,0,40,,,
"Nu: 0.0625, Gamma: 0.05",120,7,226,4,34.73389356,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",120,7,226,4,34.73389356,0,40,,,
"Nu: 0.0625, Gamma: 0.1",120,7,226,4,34.73389356,0,40,,,
"Nu: 0.0625, Gamma: 0.2",120,7,224,6,35.29411765,0,40,,,
"Nu: 0.0625, Gamma: 0.5",120,7,194,36,43.69747899,0,40,,,
"Nu: 0.0625, Gamma: 0.7",120,7,185,45,46.21848739,0,40,,,
"Nu: 0.0625, Gamma: 0.9",118,9,186,44,45.37815126,0,40,,,
"Nu: 0.0625, Gamma: 0.99",121,6,177,53,48.7394958,0,40,,,
