Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.61904762,157
"Nu: 0.0002, Gamma: 0.0001",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0002, Gamma: 0.005",13,0,35,1,28.57142857,0,40,,,
"Nu: 0.0002, Gamma: 0.05",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.0002, Gamma: 0.1",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.0002, Gamma: 0.2",11,2,16,20,63.26530612,0,40,,,
"Nu: 0.0002, Gamma: 0.5",7,6,11,25,65.30612245,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,10,9,27,61.2244898,0,40,,,
"Nu: 0.0002, Gamma: 0.9",11,2,6,30,83.67346939,0,40,,,
"Nu: 0.0002, Gamma: 0.99",10,3,3,33,87.75510204,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,13,0,36,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.005",13,0,35,1,28.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.05",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",13,0,36,0,26.53061224,0,40,,,
"Nu: 0.0003, Gamma: 0.1",13,0,33,3,32.65306122,0,40,,,
"Nu: 0.0003, Gamma: 0.2",13,0,18,18,63.26530612,0,40,,,
"Nu: 0.0003, Gamma: 0.5",7,6,11,25,65.30612245,0,40,,,
"Nu: 0.0003, Gamma: 0.7",11,2,11,25,73.46938776,0,40,,,
"Nu: 0.0003, Gamma: 0.9",3,10,0,36,79.59183673,0,40,,,
"Nu: 0.0003, Gamma: 0.99",10,3,3,33,87.75510204,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,13,0,36,73.46938776,0,40,,,
