Features: 16,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0004, Gamma: 0.0003",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.0004, Gamma: 0.005",12,2,34,3,29.411764705882355,0,40,
"Nu: 0.0004, Gamma: 0.05",12,2,32,5,33.33333333333333,0,40,
"Nu: 0.0004, Gamma: 0.0625",12,2,32,5,33.33333333333333,0,40,
"Nu: 0.0004, Gamma: 0.1",8,6,32,5,25.49019607843137,0,40,
"Nu: 0.0004, Gamma: 0.2",14,0,30,7,41.17647058823529,0,40,
"Nu: 0.0004, Gamma: 0.5",14,0,23,14,54.90196078431373,0,40,
"Nu: 0.0004, Gamma: 0.7",14,0,21,16,58.82352941176471,0,40,
"Nu: 0.0004, Gamma: 0.9",13,1,18,19,62.745098039215684,0,40,
"Nu: 0.0004, Gamma: 0.99",13,1,17,20,64.70588235294117,0,40,
"Nu: 0.005, Gamma: 0.0001",0,14,0,37,72.54901960784314,0,40,
"Nu: 0.005, Gamma: 0.0002",12,2,34,3,29.411764705882355,0,40,
"Nu: 0.005, Gamma: 0.0003",12,2,34,3,29.411764705882355,0,40,
"Nu: 0.005, Gamma: 0.0004",12,2,34,3,29.411764705882355,0,40,
"Nu: 0.005, Gamma: 0.005",12,2,34,3,29.411764705882355,0,40,
"Nu: 0.005, Gamma: 0.05",14,0,34,3,33.33333333333333,0,40,
"Nu: 0.005, Gamma: 0.0625",14,0,34,3,33.33333333333333,0,40,
"Nu: 0.005, Gamma: 0.1",14,0,33,4,35.294117647058826,0,40,
"Nu: 0.005, Gamma: 0.2",14,0,30,7,41.17647058823529,0,40,
"Nu: 0.005, Gamma: 0.5",14,0,24,13,52.94117647058824,0,40,
"Nu: 0.005, Gamma: 0.7",14,0,22,15,56.86274509803921,0,40,
"Nu: 0.005, Gamma: 0.9",13,1,18,19,62.745098039215684,0,40,
"Nu: 0.005, Gamma: 0.99",13,1,16,21,66.66666666666666,0,40,
"Nu: 0.05, Gamma: 0.0001",6,8,28,9,29.411764705882355,0,40,
"Nu: 0.05, Gamma: 0.0002",6,8,28,9,29.411764705882355,0,40,
"Nu: 0.05, Gamma: 0.0003",7,7,31,6,25.49019607843137,0,40,
"Nu: 0.05, Gamma: 0.0004",7,7,31,6,25.49019607843137,0,40,
"Nu: 0.05, Gamma: 0.005",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.05, Gamma: 0.05",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.05, Gamma: 0.0625",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.05, Gamma: 0.1",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.05, Gamma: 0.2",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.05, Gamma: 0.5",14,0,23,14,54.90196078431373,0,40,
"Nu: 0.05, Gamma: 0.7",14,0,22,15,56.86274509803921,0,40,
"Nu: 0.05, Gamma: 0.9",13,1,19,18,60.78431372549019,0,40,
"Nu: 0.05, Gamma: 0.99",13,1,16,21,66.66666666666666,0,40,
"Nu: 0.0625, Gamma: 0.0001",14,0,33,4,35.294117647058826,0,40,
"Nu: 0.0625, Gamma: 0.0002",14,0,32,5,37.254901960784316,0,40,
"Nu: 0.0625, Gamma: 0.0003",14,0,32,5,37.254901960784316,0,40,
"Nu: 0.0625, Gamma: 0.0004",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.0625, Gamma: 0.005",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.0625, Gamma: 0.05",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.0625, Gamma: 0.0625",14,0,31,6,39.21568627450981,0,40,
"Nu: 0.0625, Gamma: 0.1",14,0,30,7,41.17647058823529,0,40,
"Nu: 0.0625, Gamma: 0.2",14,0,28,9,45.09803921568628,0,40,
"Nu: 0.0625, Gamma: 0.5",14,0,23,14,54.90196078431373,0,40,
"Nu: 0.0625, Gamma: 0.7",14,0,22,15,56.86274509803921,0,40,
"Nu: 0.0625, Gamma: 0.9",13,1,18,19,62.745098039215684,0,40,
"Nu: 0.0625, Gamma: 0.99",13,1,17,20,64.70588235294117,0,40,
"Nu: 0.1, Gamma: 0.0001",7,7,28,9,31.372549019607842,0,40,
"Nu: 0.1, Gamma: 0.0002",7,7,28,9,31.372549019607842,0,40,
"Nu: 0.1, Gamma: 0.0003",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.1, Gamma: 0.0004",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.1, Gamma: 0.005",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.1, Gamma: 0.05",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.1, Gamma: 0.0625",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.1, Gamma: 0.1",14,0,29,8,43.13725490196079,0,40,
"Nu: 0.1, Gamma: 0.2",14,0,28,9,45.09803921568628,0,40,
"Nu: 0.1, Gamma: 0.5",13,1,23,14,52.94117647058824,0,40,
"Nu: 0.1, Gamma: 0.7",14,0,21,16,58.82352941176471,0,40,
"Nu: 0.1, Gamma: 0.9",13,1,17,20,64.70588235294117,0,40,
"Nu: 0.1, Gamma: 0.99",13,1,16,21,66.66666666666666,0,40,
"Nu: 0.2, Gamma: 0.0001",6,8,26,11,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.0002",6,8,27,10,31.372549019607842,0,40,
"Nu: 0.2, Gamma: 0.0003",6,8,26,11,33.33333333333333,0,40,
"Nu: 0.2, Gamma: 0.0004",13,1,26,11,47.05882352941176,0,40,
"Nu: 0.2, Gamma: 0.005",13,1,26,11,47.05882352941176,0,40,
"Nu: 0.2, Gamma: 0.05",13,1,26,11,47.05882352941176,0,40,
"Nu: 0.2, Gamma: 0.0625",13,1,26,11,47.05882352941176,0,40,
"Nu: 0.2, Gamma: 0.1",13,1,26,11,47.05882352941176,0,40,
"Nu: 0.2, Gamma: 0.2",13,1,25,12,49.01960784313725,0,40,
"Nu: 0.2, Gamma: 0.5",10,4,18,19,56.86274509803921,0,40,
"Nu: 0.2, Gamma: 0.7",11,3,15,22,64.70588235294117,0,40,
"Nu: 0.2, Gamma: 0.9",11,3,13,24,68.62745098039215,0,40,
"Nu: 0.2, Gamma: 0.99",11,3,13,24,68.62745098039215,0,40,
"Nu: 0.5, Gamma: 0.0001",5,9,20,17,43.13725490196079,0,40,
"Nu: 0.5, Gamma: 0.0002",5,9,20,17,43.13725490196079,0,40,
"Nu: 0.5, Gamma: 0.0003",5,9,20,17,43.13725490196079,0,40,
"Nu: 0.5, Gamma: 0.0004",5,9,21,16,41.17647058823529,0,40,
"Nu: 0.5, Gamma: 0.005",5,9,21,16,41.17647058823529,0,40,
"Nu: 0.5, Gamma: 0.05",5,9,19,18,45.09803921568628,0,40,
"Nu: 0.5, Gamma: 0.0625",5,9,19,18,45.09803921568628,0,40,
"Nu: 0.5, Gamma: 0.1",5,9,19,18,45.09803921568628,0,40,
