Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.10344828,163
"Nu: 0.9, Gamma: 0.0003",1,5,1,49,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.0004",1,5,1,49,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.005",1,5,3,47,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,5,1,49,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,5,1,49,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,5,1,49,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,5,3,47,85.71428571,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,4,3,47,87.5,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,4,2,48,89.28571429,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,5,0,50,91.07142857,0,40,,,
"Nu: 0.9, Gamma: 0.99",1,5,1,49,89.28571429,0,40,,,
"Nu: 0.99, Gamma: 0.0001",1,5,3,47,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0002",1,5,3,47,85.71428571,0,40,,,
"Nu: 0.99, Gamma: 0.0003",1,5,3,47,85.71428571,0,40,,,
