Features: 16,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.99, Gamma: 0.0003",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.0004",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.005",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.05",0,4,1,28,84.84848484848484,0,40,
"Nu: 0.99, Gamma: 0.0625",0,4,1,28,84.84848484848484,0,40,
"Nu: 0.99, Gamma: 0.1",0,4,2,27,81.81818181818183,0,40,
"Nu: 0.99, Gamma: 0.2",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.5",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.7",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.9",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.99, Gamma: 0.99",0,4,0,29,87.87878787878788,0,40,
,,,,,,,,
Target Class: raytrace_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.005",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.05",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0001, Gamma: 0.0625",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0001, Gamma: 0.1",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0001, Gamma: 0.2",2,1,17,15,48.57142857142857,0,40,
"Nu: 0.0001, Gamma: 0.5",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.7",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0001, Gamma: 0.9",2,1,18,14,45.714285714285715,0,40,
"Nu: 0.0001, Gamma: 0.99",0,3,17,15,42.857142857142854,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0002, Gamma: 0.005",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0002, Gamma: 0.05",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0002, Gamma: 0.0625",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0002, Gamma: 0.1",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0002, Gamma: 0.2",2,1,17,15,48.57142857142857,0,40,
"Nu: 0.0002, Gamma: 0.5",2,1,19,13,42.857142857142854,0,40,
"Nu: 0.0002, Gamma: 0.7",2,1,24,8,28.57142857142857,0,40,
"Nu: 0.0002, Gamma: 0.9",2,1,23,9,31.428571428571427,0,40,
"Nu: 0.0002, Gamma: 0.99",1,2,22,10,31.428571428571427,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0003, Gamma: 0.005",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0003, Gamma: 0.05",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0003, Gamma: 0.0625",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0003, Gamma: 0.1",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0003, Gamma: 0.2",2,1,17,15,48.57142857142857,0,40,
"Nu: 0.0003, Gamma: 0.5",1,2,14,18,54.285714285714285,0,40,
"Nu: 0.0003, Gamma: 0.7",2,1,24,8,28.57142857142857,0,40,
"Nu: 0.0003, Gamma: 0.9",2,1,23,9,31.428571428571427,0,40,
"Nu: 0.0003, Gamma: 0.99",1,2,22,10,31.428571428571427,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0004, Gamma: 0.005",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.0004, Gamma: 0.05",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0004, Gamma: 0.0625",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0004, Gamma: 0.1",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0004, Gamma: 0.2",2,1,17,15,48.57142857142857,0,40,
"Nu: 0.0004, Gamma: 0.5",1,2,9,23,68.57142857142857,0,40,
"Nu: 0.0004, Gamma: 0.7",2,1,22,10,34.285714285714285,0,40,
"Nu: 0.0004, Gamma: 0.9",2,1,22,10,34.285714285714285,0,40,
"Nu: 0.0004, Gamma: 0.99",2,1,23,9,31.428571428571427,0,40,
"Nu: 0.005, Gamma: 0.0001",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.005, Gamma: 0.0002",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.005, Gamma: 0.0003",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.005, Gamma: 0.0004",0,3,0,32,91.42857142857143,0,40,
"Nu: 0.005, Gamma: 0.005",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.005, Gamma: 0.05",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.005, Gamma: 0.0625",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.005, Gamma: 0.1",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.005, Gamma: 0.2",3,0,25,7,28.57142857142857,0,40,
"Nu: 0.005, Gamma: 0.5",3,0,24,8,31.428571428571427,0,40,
"Nu: 0.005, Gamma: 0.7",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.005, Gamma: 0.9",3,0,24,8,31.428571428571427,0,40,
"Nu: 0.005, Gamma: 0.99",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.05, Gamma: 0.0001",3,0,32,0,8.571428571428571,0,40,
"Nu: 0.05, Gamma: 0.0002",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.05, Gamma: 0.0003",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.05, Gamma: 0.0004",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.05, Gamma: 0.005",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.05, Gamma: 0.05",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.05, Gamma: 0.0625",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.05, Gamma: 0.1",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.05, Gamma: 0.2",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.05, Gamma: 0.5",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.05, Gamma: 0.7",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.05, Gamma: 0.9",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.05, Gamma: 0.99",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.0625, Gamma: 0.0001",1,2,13,19,57.14285714285714,0,40,
"Nu: 0.0625, Gamma: 0.0002",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0625, Gamma: 0.0004",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0625, Gamma: 0.005",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.0625, Gamma: 0.05",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.0625, Gamma: 0.0625",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.0625, Gamma: 0.1",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.0625, Gamma: 0.2",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.0625, Gamma: 0.5",3,0,24,8,31.428571428571427,0,40,
"Nu: 0.0625, Gamma: 0.7",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.0625, Gamma: 0.9",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.0625, Gamma: 0.99",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.1, Gamma: 0.0001",0,3,5,27,77.14285714285715,0,40,
"Nu: 0.1, Gamma: 0.0002",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.0003",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.0004",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.005",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.05",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.0625",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.1",3,0,31,1,11.428571428571429,0,40,
"Nu: 0.1, Gamma: 0.2",3,0,25,7,28.57142857142857,0,40,
"Nu: 0.1, Gamma: 0.5",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.1, Gamma: 0.7",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.1, Gamma: 0.9",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.1, Gamma: 0.99",3,0,23,9,34.285714285714285,0,40,
"Nu: 0.2, Gamma: 0.0001",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.0002",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.0003",3,0,26,6,25.71428571428571,0,40,
"Nu: 0.2, Gamma: 0.0004",3,0,26,6,25.71428571428571,0,40,
