Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
Target Class: canneal_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0001, Gamma: 0.005",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0001, Gamma: 0.05",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0001, Gamma: 0.0625",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0001, Gamma: 0.1",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0001, Gamma: 0.2",4,0,45,6,18.181818181818183,0,40,
"Nu: 0.0001, Gamma: 0.5",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0001, Gamma: 0.7",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.0001, Gamma: 0.9",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.0001, Gamma: 0.99",0,4,6,45,81.81818181818183,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0002, Gamma: 0.005",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0002, Gamma: 0.05",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0002, Gamma: 0.0625",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0002, Gamma: 0.1",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0002, Gamma: 0.2",4,0,45,6,18.181818181818183,0,40,
"Nu: 0.0002, Gamma: 0.5",0,4,27,24,43.63636363636363,0,40,
"Nu: 0.0002, Gamma: 0.7",0,4,22,29,52.72727272727272,0,40,
"Nu: 0.0002, Gamma: 0.9",0,4,18,33,60.0,0,40,
"Nu: 0.0002, Gamma: 0.99",0,4,18,33,60.0,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0003, Gamma: 0.005",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0003, Gamma: 0.05",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0003, Gamma: 0.0625",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0003, Gamma: 0.1",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0003, Gamma: 0.2",4,0,45,6,18.181818181818183,0,40,
"Nu: 0.0003, Gamma: 0.5",0,4,27,24,43.63636363636363,0,40,
"Nu: 0.0003, Gamma: 0.7",0,4,22,29,52.72727272727272,0,40,
"Nu: 0.0003, Gamma: 0.9",0,4,18,33,60.0,0,40,
"Nu: 0.0003, Gamma: 0.99",0,4,23,28,50.90909090909091,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0004, Gamma: 0.005",0,4,0,51,92.72727272727272,0,40,
"Nu: 0.0004, Gamma: 0.05",4,0,47,4,14.545454545454545,0,40,
"Nu: 0.0004, Gamma: 0.0625",4,0,47,4,14.545454545454545,0,40,
