Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63702359
"Nu: 0.05, Gamma: 0.5",263,12,6,90,95.14824798,0,40,,
"Nu: 0.05, Gamma: 0.7",263,12,6,90,95.14824798,0,40,,
"Nu: 0.05, Gamma: 0.9",263,12,3,93,95.95687332,0,40,,
"Nu: 0.05, Gamma: 0.99",263,12,3,93,95.95687332,0,40,,
"Nu: 0.0625, Gamma: 0.0001",271,4,17,79,94.33962264,0,40,,
"Nu: 0.0625, Gamma: 0.0002",66,209,15,81,39.62264151,0,40,,
"Nu: 0.0625, Gamma: 0.0003",271,4,17,79,94.33962264,0,40,,
"Nu: 0.0625, Gamma: 0.0004",271,4,17,79,94.33962264,0,40,,
"Nu: 0.0625, Gamma: 0.005",261,14,15,81,92.18328841,0,40,,
"Nu: 0.0625, Gamma: 0.05",261,14,13,83,92.72237197,0,40,,
"Nu: 0.0625, Gamma: 0.0625",261,14,10,86,93.5309973,0,40,,
"Nu: 0.0625, Gamma: 0.1",261,14,9,87,93.80053908,0,40,,
"Nu: 0.0625, Gamma: 0.2",259,16,7,89,93.80053908,0,40,,
"Nu: 0.0625, Gamma: 0.5",259,16,6,90,94.07008086,0,40,,
"Nu: 0.0625, Gamma: 0.7",259,16,3,93,94.8787062,0,40,,
"Nu: 0.0625, Gamma: 0.9",259,16,3,93,94.8787062,0,40,,
"Nu: 0.0625, Gamma: 0.99",259,16,1,95,95.41778976,0,40,,
"Nu: 0.1, Gamma: 0.0001",191,84,7,89,75.47169811,0,40,,
"Nu: 0.1, Gamma: 0.0002",191,84,7,89,75.47169811,0,40,,
"Nu: 0.1, Gamma: 0.0003",191,84,7,89,75.47169811,0,40,,
"Nu: 0.1, Gamma: 0.0004",191,84,7,89,75.47169811,0,40,,
"Nu: 0.1, Gamma: 0.005",248,27,7,89,90.83557951,0,40,,
"Nu: 0.1, Gamma: 0.05",248,27,6,90,91.10512129,0,40,,
"Nu: 0.1, Gamma: 0.0625",248,27,6,90,91.10512129,0,40,,
"Nu: 0.1, Gamma: 0.1",248,27,6,90,91.10512129,0,40,,
"Nu: 0.1, Gamma: 0.2",248,27,6,90,91.10512129,0,40,,
"Nu: 0.1, Gamma: 0.5",249,26,3,93,92.18328841,0,40,,
"Nu: 0.1, Gamma: 0.7",248,27,0,96,92.72237197,0,40,,
"Nu: 0.1, Gamma: 0.9",247,28,0,96,92.45283019,0,40,,
"Nu: 0.1, Gamma: 0.99",247,28,0,96,92.45283019,0,40,,
"Nu: 0.2, Gamma: 0.0001",52,223,6,90,38.27493261,0,40,,
"Nu: 0.2, Gamma: 0.0002",52,223,6,90,38.27493261,0,40,,
"Nu: 0.2, Gamma: 0.0003",52,223,6,90,38.27493261,0,40,,
"Nu: 0.2, Gamma: 0.0004",52,223,6,90,38.27493261,0,40,,
"Nu: 0.2, Gamma: 0.005",222,53,5,91,84.36657682,0,40,,
"Nu: 0.2, Gamma: 0.05",222,53,3,93,84.90566038,0,40,,
"Nu: 0.2, Gamma: 0.0625",222,53,3,93,84.90566038,0,40,,
"Nu: 0.2, Gamma: 0.1",222,53,3,93,84.90566038,0,40,,
"Nu: 0.2, Gamma: 0.2",222,53,1,95,85.44474394,0,40,,
"Nu: 0.2, Gamma: 0.5",220,55,0,96,85.17520216,0,40,,
"Nu: 0.2, Gamma: 0.7",220,55,0,96,85.17520216,0,40,,
"Nu: 0.2, Gamma: 0.9",220,55,0,96,85.17520216,0,40,,
"Nu: 0.2, Gamma: 0.99",220,55,0,96,85.17520216,0,40,,
"Nu: 0.5, Gamma: 0.0001",50,225,1,95,39.08355795,0,40,,
"Nu: 0.5, Gamma: 0.0002",55,220,1,95,40.43126685,0,40,,
"Nu: 0.5, Gamma: 0.0003",55,220,1,95,40.43126685,0,40,,
"Nu: 0.5, Gamma: 0.0004",55,220,1,95,40.43126685,0,40,,
"Nu: 0.5, Gamma: 0.005",100,175,1,95,52.5606469,0,40,,
"Nu: 0.5, Gamma: 0.05",125,150,0,96,59.56873315,0,40,,
"Nu: 0.5, Gamma: 0.0625",125,150,0,96,59.56873315,0,40,,
"Nu: 0.5, Gamma: 0.1",126,149,0,96,59.83827493,0,40,,
"Nu: 0.5, Gamma: 0.2",125,150,0,96,59.56873315,0,40,,
"Nu: 0.5, Gamma: 0.5",129,146,0,96,60.64690027,0,40,,
"Nu: 0.5, Gamma: 0.7",126,149,0,96,59.83827493,0,40,,
"Nu: 0.5, Gamma: 0.9",132,143,0,96,61.45552561,0,40,,
"Nu: 0.5, Gamma: 0.99",141,134,0,96,63.88140162,0,40,,
"Nu: 0.7, Gamma: 0.0001",3,272,0,96,26.68463612,0,40,,
"Nu: 0.7, Gamma: 0.0002",5,270,0,96,27.22371968,0,40,,
"Nu: 0.7, Gamma: 0.0003",7,268,0,96,27.76280323,0,40,,
"Nu: 0.7, Gamma: 0.0004",7,268,0,96,27.76280323,0,40,,
"Nu: 0.7, Gamma: 0.005",61,214,0,96,42.3180593,0,40,,
"Nu: 0.7, Gamma: 0.05",80,195,0,96,47.4393531,0,40,,
"Nu: 0.7, Gamma: 0.0625",80,195,0,96,47.4393531,0,40,,
"Nu: 0.7, Gamma: 0.1",80,195,0,96,47.4393531,0,40,,
"Nu: 0.7, Gamma: 0.2",78,197,0,96,46.90026954,0,40,,
"Nu: 0.7, Gamma: 0.5",75,200,0,96,46.0916442,0,40,,
"Nu: 0.7, Gamma: 0.7",70,205,0,96,44.74393531,0,40,,
"Nu: 0.7, Gamma: 0.9",82,193,0,96,47.97843666,0,40,,
"Nu: 0.7, Gamma: 0.99",86,189,0,96,49.05660377,0,40,,
"Nu: 0.9, Gamma: 0.0001",116,159,0,96,57.14285714,0,40,,
"Nu: 0.9, Gamma: 0.0002",125,150,0,96,59.56873315,0,40,,
"Nu: 0.9, Gamma: 0.0003",135,140,0,96,62.26415094,0,40,,
"Nu: 0.9, Gamma: 0.0004",159,116,0,96,68.73315364,0,40,,
"Nu: 0.9, Gamma: 0.005",12,263,0,96,29.11051213,0,40,,
"Nu: 0.9, Gamma: 0.05",17,258,0,96,30.45822102,0,40,,
"Nu: 0.9, Gamma: 0.0625",16,259,0,96,30.18867925,0,40,,
"Nu: 0.9, Gamma: 0.1",16,259,0,96,30.18867925,0,40,,
"Nu: 0.9, Gamma: 0.2",17,258,0,96,30.45822102,0,40,,
"Nu: 0.9, Gamma: 0.5",26,249,0,96,32.88409704,0,40,,
