Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.58156028,14
"Nu: 0.9, Gamma: 0.0002",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,4,4,133,94.32624113,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,4,4,133,94.32624113,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,4,5,132,93.61702128,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,4,5,132,93.61702128,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,2,3,134,96.45390071,0,40,,,
"Nu: 0.9, Gamma: 0.7",2,2,3,134,96.45390071,0,40,,,
"Nu: 0.9, Gamma: 0.9",2,2,0,137,98.58156028,0,40,,,
"Nu: 0.9, Gamma: 0.99",2,2,0,137,98.58156028,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,4,2,135,95.74468085,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,4,1,136,96.45390071,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,4,1,136,96.45390071,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,4,0,137,97.16312057,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,4,0,137,97.16312057,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,4,0,137,97.16312057,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,4,0,137,97.16312057,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,4,0,137,97.16312057,0,40,,,
,,,,,,,,,,
Target Class: ferret_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,2,30,7,37.25490196,0,40,,,
"Nu: 0.0001, Gamma: 0.2",12,2,24,13,49.01960784,0,40,,,
"Nu: 0.0001, Gamma: 0.5",13,1,21,16,56.8627451,0,40,,,
"Nu: 0.0001, Gamma: 0.7",10,4,17,20,58.82352941,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,13,13,24,49.01960784,0,40,,,
"Nu: 0.0001, Gamma: 0.99",8,6,13,24,62.74509804,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0002, Gamma: 0.005",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,2,30,7,37.25490196,0,40,,,
"Nu: 0.0002, Gamma: 0.2",14,0,30,7,41.17647059,0,40,,,
"Nu: 0.0002, Gamma: 0.5",14,0,24,13,52.94117647,0,40,,,
"Nu: 0.0002, Gamma: 0.7",13,1,21,16,56.8627451,0,40,,,
"Nu: 0.0002, Gamma: 0.9",10,4,17,20,58.82352941,0,40,,,
"Nu: 0.0002, Gamma: 0.99",6,8,17,20,50.98039216,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0003, Gamma: 0.005",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,2,30,7,37.25490196,0,40,,,
"Nu: 0.0003, Gamma: 0.2",14,0,29,8,43.1372549,0,40,,,
"Nu: 0.0003, Gamma: 0.5",14,0,23,14,54.90196078,0,40,,,
"Nu: 0.0003, Gamma: 0.7",14,0,20,17,60.78431373,0,40,,,
"Nu: 0.0003, Gamma: 0.9",14,0,19,18,62.74509804,0,40,,,
"Nu: 0.0003, Gamma: 0.99",13,1,17,20,64.70588235,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.0004, Gamma: 0.005",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,2,32,5,33.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.1",8,6,32,5,25.49019608,0,40,,,
"Nu: 0.0004, Gamma: 0.2",14,0,30,7,41.17647059,0,40,,,
"Nu: 0.0004, Gamma: 0.5",14,0,23,14,54.90196078,0,40,,,
"Nu: 0.0004, Gamma: 0.7",14,0,21,16,58.82352941,0,40,,,
"Nu: 0.0004, Gamma: 0.9",13,1,18,19,62.74509804,0,40,,,
"Nu: 0.0004, Gamma: 0.99",13,1,17,20,64.70588235,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,14,0,37,72.54901961,0,40,,,
"Nu: 0.005, Gamma: 0.0002",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.005, Gamma: 0.0003",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,2,34,3,29.41176471,0,40,,,
"Nu: 0.005, Gamma: 0.05",14,0,34,3,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.0625",14,0,34,3,33.33333333,0,40,,,
"Nu: 0.005, Gamma: 0.1",14,0,33,4,35.29411765,0,40,,,
"Nu: 0.005, Gamma: 0.2",14,0,30,7,41.17647059,0,40,,,
"Nu: 0.005, Gamma: 0.5",14,0,24,13,52.94117647,0,40,,,
"Nu: 0.005, Gamma: 0.7",14,0,22,15,56.8627451,0,40,,,
"Nu: 0.005, Gamma: 0.9",13,1,18,19,62.74509804,0,40,,,
"Nu: 0.005, Gamma: 0.99",13,1,16,21,66.66666667,0,40,,,
"Nu: 0.05, Gamma: 0.0001",6,8,28,9,29.41176471,0,40,,,
"Nu: 0.05, Gamma: 0.0002",6,8,28,9,29.41176471,0,40,,,
"Nu: 0.05, Gamma: 0.0003",7,7,31,6,25.49019608,0,40,,,
"Nu: 0.05, Gamma: 0.0004",7,7,31,6,25.49019608,0,40,,,
"Nu: 0.05, Gamma: 0.005",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.05, Gamma: 0.05",14,0,31,6,39.21568627,0,40,,,
"Nu: 0.05, Gamma: 0.0625",14,0,31,6,39.21568627,0,40,,,
