Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,90.83969466,174
"Nu: 0.9, Gamma: 0.9",0,12,0,114,90.47619048,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,1,113,89.68253968,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,4,110,87.3015873,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,4,110,87.3015873,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,4,110,87.3015873,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,2,112,88.88888889,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,2,112,88.88888889,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,3,111,88.0952381,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,3,111,88.0952381,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,3,111,88.0952381,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,2,112,88.88888889,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,114,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,114,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,114,90.47619048,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,114,90.47619048,0,40,,,
,,,,,,,,,,
Target Class: vips_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",10,2,113,6,12.21374046,0,40,,,
"Nu: 0.0001, Gamma: 0.1",10,2,94,25,26.71755725,0,40,,,
"Nu: 0.0001, Gamma: 0.2",0,12,14,105,80.15267176,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,10,52,67,52.67175573,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,53,66,54.96183206,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,10,20,99,77.09923664,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,12,19,100,76.33587786,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",10,2,113,6,12.21374046,0,40,,,
"Nu: 0.0002, Gamma: 0.1",10,2,94,25,26.71755725,0,40,,,
"Nu: 0.0002, Gamma: 0.2",7,5,58,61,51.90839695,0,40,,,
"Nu: 0.0002, Gamma: 0.5",10,2,83,36,35.11450382,0,40,,,
"Nu: 0.0002, Gamma: 0.7",5,7,46,73,59.54198473,0,40,,,
"Nu: 0.0002, Gamma: 0.9",6,6,56,63,52.67175573,0,40,,,
"Nu: 0.0002, Gamma: 0.99",7,5,64,55,47.32824427,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",10,2,113,6,12.21374046,0,40,,,
"Nu: 0.0003, Gamma: 0.1",10,2,94,25,26.71755725,0,40,,,
"Nu: 0.0003, Gamma: 0.2",11,1,88,31,32.0610687,0,40,,,
"Nu: 0.0003, Gamma: 0.5",10,2,83,36,35.11450382,0,40,,,
"Nu: 0.0003, Gamma: 0.7",5,7,46,73,59.54198473,0,40,,,
"Nu: 0.0003, Gamma: 0.9",9,3,86,33,32.0610687,0,40,,,
"Nu: 0.0003, Gamma: 0.99",8,4,70,49,43.51145038,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",10,2,113,6,12.21374046,0,40,,,
"Nu: 0.0004, Gamma: 0.1",10,2,94,25,26.71755725,0,40,,,
"Nu: 0.0004, Gamma: 0.2",11,1,88,31,32.0610687,0,40,,,
"Nu: 0.0004, Gamma: 0.5",10,2,83,36,35.11450382,0,40,,,
"Nu: 0.0004, Gamma: 0.7",8,4,44,75,63.35877863,0,40,,,
"Nu: 0.0004, Gamma: 0.9",12,0,84,35,35.8778626,0,40,,,
"Nu: 0.0004, Gamma: 0.99",8,4,70,49,43.51145038,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,115,4,12.21374046,0,40,,,
"Nu: 0.005, Gamma: 0.0625",10,2,115,4,10.6870229,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,96,23,26.71755725,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,90,29,31.29770992,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,86,33,34.35114504,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,84,35,35.8778626,0,40,,,
"Nu: 0.005, Gamma: 0.9",11,1,83,36,35.8778626,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,83,36,35.8778626,0,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,114,5,12.97709924,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,113,6,13.74045802,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,110,9,16.03053435,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,94,25,28.24427481,0,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,94,25,28.24427481,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,89,30,32.0610687,0,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,86,33,34.35114504,0,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,84,35,35.8778626,0,40,,,
"Nu: 0.05, Gamma: 0.9",11,1,83,36,35.8778626,0,40,,,
"Nu: 0.05, Gamma: 0.99",11,1,82,37,36.64122137,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",12,0,104,15,20.61068702,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,104,15,20.61068702,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,110,9,16.03053435,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,110,9,16.03053435,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,110,9,16.03053435,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,109,10,16.79389313,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,93,26,29.00763359,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,91,28,30.53435115,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,90,29,31.29770992,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,85,34,35.11450382,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,84,35,35.8778626,0,40,,,
"Nu: 0.0625, Gamma: 0.9",11,1,83,36,35.8778626,0,40,,,
"Nu: 0.0625, Gamma: 0.99",11,1,82,37,36.64122137,0,40,,,
"Nu: 0.1, Gamma: 0.0001",11,1,91,28,29.77099237,0,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,91,28,29.77099237,0,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,91,28,29.77099237,0,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,91,28,29.77099237,0,40,,,
"Nu: 0.1, Gamma: 0.005",11,1,91,28,29.77099237,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,91,28,30.53435115,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,91,28,30.53435115,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,90,29,31.29770992,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,88,31,32.82442748,0,40,,,
"Nu: 0.1, Gamma: 0.5",11,1,79,40,38.93129771,0,40,,,
"Nu: 0.1, Gamma: 0.7",11,1,81,38,37.40458015,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,81,38,37.40458015,0,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,80,39,38.16793893,0,40,,,
"Nu: 0.2, Gamma: 0.0001",10,2,80,39,37.40458015,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,88,31,31.29770992,0,40,,,
"Nu: 0.2, Gamma: 0.0003",10,2,86,33,32.82442748,0,40,,,
"Nu: 0.2, Gamma: 0.0004",10,2,86,33,32.82442748,0,40,,,
"Nu: 0.2, Gamma: 0.005",10,2,86,33,32.82442748,0,40,,,
"Nu: 0.2, Gamma: 0.05",10,2,85,34,33.58778626,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,85,34,34.35114504,0,40,,,
"Nu: 0.2, Gamma: 0.1",12,0,84,35,35.8778626,0,40,,,
"Nu: 0.2, Gamma: 0.2",12,0,78,41,40.45801527,0,40,,,
"Nu: 0.2, Gamma: 0.5",10,2,72,47,43.51145038,0,40,,,
"Nu: 0.2, Gamma: 0.7",10,2,74,45,41.98473282,0,40,,,
"Nu: 0.2, Gamma: 0.9",10,2,72,47,43.51145038,0,40,,,
"Nu: 0.2, Gamma: 0.99",10,2,71,48,44.27480916,0,40,,,
"Nu: 0.5, Gamma: 0.0001",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.0002",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.0003",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.0004",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.005",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.05",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.0625",10,2,64,55,49.61832061,0,40,,,
"Nu: 0.5, Gamma: 0.1",10,2,65,54,48.85496183,0,40,,,
"Nu: 0.5, Gamma: 0.2",9,3,60,59,51.90839695,0,40,,,
"Nu: 0.5, Gamma: 0.5",7,5,57,62,52.67175573,0,40,,,
"Nu: 0.5, Gamma: 0.7",7,5,52,67,56.48854962,0,40,,,
"Nu: 0.5, Gamma: 0.9",7,5,49,70,58.77862595,0,40,,,
"Nu: 0.5, Gamma: 0.99",6,6,47,72,59.54198473,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,7,42,77,62.59541985,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,7,42,77,62.59541985,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,7,41,78,63.35877863,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,7,41,78,63.35877863,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,7,41,78,63.35877863,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,7,41,78,63.35877863,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,7,41,78,63.35877863,0,40,,,
"Nu: 0.7, Gamma: 0.1",5,7,42,77,62.59541985,0,40,,,
"Nu: 0.7, Gamma: 0.2",7,5,47,72,60.30534351,0,40,,,
"Nu: 0.7, Gamma: 0.5",7,5,37,82,67.9389313,0,40,,,
"Nu: 0.7, Gamma: 0.7",6,6,44,75,61.83206107,0,40,,,
"Nu: 0.7, Gamma: 0.9",6,6,42,77,63.35877863,0,40,,,
"Nu: 0.7, Gamma: 0.99",6,6,41,78,64.1221374,0,40,,,
"Nu: 0.9, Gamma: 0.0001",3,9,20,99,77.86259542,0,40,,,
"Nu: 0.9, Gamma: 0.0002",3,9,18,101,79.38931298,0,40,,,
"Nu: 0.9, Gamma: 0.0003",3,9,18,101,79.38931298,0,40,,,
"Nu: 0.9, Gamma: 0.0004",3,9,18,101,79.38931298,0,40,,,
"Nu: 0.9, Gamma: 0.005",3,9,19,100,78.6259542,0,40,,,
"Nu: 0.9, Gamma: 0.05",2,10,16,103,80.15267176,0,40,,,
"Nu: 0.9, Gamma: 0.0625",2,10,15,104,80.91603053,0,40,,,
"Nu: 0.9, Gamma: 0.1",2,10,14,105,81.67938931,0,40,,,
"Nu: 0.9, Gamma: 0.2",2,10,4,115,89.3129771,0,40,,,
"Nu: 0.9, Gamma: 0.5",6,6,21,98,79.38931298,0,40,,,
"Nu: 0.9, Gamma: 0.7",6,6,18,101,81.67938931,0,40,,,
"Nu: 0.9, Gamma: 0.9",6,6,15,104,83.96946565,0,40,,,
"Nu: 0.9, Gamma: 0.99",6,6,15,104,83.96946565,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,119,90.83969466,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,119,90.83969466,0,40,,,
