Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.80952381,118
"Nu: 0.9, Gamma: 0.0002",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.05",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.0625",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.1",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.2",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.5",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.7",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.9",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,240,95.23809524,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,240,95.23809524,0,40,,,
,,,,,,,,,,
Target Class: streamcluster_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.05",24,0,112,4,20,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",24,0,111,5,20.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.1",24,0,110,6,21.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.2",24,0,60,56,57.14285714,0,40,,,
"Nu: 0.0001, Gamma: 0.5",11,13,21,95,75.71428571,0,40,,,
"Nu: 0.0001, Gamma: 0.7",20,4,13,103,87.85714286,0,40,,,
"Nu: 0.0001, Gamma: 0.9",20,4,8,108,91.42857143,0,40,,,
"Nu: 0.0001, Gamma: 0.99",20,4,7,109,92.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.05",24,0,112,4,20,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",24,0,111,5,20.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.1",24,0,110,6,21.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.2",24,0,60,56,57.14285714,0,40,,,
"Nu: 0.0002, Gamma: 0.5",24,0,20,96,85.71428571,0,40,,,
"Nu: 0.0002, Gamma: 0.7",24,0,17,99,87.85714286,0,40,,,
"Nu: 0.0002, Gamma: 0.9",21,3,16,100,86.42857143,0,40,,,
"Nu: 0.0002, Gamma: 0.99",22,2,14,102,88.57142857,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,24,0,116,82.85714286,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,24,0,116,82.85714286,0,40,,,
