Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.9, Gamma: 0.99",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.005",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.05",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.0625",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.1",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.2",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.5",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.7",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.9",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.99, Gamma: 0.99",0,10,0,268,96.40287769784173,0,40,
,,,,,,,,
Target Class: dedup_MRURP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0001, Gamma: 0.005",0,27,0,97,78.2258064516129,0,40,
"Nu: 0.0001, Gamma: 0.05",23,4,90,7,24.193548387096776,0,40,
"Nu: 0.0001, Gamma: 0.0625",23,4,92,5,22.58064516129032,0,40,
"Nu: 0.0001, Gamma: 0.1",25,2,90,7,25.806451612903224,0,40,
"Nu: 0.0001, Gamma: 0.2",26,1,85,12,30.64516129032258,0,40,
