Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.05940594,488
"Nu: 0.0001, Gamma: 0.1",13,6,37,117,75.14450867,0,40,,,
"Nu: 0.0001, Gamma: 0.2",7,12,41,113,69.36416185,0,40,,,
"Nu: 0.0001, Gamma: 0.5",10,9,56,98,62.42774566,0,40,,,
"Nu: 0.0001, Gamma: 0.7",18,1,132,22,23.12138728,0,40,,,
"Nu: 0.0001, Gamma: 0.9",13,6,127,27,23.12138728,0,40,,,
"Nu: 0.0001, Gamma: 0.99",12,7,55,99,64.16184971,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0002, Gamma: 0.005",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.0002, Gamma: 0.05",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.0002, Gamma: 0.1",18,1,151,3,12.13872832,0,40,,,
"Nu: 0.0002, Gamma: 0.2",13,6,73,81,54.33526012,0,40,,,
"Nu: 0.0002, Gamma: 0.5",18,1,147,7,14.45086705,0,40,,,
"Nu: 0.0002, Gamma: 0.7",14,5,129,25,22.5433526,0,40,,,
"Nu: 0.0002, Gamma: 0.9",16,3,139,15,17.91907514,0,40,,,
"Nu: 0.0002, Gamma: 0.99",15,4,140,14,16.76300578,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0003, Gamma: 0.005",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.0003, Gamma: 0.05",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.0003, Gamma: 0.1",18,1,151,3,12.13872832,0,40,,,
"Nu: 0.0003, Gamma: 0.2",18,1,148,6,13.87283237,0,40,,,
"Nu: 0.0003, Gamma: 0.5",18,1,146,8,15.02890173,0,40,,,
"Nu: 0.0003, Gamma: 0.7",14,5,129,25,22.5433526,0,40,,,
"Nu: 0.0003, Gamma: 0.9",15,4,126,28,24.85549133,0,40,,,
"Nu: 0.0003, Gamma: 0.99",10,9,72,82,53.17919075,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,19,0,154,89.01734104,0,40,,,
"Nu: 0.0004, Gamma: 0.005",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.0004, Gamma: 0.05",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.0004, Gamma: 0.1",18,1,151,3,12.13872832,0,40,,,
"Nu: 0.0004, Gamma: 0.2",19,0,134,20,22.5433526,0,40,,,
"Nu: 0.0004, Gamma: 0.5",18,1,146,8,15.02890173,0,40,,,
"Nu: 0.0004, Gamma: 0.7",15,4,143,11,15.02890173,0,40,,,
"Nu: 0.0004, Gamma: 0.9",15,4,126,28,24.85549133,0,40,,,
"Nu: 0.0004, Gamma: 0.99",14,5,134,20,19.65317919,0,40,,,
"Nu: 0.005, Gamma: 0.0001",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.005, Gamma: 0.0002",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.005, Gamma: 0.0003",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.005, Gamma: 0.0004",13,6,54,100,65.31791908,0,40,,,
"Nu: 0.005, Gamma: 0.005",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.005, Gamma: 0.05",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.005, Gamma: 0.0625",19,0,152,2,12.13872832,0,40,,,
"Nu: 0.005, Gamma: 0.1",18,1,152,2,11.56069364,0,40,,,
"Nu: 0.005, Gamma: 0.2",19,0,147,7,15.02890173,0,40,,,
"Nu: 0.005, Gamma: 0.5",18,1,146,8,15.02890173,0,40,,,
"Nu: 0.005, Gamma: 0.7",15,4,144,10,14.45086705,0,40,,,
"Nu: 0.005, Gamma: 0.9",16,3,143,11,15.60693642,0,40,,,
"Nu: 0.005, Gamma: 0.99",16,3,143,11,15.60693642,0,40,,,
"Nu: 0.05, Gamma: 0.0001",19,0,151,3,12.71676301,0,40,,,
"Nu: 0.05, Gamma: 0.0002",19,0,151,3,12.71676301,0,40,,,
"Nu: 0.05, Gamma: 0.0003",17,2,76,78,54.9132948,0,40,,,
