Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.05, Gamma: 0.99",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.0625, Gamma: 0.0001",2,1,22,21,50.0,0,40,
"Nu: 0.0625, Gamma: 0.0002",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.0625, Gamma: 0.0004",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.0625, Gamma: 0.005",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.0625, Gamma: 0.05",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.0625, Gamma: 0.0625",3,0,23,20,50.0,0,40,
"Nu: 0.0625, Gamma: 0.1",3,0,23,20,50.0,0,40,
"Nu: 0.0625, Gamma: 0.2",3,0,14,29,69.56521739130434,0,40,
"Nu: 0.0625, Gamma: 0.5",3,0,0,43,100.0,0,40,
"Nu: 0.0625, Gamma: 0.7",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.0625, Gamma: 0.9",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.0625, Gamma: 0.99",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.1, Gamma: 0.0001",0,3,0,43,93.47826086956522,0,40,
"Nu: 0.1, Gamma: 0.0002",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.1, Gamma: 0.0003",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.1, Gamma: 0.0004",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.1, Gamma: 0.005",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.1, Gamma: 0.05",3,0,24,19,47.82608695652174,0,40,
"Nu: 0.1, Gamma: 0.0625",3,0,23,20,50.0,0,40,
"Nu: 0.1, Gamma: 0.1",3,0,23,20,50.0,0,40,
"Nu: 0.1, Gamma: 0.2",3,0,14,29,69.56521739130434,0,40,
"Nu: 0.1, Gamma: 0.5",3,0,0,43,100.0,0,40,
"Nu: 0.1, Gamma: 0.7",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.1, Gamma: 0.9",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.1, Gamma: 0.99",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.2, Gamma: 0.0001",3,0,25,18,45.65217391304348,0,40,
"Nu: 0.2, Gamma: 0.0002",3,0,23,20,50.0,0,40,
"Nu: 0.2, Gamma: 0.0003",3,0,22,21,52.17391304347826,0,40,
"Nu: 0.2, Gamma: 0.0004",3,0,22,21,52.17391304347826,0,40,
"Nu: 0.2, Gamma: 0.005",3,0,22,21,52.17391304347826,0,40,
"Nu: 0.2, Gamma: 0.05",3,0,20,23,56.52173913043478,0,40,
"Nu: 0.2, Gamma: 0.0625",3,0,20,23,56.52173913043478,0,40,
"Nu: 0.2, Gamma: 0.1",3,0,15,28,67.3913043478261,0,40,
"Nu: 0.2, Gamma: 0.2",3,0,2,41,95.65217391304348,0,40,
"Nu: 0.2, Gamma: 0.5",3,0,0,43,100.0,0,40,
"Nu: 0.2, Gamma: 0.7",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.2, Gamma: 0.9",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.2, Gamma: 0.99",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.0001",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.5, Gamma: 0.0002",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.5, Gamma: 0.0003",2,1,1,42,95.65217391304348,0,40,
"Nu: 0.5, Gamma: 0.0004",2,1,1,42,95.65217391304348,0,40,
"Nu: 0.5, Gamma: 0.005",2,1,1,42,95.65217391304348,0,40,
"Nu: 0.5, Gamma: 0.05",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.0625",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.1",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.2",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.5",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.7",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.9",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.5, Gamma: 0.99",2,1,0,43,97.82608695652173,0,40,
"Nu: 0.7, Gamma: 0.0001",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.0002",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.0003",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.0004",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.005",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.05",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.0625",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.1",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.2",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.5",1,2,0,43,95.65217391304348,0,40,
"Nu: 0.7, Gamma: 0.7",1,2,0,43,95.65217391304348,0,40,
