Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.0002, Gamma: 0.7",18,3,21,96,82.60869565,0,40,,,
"Nu: 0.0002, Gamma: 0.9",19,2,20,97,84.05797101,0,40,,,
"Nu: 0.0002, Gamma: 0.99",16,5,18,99,83.33333333,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0003, Gamma: 0.005",16,5,106,11,19.56521739,0,40,,,
"Nu: 0.0003, Gamma: 0.05",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0003, Gamma: 0.1",20,1,107,10,21.73913043,0,40,,,
"Nu: 0.0003, Gamma: 0.2",20,1,81,36,40.57971014,0,40,,,
"Nu: 0.0003, Gamma: 0.5",20,1,21,96,84.05797101,0,40,,,
"Nu: 0.0003, Gamma: 0.7",15,6,21,96,80.43478261,0,40,,,
"Nu: 0.0003, Gamma: 0.9",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.0003, Gamma: 0.99",16,5,18,99,83.33333333,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.0004, Gamma: 0.005",16,5,106,11,19.56521739,0,40,,,
"Nu: 0.0004, Gamma: 0.05",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",19,2,109,8,19.56521739,0,40,,,
"Nu: 0.0004, Gamma: 0.1",20,1,107,10,21.73913043,0,40,,,
"Nu: 0.0004, Gamma: 0.2",20,1,76,41,44.20289855,0,40,,,
"Nu: 0.0004, Gamma: 0.5",20,1,20,97,84.7826087,0,40,,,
"Nu: 0.0004, Gamma: 0.7",20,1,19,98,85.50724638,0,40,,,
"Nu: 0.0004, Gamma: 0.9",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.0004, Gamma: 0.99",20,1,18,99,86.23188406,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,21,0,117,84.7826087,0,40,,,
"Nu: 0.005, Gamma: 0.0002",16,5,107,10,18.84057971,0,40,,,
