Features: 16,,,,,,,,,Max Acc,,Max TN,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.60273973,49,24,223
"Nu: 0.2, Gamma: 2e-05",122,5,214,24,40,0,40,,,,,
"Nu: 0.2, Gamma: 3e-05",122,5,214,24,40,0,40,,,,,
"Nu: 0.2, Gamma: 4e-05",162,12,174,17,49.04109589,0,40,,,,,
"Nu: 0.2, Gamma: 5e-05",171,13,165,16,51.23287671,0,40,,,,,
"Nu: 0.2, Gamma: 6e-05",142,8,194,21,44.65753425,0,40,,,,,
"Nu: 0.2, Gamma: 7e-05",146,8,190,21,45.75342466,0,40,,,,,
"Nu: 0.2, Gamma: 8e-05",180,12,156,17,53.97260274,0,40,,,,,
"Nu: 0.2, Gamma: 9e-05",188,12,148,17,56.16438356,0,40,,,,,
"Nu: 0.2, Gamma: 0.0001",161,8,175,21,49.8630137,0,40,,,,,
"Nu: 0.2, Gamma: 0.0002",179,9,157,20,54.52054795,0,40,,,,,
"Nu: 0.2, Gamma: 0.0003",198,10,138,19,59.45205479,0,40,,,,,
"Nu: 0.2, Gamma: 0.0004",200,9,136,20,60.2739726,0,40,,,,,
"Nu: 0.2, Gamma: 0.005",297,17,39,12,84.65753425,0,40,,,,,
"Nu: 0.2, Gamma: 0.05",296,20,40,9,83.56164384,0,40,,,,,
"Nu: 0.2, Gamma: 0.0625",298,20,38,9,84.10958904,0,40,,,,,
"Nu: 0.2, Gamma: 0.1",333,28,3,1,91.50684932,0,40,,,,,
"Nu: 0.2, Gamma: 0.2",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.2, Gamma: 0.5",304,25,32,4,84.38356164,0,40,,,,,
"Nu: 0.2, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
