Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.52336449,3
"Nu: 0.0004, Gamma: 0.0003",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,20,0,155,88.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.005",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.05",17,3,133,22,22.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",16,4,121,34,28.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.1",15,5,112,43,33.14285714,0,40,,,
"Nu: 0.0004, Gamma: 0.2",20,0,139,16,20.57142857,0,40,,,
"Nu: 0.0004, Gamma: 0.5",18,2,139,16,19.42857143,0,40,,,
"Nu: 0.0004, Gamma: 0.7",17,3,126,29,26.28571429,0,40,,,
"Nu: 0.0004, Gamma: 0.9",18,2,128,27,25.71428571,0,40,,,
"Nu: 0.0004, Gamma: 0.99",18,2,134,21,22.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.0001",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.0002",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.0003",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.0004",17,3,135,20,21.14285714,0,40,,,
"Nu: 0.005, Gamma: 0.005",20,0,155,0,11.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.05",20,0,155,0,11.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.0625",20,0,154,1,12,0,40,,,
"Nu: 0.005, Gamma: 0.1",20,0,143,12,18.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.2",20,0,139,16,20.57142857,0,40,,,
"Nu: 0.005, Gamma: 0.5",20,0,136,19,22.28571429,0,40,,,
"Nu: 0.005, Gamma: 0.7",20,0,135,20,22.85714286,0,40,,,
"Nu: 0.005, Gamma: 0.9",19,1,133,22,23.42857143,0,40,,,
"Nu: 0.005, Gamma: 0.99",19,1,134,21,22.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.0001",5,15,49,106,63.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0002",11,9,70,85,54.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.0003",11,9,70,85,54.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.0004",11,9,70,85,54.85714286,0,40,,,
"Nu: 0.05, Gamma: 0.005",18,2,148,7,14.28571429,0,40,,,
"Nu: 0.05, Gamma: 0.05",18,2,146,9,15.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.0625",18,2,139,16,19.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.1",18,2,136,19,21.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.2",19,1,132,23,24,0,40,,,
"Nu: 0.05, Gamma: 0.5",20,0,133,22,24,0,40,,,
"Nu: 0.05, Gamma: 0.7",19,1,133,22,23.42857143,0,40,,,
"Nu: 0.05, Gamma: 0.9",19,1,130,25,25.14285714,0,40,,,
"Nu: 0.05, Gamma: 0.99",19,1,129,26,25.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",3,17,33,122,71.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",18,2,148,7,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",18,2,148,7,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",18,2,148,7,14.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.005",18,2,146,9,15.42857143,0,40,,,
"Nu: 0.0625, Gamma: 0.05",18,2,127,28,26.28571429,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",18,2,124,31,28,0,40,,,
"Nu: 0.0625, Gamma: 0.1",16,4,122,33,28,0,40,,,
"Nu: 0.0625, Gamma: 0.2",19,1,129,26,25.71428571,0,40,,,
"Nu: 0.0625, Gamma: 0.5",20,0,131,24,25.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.7",19,1,132,23,24,0,40,,,
"Nu: 0.0625, Gamma: 0.9",19,1,130,25,25.14285714,0,40,,,
"Nu: 0.0625, Gamma: 0.99",19,1,130,25,25.14285714,0,40,,,
"Nu: 0.1, Gamma: 0.0001",18,2,131,24,24,0,40,,,
