Features: 16,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.6371553
"Nu: 0.99, Gamma: 0.005",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.05",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.0625",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.1",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.2",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.5",0,10,6,2740,99.41944848,0,40,,
"Nu: 0.99, Gamma: 0.7",0,10,5,2741,99.45573295,0,40,,
"Nu: 0.99, Gamma: 0.9",0,10,3,2743,99.52830189,0,40,,
"Nu: 0.99, Gamma: 0.99",0,10,3,2743,99.52830189,0,40,,
,,,,,,,,,
Target Class: dedup_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,
"Nu: 0.0001, Gamma: 0.0001",0,275,0,97,26.07526882,0,40,,
"Nu: 0.0001, Gamma: 0.0002",0,275,0,97,26.07526882,0,40,,
"Nu: 0.0001, Gamma: 0.0003",0,275,0,97,26.07526882,0,40,,
"Nu: 0.0001, Gamma: 0.0004",217,58,93,4,59.40860215,0,40,,
"Nu: 0.0001, Gamma: 0.005",217,58,93,4,59.40860215,0,40,,
"Nu: 0.0001, Gamma: 0.05",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0001, Gamma: 0.0625",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0001, Gamma: 0.1",275,0,94,3,74.7311828,0,40,,
"Nu: 0.0001, Gamma: 0.2",275,0,76,21,79.56989247,0,40,,
"Nu: 0.0001, Gamma: 0.5",275,0,46,51,87.6344086,0,40,,
"Nu: 0.0001, Gamma: 0.7",72,203,35,62,36.02150538,0,40,,
"Nu: 0.0001, Gamma: 0.9",274,1,31,66,91.39784946,0,40,,
"Nu: 0.0001, Gamma: 0.99",274,1,22,75,93.8172043,0,40,,
"Nu: 0.0002, Gamma: 0.0001",0,275,0,97,26.07526882,0,40,,
"Nu: 0.0002, Gamma: 0.0002",216,59,93,4,59.13978495,0,40,,
"Nu: 0.0002, Gamma: 0.0003",216,59,93,4,59.13978495,0,40,,
"Nu: 0.0002, Gamma: 0.0004",217,58,93,4,59.40860215,0,40,,
"Nu: 0.0002, Gamma: 0.005",275,0,96,1,74.19354839,0,40,,
"Nu: 0.0002, Gamma: 0.05",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0002, Gamma: 0.0625",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0002, Gamma: 0.1",275,0,94,3,74.7311828,0,40,,
"Nu: 0.0002, Gamma: 0.2",227,48,76,21,66.66666667,0,40,,
"Nu: 0.0002, Gamma: 0.5",275,0,46,51,87.6344086,0,40,,
"Nu: 0.0002, Gamma: 0.7",274,1,38,59,89.51612903,0,40,,
"Nu: 0.0002, Gamma: 0.9",272,3,28,69,91.66666667,0,40,,
"Nu: 0.0002, Gamma: 0.99",274,1,22,75,93.8172043,0,40,,
"Nu: 0.0003, Gamma: 0.0001",0,275,0,97,26.07526882,0,40,,
"Nu: 0.0003, Gamma: 0.0002",216,59,93,4,59.13978495,0,40,,
"Nu: 0.0003, Gamma: 0.0003",216,59,93,4,59.13978495,0,40,,
"Nu: 0.0003, Gamma: 0.0004",217,58,93,4,59.40860215,0,40,,
"Nu: 0.0003, Gamma: 0.005",273,2,93,4,74.46236559,0,40,,
"Nu: 0.0003, Gamma: 0.05",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0003, Gamma: 0.0625",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0003, Gamma: 0.1",265,10,91,6,72.84946237,0,40,,
"Nu: 0.0003, Gamma: 0.2",227,48,76,21,66.66666667,0,40,,
"Nu: 0.0003, Gamma: 0.5",273,2,43,54,87.90322581,0,40,,
"Nu: 0.0003, Gamma: 0.7",93,182,34,63,41.93548387,0,40,,
"Nu: 0.0003, Gamma: 0.9",272,3,26,71,92.20430108,0,40,,
"Nu: 0.0003, Gamma: 0.99",201,74,19,78,75,0,40,,
"Nu: 0.0004, Gamma: 0.0001",219,56,93,4,59.94623656,0,40,,
"Nu: 0.0004, Gamma: 0.0002",216,59,93,4,59.13978495,0,40,,
"Nu: 0.0004, Gamma: 0.0003",216,59,93,4,59.13978495,0,40,,
"Nu: 0.0004, Gamma: 0.0004",217,58,93,4,59.40860215,0,40,,
"Nu: 0.0004, Gamma: 0.005",273,2,93,4,74.46236559,0,40,,
"Nu: 0.0004, Gamma: 0.05",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0004, Gamma: 0.0625",275,0,95,2,74.46236559,0,40,,
"Nu: 0.0004, Gamma: 0.1",265,10,91,6,72.84946237,0,40,,
"Nu: 0.0004, Gamma: 0.2",227,48,76,21,66.66666667,0,40,,
"Nu: 0.0004, Gamma: 0.5",273,2,43,54,87.90322581,0,40,,
"Nu: 0.0004, Gamma: 0.7",272,3,35,62,89.78494624,0,40,,
"Nu: 0.0004, Gamma: 0.9",272,3,26,71,92.20430108,0,40,,
"Nu: 0.0004, Gamma: 0.99",109,166,17,80,50.80645161,0,40,,
"Nu: 0.005, Gamma: 0.0001",172,103,66,31,54.56989247,0,40,,
"Nu: 0.005, Gamma: 0.0002",161,114,69,28,50.80645161,0,40,,
"Nu: 0.005, Gamma: 0.0003",161,114,69,28,50.80645161,0,40,,
"Nu: 0.005, Gamma: 0.0004",161,114,69,28,50.80645161,0,40,,
"Nu: 0.005, Gamma: 0.005",161,114,69,28,50.80645161,0,40,,
"Nu: 0.005, Gamma: 0.05",264,11,68,29,78.76344086,0,40,,
