Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.30769231,329
"Nu: 0.9, Gamma: 0.5",2,10,6,114,87.87878788,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,1,119,90.90909091,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,0,120,91.66666667,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,1,119,90.15151515,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,120,90.90909091,0,40,,,
,,,,,,,,,,
Target Class: vips_Pipeline,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.05",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0001, Gamma: 0.1",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0001, Gamma: 0.2",6,6,24,94,76.92307692,0,40,,,
"Nu: 0.0001, Gamma: 0.5",7,5,59,59,50.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.7",5,7,35,83,67.69230769,0,40,,,
"Nu: 0.0001, Gamma: 0.9",3,9,12,106,83.84615385,0,40,,,
"Nu: 0.0001, Gamma: 0.99",6,6,41,77,63.84615385,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0002, Gamma: 0.005",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0002, Gamma: 0.05",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0002, Gamma: 0.2",6,6,24,94,76.92307692,0,40,,,
"Nu: 0.0002, Gamma: 0.5",12,0,99,19,23.84615385,0,40,,,
"Nu: 0.0002, Gamma: 0.7",5,7,35,83,67.69230769,0,40,,,
"Nu: 0.0002, Gamma: 0.9",7,5,54,64,54.61538462,0,40,,,
"Nu: 0.0002, Gamma: 0.99",6,6,46,72,60,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0003, Gamma: 0.005",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0003, Gamma: 0.05",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,91,27,29.23076923,0,40,,,
"Nu: 0.0003, Gamma: 0.2",11,1,84,34,34.61538462,0,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,110,8,15.38461538,0,40,,,
"Nu: 0.0003, Gamma: 0.7",10,2,93,25,26.92307692,0,40,,,
"Nu: 0.0003, Gamma: 0.9",7,5,54,64,54.61538462,0,40,,,
"Nu: 0.0003, Gamma: 0.99",11,1,98,20,23.84615385,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,118,90.76923077,0,40,,,
